,ver_claim_ids,pos
145,vclaim-pol-00145,['omar']
146,vclaim-pol-00146,"['wisconsin', 'illinois']"
147,vclaim-pol-00147,[]
148,vclaim-pol-00148,[]
149,vclaim-pol-00149,"['administration', 'it']"
150,vclaim-pol-00150,"['o’rourke', 'he']"
151,vclaim-pol-00151,['newspaper']
152,vclaim-pol-00152,"['milwaukee', 'that']"
153,vclaim-pol-00153,['helmer']
154,vclaim-pol-00154,[]
155,vclaim-pol-00155,"['democrats', 'republicans']"
156,vclaim-pol-00156,"['lee', 'you', 'you', 'power', 'words', 'that', 'everyone', 'things']"
157,vclaim-pol-00157,['charities']
158,vclaim-pol-00158,"['we', 'correlation', 'stigma', 'we']"
159,vclaim-pol-00159,"['who', 'cop']"
160,vclaim-pol-00160,['states']
161,vclaim-pol-00161,['shooter']
162,vclaim-pol-00162,['bolton']
163,vclaim-pol-00163,['people']
164,vclaim-pol-00164,"['it', 'million', 'they', 'they', 'employer']"
165,vclaim-pol-00165,['administration']
166,vclaim-pol-00166,"['senators', ""'s"", ""'s"", 'it']"
167,vclaim-pol-00167,"['difference', 'i', 'you', 'you', 'i', 'that', 'you', 'you']"
168,vclaim-pol-00168,"['%', 'we']"
169,vclaim-pol-00169,['life']
170,vclaim-pol-00170,"['donor', 'donor']"
171,vclaim-pol-00171,['photo']
172,vclaim-pol-00172,['scarecrow']
173,vclaim-pol-00173,['china']
174,vclaim-pol-00174,"['trump', 'politicians']"
175,vclaim-pol-00175,"['quack', 'nobody']"
176,vclaim-pol-00176,[]
177,vclaim-pol-00177,"['reality', 'incomes']"
178,vclaim-pol-00178,['he']
179,vclaim-pol-00179,['four']
180,vclaim-pol-00180,[]
181,vclaim-pol-00181,[]
182,vclaim-pol-00182,"['we', 'that', 'they', 'they']"
183,vclaim-pol-00183,['mccready']
184,vclaim-pol-00184,['tweet']
185,vclaim-pol-00185,['she']
186,vclaim-pol-00186,['pay']
187,vclaim-pol-00187,['deal']
188,vclaim-pol-00188,"['%', 'we']"
189,vclaim-pol-00189,['allen']
190,vclaim-pol-00190,"['whales', 'who', 'they']"
191,vclaim-pol-00191,"['rihanna', 'that']"
192,vclaim-pol-00192,['evers']
193,vclaim-pol-00193,"['america', 'who']"
194,vclaim-pol-00194,"['cortez', 'i', 'people', 'this', 'they', 'power', 'they', 'we']"
195,vclaim-pol-00195,['fires']
196,vclaim-pol-00196,"['models', 'dorian']"
197,vclaim-pol-00197,"['it', 'i']"
198,vclaim-pol-00198,[]
199,vclaim-pol-00199,"['people', 'people', 'they']"
200,vclaim-pol-00200,['image']
201,vclaim-pol-00201,"['he', 'who']"
202,vclaim-pol-00202,"['production', 'it']"
203,vclaim-pol-00203,['workers']
204,vclaim-pol-00204,"['churchill', 'you', 'that', 'you']"
205,vclaim-pol-00205,"['photo', 'trump', 'that', 'who', 'jesus']"
206,vclaim-pol-00206,[]
207,vclaim-pol-00207,['photo']
208,vclaim-pol-00208,['exorcism']
209,vclaim-pol-00209,['evers']
210,vclaim-pol-00210,['image']
211,vclaim-pol-00211,"['nation', 'it', 'government']"
212,vclaim-pol-00212,"['bishop', 'pharmacists']"
213,vclaim-pol-00213,[]
214,vclaim-pol-00214,['u.s.']
215,vclaim-pol-00215,"['scientists', 'we']"
216,vclaim-pol-00216,['mccready']
217,vclaim-pol-00217,"['trump', 'congress']"
218,vclaim-pol-00218,"['vos', 'he']"
219,vclaim-pol-00219,['people']
220,vclaim-pol-00220,['we']
221,vclaim-pol-00221,[]
222,vclaim-pol-00222,"['he', 'russia', 'that']"
223,vclaim-pol-00223,['u.s.']
224,vclaim-pol-00224,"['we', 'we', 'we', 'we']"
225,vclaim-pol-00225,['carolina']
226,vclaim-pol-00226,['you']
227,vclaim-pol-00227,[]
228,vclaim-pol-00228,"['muhammad', 'lee']"
229,vclaim-pol-00229,"['francis', 'you', 'it']"
230,vclaim-pol-00230,[]
231,vclaim-pol-00231,['trump']
232,vclaim-pol-00232,['restaurants']
233,vclaim-pol-00233,"['trump', 'he', 'they']"
234,vclaim-pol-00234,['program']
235,vclaim-pol-00235,['immigrants']
236,vclaim-pol-00236,[]
237,vclaim-pol-00237,"['photo', 'van', 'that']"
238,vclaim-pol-00238,['you']
239,vclaim-pol-00239,"['officials', 'that']"
240,vclaim-pol-00240,"['obama', 'it', 'media', 'he']"
241,vclaim-pol-00241,"['bishop', 'companies']"
242,vclaim-pol-00242,[]
243,vclaim-pol-00243,"['pizza', 'who']"
244,vclaim-pol-00244,"['users', 'everything', 'you']"
245,vclaim-pol-00245,"['we', 'they', 'they', 'they']"
246,vclaim-pol-00246,['we']
247,vclaim-pol-00247,"['loophole', 'you', 'you', 'you', 'you']"
248,vclaim-pol-00248,['%']
249,vclaim-pol-00249,['workers']
250,vclaim-pol-00250,"['hitler', 'year', 'nation', 'streets', 'police', 'world']"
251,vclaim-pol-00251,['tariffs']
252,vclaim-pol-00252,"['law', 'coverage']"
253,vclaim-pol-00253,['google']
254,vclaim-pol-00254,['people']
255,vclaim-pol-00255,"['governments', 'people', 'reason', 'people']"
256,vclaim-pol-00256,"['everyone', 'kids']"
257,vclaim-pol-00257,"['shootings', 'officers']"
258,vclaim-pol-00258,"['they', 'you', 'who', 'australia']"
259,vclaim-pol-00259,['plant']
260,vclaim-pol-00260,['which']
261,vclaim-pol-00261,"['zucker', 'it', 'epstein']"
262,vclaim-pol-00262,"['photo', 'trump']"
263,vclaim-pol-00263,"['we', 'i', 'we', 'they', 'they']"
264,vclaim-pol-00264,"['man', 'accomplices']"
265,vclaim-pol-00265,['%']
266,vclaim-pol-00266,"['policy', 'this', 'president', 'states']"
267,vclaim-pol-00267,['photograph']
268,vclaim-pol-00268,"['deficit', 'we', 'deficit']"
269,vclaim-pol-00269,"['johnson', 'kitt']"
270,vclaim-pol-00270,"['majority', 'we']"
271,vclaim-pol-00271,['owners']
272,vclaim-pol-00272,['democrat']
273,vclaim-pol-00273,['daughter']
274,vclaim-pol-00274,['actor']
275,vclaim-pol-00275,[]
276,vclaim-pol-00276,['someone']
277,vclaim-pol-00277,"['you', 'you', 'who']"
278,vclaim-pol-00278,"['americans', 'trump']"
279,vclaim-pol-00279,"['criminals', 'i', 'it', '%']"
280,vclaim-pol-00280,"['melting', 'levels', 'icebergs']"
281,vclaim-pol-00281,['epstein']
282,vclaim-pol-00282,['counties']
283,vclaim-pol-00283,"['biden', 'families']"
284,vclaim-pol-00284,"['affiliate', 'it']"
285,vclaim-pol-00285,[]
286,vclaim-pol-00286,['taxes']
287,vclaim-pol-00287,"['trump', 'immigrants']"
288,vclaim-pol-00288,['administration']
289,vclaim-pol-00289,"['sanders', 'he', 'baby']"
290,vclaim-pol-00290,"['brown', 'what', 'conference', 'i', 'it', 'what', 'i']"
291,vclaim-pol-00291,['trump']
292,vclaim-pol-00292,['west']
293,vclaim-pol-00293,"['administration', 'we', 'we']"
294,vclaim-pol-00294,[]
295,vclaim-pol-00295,"['i', 'we']"
296,vclaim-pol-00296,['that']
297,vclaim-pol-00297,"['ban', 'ban', 'they']"
298,vclaim-pol-00298,"['reeves', 'trump', 'nation', 'i', 'america']"
299,vclaim-pol-00299,[]
300,vclaim-pol-00300,['reagan']
301,vclaim-pol-00301,"['begich', 'sullivan']"
302,vclaim-pol-00302,['businesses']
303,vclaim-pol-00303,[]
304,vclaim-pol-00304,"['we', 'arabia']"
305,vclaim-pol-00305,['he']
306,vclaim-pol-00306,"['bruun', 'bush', 'which']"
307,vclaim-pol-00307,['congress']
308,vclaim-pol-00308,"['i', 'us', 'i', 'amendment', 'we', 'life', 'we']"
309,vclaim-pol-00309,"['that', 'rates', 'you']"
310,vclaim-pol-00310,"['obama', 'giuliani']"
311,vclaim-pol-00311,"['visa', 'who']"
312,vclaim-pol-00312,['percent']
313,vclaim-pol-00313,"['mccain', 'he']"
314,vclaim-pol-00314,"['americans', 'mississippi']"
315,vclaim-pol-00315,['we']
316,vclaim-pol-00316,"['i', 'it']"
317,vclaim-pol-00317,"['decline', 'it']"
318,vclaim-pol-00318,"['that', 'it']"
319,vclaim-pol-00319,"['clinton', 'surge', 'clinton', 'surge', 'we']"
320,vclaim-pol-00320,"['polls', 'public', 'ruling']"
321,vclaim-pol-00321,['richardson']
322,vclaim-pol-00322,"['we', 'it', 'percent']"
323,vclaim-pol-00323,['we']
324,vclaim-pol-00324,"['i', 'who', 'i', 'iraq', 'which']"
325,vclaim-pol-00325,"['you', 'we', 'truth', 'we', 'it']"
326,vclaim-pol-00326,['president']
327,vclaim-pol-00327,['americans']
328,vclaim-pol-00328,"['mccain', 'he', 'he']"
329,vclaim-pol-00329,['he']
330,vclaim-pol-00330,"['obama', 'he']"
331,vclaim-pol-00331,"['clinton', 'she']"
332,vclaim-pol-00332,"[""'s"", 'who', 'which', 'them', 'that', 'you']"
333,vclaim-pol-00333,['study']
334,vclaim-pol-00334,['he']
335,vclaim-pol-00335,"['bombs', 'vehicles']"
336,vclaim-pol-00336,['obama']
337,vclaim-pol-00337,"['i', 'i', 'they', 'who']"
338,vclaim-pol-00338,"['democrats', 'who', 'it', 'they']"
339,vclaim-pol-00339,['i']
340,vclaim-pol-00340,"['profits', 'pay', 'wages']"
341,vclaim-pol-00341,"['i', 'romney']"
342,vclaim-pol-00342,"['we', 'we']"
343,vclaim-pol-00343,"['china', 'cars']"
344,vclaim-pol-00344,['mexico']
345,vclaim-pol-00345,"['that', 'warming', 'it', 'i', 'that']"
346,vclaim-pol-00346,['we']
347,vclaim-pol-00347,"['mexico', 'we']"
348,vclaim-pol-00348,"['thompson', 'that']"
349,vclaim-pol-00349,"['thompson', 'they', 'they', 'parents']"
350,vclaim-pol-00350,"['chicago', '7', '52']"
351,vclaim-pol-00351,['walmart']
352,vclaim-pol-00352,"['warren', 'tonsils']"
353,vclaim-pol-00353,"['photograph', 'that']"
354,vclaim-pol-00354,"['salaries', 'congress', 'they']"
355,vclaim-pol-00355,"['congress', 'patients', 'that', 'who', 'we']"
356,vclaim-pol-00356,[]
357,vclaim-pol-00357,['leftists']
358,vclaim-pol-00358,"['wells', 'parks', 'she', 'you', 'she']"
359,vclaim-pol-00359,"['ice', 'families', 'paso']"
360,vclaim-pol-00360,[]
361,vclaim-pol-00361,['ohio']
362,vclaim-pol-00362,['americans']
363,vclaim-pol-00363,['we']
364,vclaim-pol-00364,"['we', 'average', 'we', 'gunman']"
365,vclaim-pol-00365,['shootings']
366,vclaim-pol-00366,"['rate', 'i', 'it']"
367,vclaim-pol-00367,['trump']
368,vclaim-pol-00368,"['democrats', 'who']"
369,vclaim-pol-00369,"['senate', 'biden', 'he', 'ed', 'he', 'women', 'he', 'women', 'who']"
370,vclaim-pol-00370,"['harris', 'that', 'she', 'she', 'she', 'what', 'judge', 'he']"
371,vclaim-pol-00371,"['we', 'country']"
372,vclaim-pol-00372,"['we', 'president']"
373,vclaim-pol-00373,"['farmers', 'we']"
374,vclaim-pol-00374,"['you', 'which']"
375,vclaim-pol-00375,['candidates']
376,vclaim-pol-00376,"['ex', '-', 'lt', 'sanguinetti', 'that']"
377,vclaim-pol-00377,"['we', 'that']"
378,vclaim-pol-00378,"['studies', 'you']"
379,vclaim-pol-00379,"['reagan', 'bush', 'clinton', 'bush', 'obama', 'trump']"
380,vclaim-pol-00380,['names']
381,vclaim-pol-00381,['photo']
382,vclaim-pol-00382,"['trump', 'we']"
383,vclaim-pol-00383,['tax']
384,vclaim-pol-00384,"['herzog', 'you', 'germany', '1/3']"
385,vclaim-pol-00385,"['lincoln', 'we', 'it', 'we']"
386,vclaim-pol-00386,"['whoopi', 'goldberg']"
387,vclaim-pol-00387,"['we', 'we']"
388,vclaim-pol-00388,[]
389,vclaim-pol-00389,['trump']
390,vclaim-pol-00390,['country']
391,vclaim-pol-00391,"['third', 'that']"
392,vclaim-pol-00392,"['scott', 'that', 'that']"
393,vclaim-pol-00393,[]
394,vclaim-pol-00394,['clinton']
395,vclaim-pol-00395,"['trump', 'immigrants', 'they']"
396,vclaim-pol-00396,['cortez']
397,vclaim-pol-00397,"['washington', 'many', 'president', 'he']"
398,vclaim-pol-00398,"['republicans', 'who']"
399,vclaim-pol-00399,['players']
400,vclaim-pol-00400,['supporter']
401,vclaim-pol-00401,[]
402,vclaim-pol-00402,"['mueller', 'it', 'it']"
403,vclaim-pol-00403,"['omar', 'paul']"
404,vclaim-pol-00404,"['people', 'have', 'answer']"
405,vclaim-pol-00405,"['news', 'they', 'they']"
406,vclaim-pol-00406,"['children', 'they', 'they']"
407,vclaim-pol-00407,"['leftists', 'campaign']"
408,vclaim-pol-00408,['they']
409,vclaim-pol-00409,['cortez']
410,vclaim-pol-00410,"['study', 'families']"
411,vclaim-pol-00411,['mccready']
412,vclaim-pol-00412,['cortez']
413,vclaim-pol-00413,"['indiana', 'illinois']"
414,vclaim-pol-00414,['changes']
415,vclaim-pol-00415,"['supporters', 'he']"
416,vclaim-pol-00416,"['cortez', 'drivers', 'government', 'drivers', 'we']"
417,vclaim-pol-00417,"['trump', 'that']"
418,vclaim-pol-00418,['department']
419,vclaim-pol-00419,"['trump', 'he', 'who']"
420,vclaim-pol-00420,[]
421,vclaim-pol-00421,"['expectancy', 'gap']"
422,vclaim-pol-00422,['fda']
423,vclaim-pol-00423,[]
424,vclaim-pol-00424,"['bush', 'people', 'we', 'they']"
425,vclaim-pol-00425,"['person', 'who', 'that', 'warburg', 'cancer']"
426,vclaim-pol-00426,"['one', 'illegals', 'they']"
427,vclaim-pol-00427,"['i', 'people', 'they', 'i', 'i', 'they', 'it']"
428,vclaim-pol-00428,['participation']
429,vclaim-pol-00429,['francisco']
430,vclaim-pol-00430,['obama']
431,vclaim-pol-00431,"['omar', 'qaida']"
432,vclaim-pol-00432,"['we', 'which']"
433,vclaim-pol-00433,['somebody']
434,vclaim-pol-00434,['it']
435,vclaim-pol-00435,"['study', 'drugs', 'that', 'percent']"
436,vclaim-pol-00436,['percent']
437,vclaim-pol-00437,['biden']
438,vclaim-pol-00438,['section']
439,vclaim-pol-00439,['ban']
440,vclaim-pol-00440,"['we', 'that', 'we', 'people']"
441,vclaim-pol-00441,"['americans', 'they']"
442,vclaim-pol-00442,"['i', 'i', 'i']"
443,vclaim-pol-00443,['man']
444,vclaim-pol-00444,"['kors', 'i']"
445,vclaim-pol-00445,['media']
446,vclaim-pol-00446,['we']
447,vclaim-pol-00447,"['we', 'it', 'we', 'things']"
448,vclaim-pol-00448,['person']
449,vclaim-pol-00449,"['photo', 'trump']"
450,vclaim-pol-00450,['migrants']
451,vclaim-pol-00451,"['you', 'child', 'they', 'you', 'they']"
452,vclaim-pol-00452,['commission']
453,vclaim-pol-00453,"['state', 'that', 'you']"
454,vclaim-pol-00454,['ministries']
455,vclaim-pol-00455,"['we', 'we']"
456,vclaim-pol-00456,['biden']
457,vclaim-pol-00457,['webcam']
458,vclaim-pol-00458,['democrats']
459,vclaim-pol-00459,"['changes', 'people']"
460,vclaim-pol-00460,['that']
461,vclaim-pol-00461,"['war', 'britain']"
462,vclaim-pol-00462,[]
463,vclaim-pol-00463,"['states', 'eisenhower', 'we', 'us', 'soviets', 'us']"
464,vclaim-pol-00464,"['i', 'girl']"
465,vclaim-pol-00465,['families']
466,vclaim-pol-00466,['i']
467,vclaim-pol-00467,['percent']
468,vclaim-pol-00468,['facebook']
469,vclaim-pol-00469,['booker']
470,vclaim-pol-00470,['administration']
471,vclaim-pol-00471,['flags']
472,vclaim-pol-00472,"['census', 'hispanics']"
473,vclaim-pol-00473,['companies']
474,vclaim-pol-00474,['family']
475,vclaim-pol-00475,['schools']
476,vclaim-pol-00476,"['department', 'decrees', 'that', 'decree', 'crime']"
477,vclaim-pol-00477,"['drivers', 'citizens']"
478,vclaim-pol-00478,['i']
479,vclaim-pol-00479,"['i', 'i']"
480,vclaim-pol-00480,['slaves']
481,vclaim-pol-00481,"['niro', 'i', 'president']"
482,vclaim-pol-00482,['giuliani']
483,vclaim-pol-00483,['one']
484,vclaim-pol-00484,"['drivers', 'they']"
485,vclaim-pol-00485,[]
486,vclaim-pol-00486,['photo']
487,vclaim-pol-00487,['ruling']
488,vclaim-pol-00488,"['it', 'we', 'who', 'things', 'these', 'i']"
489,vclaim-pol-00489,"['you', 'you', 'which', 'it', 'administrator', 'they']"
490,vclaim-pol-00490,"['you', 'we', 'that', 'which', 'it']"
491,vclaim-pol-00491,['grant']
492,vclaim-pol-00492,"['kissinger', 'herd', 'it', 'makers', 'we', 'herd']"
493,vclaim-pol-00493,"['police', 'technique', 'it']"
494,vclaim-pol-00494,['wisconsin']
495,vclaim-pol-00495,[]
496,vclaim-pol-00496,['administration']
497,vclaim-pol-00497,"['market', 'trump', 'obama', 'bush']"
498,vclaim-pol-00498,['i']
499,vclaim-pol-00499,['americans']
500,vclaim-pol-00500,['california']
501,vclaim-pol-00501,['people']
502,vclaim-pol-00502,['five']
503,vclaim-pol-00503,"['he', 'turnout', 'we', 'democrat']"
504,vclaim-pol-00504,"['increase', 'we']"
505,vclaim-pol-00505,['trump']
506,vclaim-pol-00506,"['i', 'obama', 'i', 'he']"
507,vclaim-pol-00507,"['amazon', 'they']"
508,vclaim-pol-00508,"['texas', 'texans', 'half']"
509,vclaim-pol-00509,"['reason', 'you', 'democrat']"
510,vclaim-pol-00510,['states']
511,vclaim-pol-00511,"['eastwood', 'hollywood', 'he']"
512,vclaim-pol-00512,"['trump', 'america']"
513,vclaim-pol-00513,"['i', 'i', 'i', 'clinton', 'i']"
514,vclaim-pol-00514,"['biden', 'he', 'he']"
515,vclaim-pol-00515,"['trump', 'who']"
516,vclaim-pol-00516,['you']
517,vclaim-pol-00517,['bike']
518,vclaim-pol-00518,"['rand', 'question', 'who', 'it', 'who']"
519,vclaim-pol-00519,"['sergeant', 'they']"
520,vclaim-pol-00520,['that']
521,vclaim-pol-00521,"['obama', 'we', 'i']"
522,vclaim-pol-00522,[]
523,vclaim-pol-00523,"['zuckerberg', 'it', 'you']"
524,vclaim-pol-00524,[]
525,vclaim-pol-00525,"['wayne', 'you', 'flag', 'you']"
526,vclaim-pol-00526,"['bloomberg', 'i', 'we']"
527,vclaim-pol-00527,['men']
528,vclaim-pol-00528,['they']
529,vclaim-pol-00529,['photo']
530,vclaim-pol-00530,[]
531,vclaim-pol-00531,"['mccready', 'he', 'money']"
532,vclaim-pol-00532,"['we', 'china']"
533,vclaim-pol-00533,"['research', 'salaries', 'we']"
534,vclaim-pol-00534,"['daniels', 'you']"
535,vclaim-pol-00535,"['millions', 'you']"
536,vclaim-pol-00536,['nixon']
537,vclaim-pol-00537,['people']
538,vclaim-pol-00538,[]
539,vclaim-pol-00539,"['video', 'him']"
540,vclaim-pol-00540,['photo']
541,vclaim-pol-00541,[]
542,vclaim-pol-00542,"['phenomenon', 'we']"
543,vclaim-pol-00543,"['it', 'critics', 'it']"
544,vclaim-pol-00544,"['republicans', 'manure']"
545,vclaim-pol-00545,['i']
546,vclaim-pol-00546,['we']
547,vclaim-pol-00547,['diseases']
548,vclaim-pol-00548,"['i', 'it', 'congress']"
549,vclaim-pol-00549,['trump']
550,vclaim-pol-00550,['tariffs']
551,vclaim-pol-00551,"['officials', 'you']"
552,vclaim-pol-00552,"['suffragettes', 'it']"
553,vclaim-pol-00553,[]
554,vclaim-pol-00554,['west']
555,vclaim-pol-00555,['photo']
556,vclaim-pol-00556,"['va', 'medicare']"
557,vclaim-pol-00557,['who']
558,vclaim-pol-00558,"['i', 'i', 'that']"
559,vclaim-pol-00559,[]
560,vclaim-pol-00560,"['media', 'shooter']"
561,vclaim-pol-00561,"['remember', 'we', 'he']"
562,vclaim-pol-00562,"['government', 'you', 'you']"
563,vclaim-pol-00563,"['majority', 'change', 'we']"
564,vclaim-pol-00564,['majority']
565,vclaim-pol-00565,"['we', 'people']"
566,vclaim-pol-00566,"['einstein', 'evil', 'what', 'man']"
567,vclaim-pol-00567,['lines']
568,vclaim-pol-00568,"['gillibrand', 'security', 'it']"
569,vclaim-pol-00569,"['psychologist', 'experts', 'it']"
570,vclaim-pol-00570,['tillis']
571,vclaim-pol-00571,['kingdom']
572,vclaim-pol-00572,"['we', 'population']"
573,vclaim-pol-00573,[]
574,vclaim-pol-00574,"['anybody', 'they', 'they']"
575,vclaim-pol-00575,"['investigation', 'i', 'i']"
576,vclaim-pol-00576,"['amash', 'he']"
577,vclaim-pol-00577,['california']
578,vclaim-pol-00578,['jacobs']
579,vclaim-pol-00579,"['people', 'who']"
580,vclaim-pol-00580,['bill']
581,vclaim-pol-00581,"['claim', 'person']"
582,vclaim-pol-00582,['we']
583,vclaim-pol-00583,"['trump', 'he', 'bombers']"
584,vclaim-pol-00584,[]
585,vclaim-pol-00585,"['sign', 'residents']"
586,vclaim-pol-00586,"['york', 'it']"
587,vclaim-pol-00587,[]
588,vclaim-pol-00588,"['pelosi', 'someone', 'they']"
589,vclaim-pol-00589,"['context', 'that']"
590,vclaim-pol-00590,"['they', 'it', 'they', 'that']"
591,vclaim-pol-00591,"['it', 'they']"
592,vclaim-pol-00592,['debt']
593,vclaim-pol-00593,"['video', 'pelosi']"
594,vclaim-pol-00594,['number']
595,vclaim-pol-00595,['photo']
