,ver_claim_ids,ver_claim_encodings
83,vclaim-pol-00083,"[ 0.00746889  0.10208461  0.08318315 ...  0.11002748  0.01153046
 -0.01385639]"
84,vclaim-pol-00084,"[ 0.00746889 -0.05408552  0.09275442 ...  0.03090528  0.03449271
  0.03293651]"
85,vclaim-pol-00085,"[ 0.00746889  0.08306509  0.05487116 ...  0.00280624  0.006761
 -0.01385639]"
86,vclaim-pol-00086,"[ 0.00746889 -0.04778164 -0.05596671 ...  0.032043    0.02539458
  0.02429495]"
87,vclaim-pol-00087,[0.00746889 0.1208387  0.07865071 ... 0.00701401 0.0198277  0.00878634]
88,vclaim-pol-00088,"[ 0.00746889  0.01202739  0.12588783 ...  0.05593712  0.06796142
 -0.01048418]"
89,vclaim-pol-00089,[0.00746889 0.00805335 0.03554963 ... 0.02329634 0.07971226 0.00171221]
90,vclaim-pol-00090,"[ 0.00746889 -0.01195408  0.11727348 ...  0.0830133   0.03804152
  0.00416297]"
91,vclaim-pol-00091,"[ 0.00746889 -0.02182344  0.10729435 ...  0.02250594  0.03280462
  0.00446599]"
92,vclaim-pol-00092,"[ 0.00746889  0.06388132  0.09028266 ...  0.04404239  0.02257784
 -0.01385639]"
93,vclaim-pol-00093,"[ 0.00746889 -0.03528738 -0.00915555 ...  0.02674643  0.06722182
 -0.00330582]"
94,vclaim-pol-00094,[0.00746889 0.02601634 0.01686962 ... 0.04330982 0.04035022 0.00152438]
95,vclaim-pol-00095,[0.00746889 0.02554793 0.0959395  ... 0.03784193 0.01502501 0.00289127]
96,vclaim-pol-00096,"[ 0.00746889  0.10271705  0.04761387 ... -0.06896786  0.00654948
  0.02684974]"
97,vclaim-pol-00097,"[ 0.00746889 -0.05828075  0.08820757 ... -0.02098699  0.06791555
  0.02324308]"
98,vclaim-pol-00098,"[ 7.4688899e-03 -3.6937371e-02  1.5933791e-02 ... -4.0588880e-04
  7.5611431e-05 -1.3856391e-02]"
99,vclaim-pol-00099,"[ 0.00746889 -0.00877458  0.03991764 ...  0.03631313  0.01543059
  0.00941125]"
100,vclaim-pol-00100,"[ 0.00746889  0.03014486  0.08964394 ...  0.03860004  0.06651036
 -0.01385639]"
101,vclaim-pol-00101,"[ 0.00746889 -0.03964266  0.07245456 ...  0.02760261  0.05461786
  0.00466526]"
102,vclaim-pol-00102,"[ 0.00746889 -0.03493135  0.04591928 ...  0.03148034  0.03413463
 -0.00048017]"
103,vclaim-pol-00103,"[ 0.00746889 -0.013537    0.09882209 ...  0.01719029  0.00282889
  0.00024691]"
104,vclaim-pol-00104,"[ 0.00746889 -0.08533282  0.09585837 ... -0.00022713 -0.03451259
 -0.01194789]"
105,vclaim-pol-00105,"[ 0.00746889 -0.01481199  0.09894758 ...  0.0442549   0.03844339
  0.01802169]"
106,vclaim-pol-00106,"[ 0.00746889 -0.06945135  0.06462492 ...  0.0261347   0.03254225
 -0.01107669]"
107,vclaim-pol-00107,"[ 0.00746889 -0.03832253  0.0667145  ... -0.00332896 -0.01700656
 -0.01385639]"
108,vclaim-pol-00108,"[ 0.00746889  0.06839623  0.09395809 ...  0.07367484  0.09749152
 -0.00156594]"
109,vclaim-pol-00109,"[ 0.00746889 -0.00260388  0.0632151  ...  0.01354713  0.05211163
  0.01466861]"
110,vclaim-pol-00110,"[ 7.4688899e-03 -6.5868005e-02  9.2295609e-02 ...  1.8783739e-02
  4.2305095e-05  5.8423093e-04]"
111,vclaim-pol-00111,"[ 0.00746889  0.07887922 -0.00526365 ...  0.02869467  0.02406635
 -0.0024324 ]"
112,vclaim-pol-00112,"[ 0.00746889 -0.03143517  0.08857273 ... -0.00472042  0.03117507
  0.02546011]"
113,vclaim-pol-00113,"[ 0.00746889  0.08025833  0.069287   ...  0.03441536 -0.00391515
 -0.0093435 ]"
114,vclaim-pol-00114,"[ 0.00746889 -0.00097193  0.09569086 ...  0.10125514  0.06079569
 -0.01001528]"
115,vclaim-pol-00115,"[ 0.00746889 -0.02827598  0.0480662  ...  0.06397296 -0.00611938
 -0.01385639]"
116,vclaim-pol-00116,"[ 0.00746889  0.05752021  0.069287   ...  0.04661587  0.0024578
 -0.01385639]"
117,vclaim-pol-00117,"[ 0.00746889 -0.01176841  0.07436944 ...  0.02652727 -0.02243724
  0.0107421 ]"
118,vclaim-pol-00118,[0.00746889 0.07078964 0.04252869 ... 0.02694686 0.02181975 0.01774934]
119,vclaim-pol-00119,"[ 0.00746889 -0.07645146  0.07250793 ... -0.02386815  0.04142392
  0.00555141]"
120,vclaim-pol-00120,"[ 0.00746889  0.07029324  0.03448703 ...  0.05025708  0.03106914
 -0.00697848]"
121,vclaim-pol-00121,"[ 0.00746889 -0.07031841  0.00257653 ...  0.05292874  0.04154605
  0.01334032]"
122,vclaim-pol-00122,[0.00746889 0.08700193 0.04106569 ... 0.02903248 0.03151591 0.00257555]
123,vclaim-pol-00123,"[ 0.00746889 -0.02635694  0.00098176 ...  0.01929733 -0.0020223
 -0.01385639]"
124,vclaim-pol-00124,"[ 0.00746889 -0.06270871  0.11988498 ...  0.03016573  0.00051829
  0.02003338]"
125,vclaim-pol-00125,[0.00746889 0.04000068 0.12331376 ... 0.04270792 0.03153869 0.00408649]
126,vclaim-pol-00126,"[ 0.00746889  0.04898258  0.131573   ...  0.01798072  0.05756119
 -0.01358986]"
127,vclaim-pol-00127,"[ 0.00746889  0.04128574  0.10840495 ... -0.00547255  0.01548125
 -0.01385639]"
128,vclaim-pol-00128,"[ 0.00746889 -0.00421777  0.08801141 ...  0.06143228  0.04960321
  0.00205598]"
129,vclaim-pol-00129,"[ 0.00746889 -0.02189502  0.02732656 ...  0.02503661 -0.00395054
 -0.00354106]"
130,vclaim-pol-00130,"[ 0.00746889 -0.03426445  0.02409542 ...  0.05853749  0.01434795
  0.01069612]"
131,vclaim-pol-00131,"[ 0.00746889 -0.05944186  0.05786236 ...  0.05132369  0.04779084
 -0.01385639]"
132,vclaim-pol-00132,"[ 0.00746889 -0.0654361   0.069287   ...  0.03178772  0.04056655
  0.00128672]"
133,vclaim-pol-00133,"[ 0.00746889 -0.06586801  0.02365249 ...  0.03764974  0.02694579
 -0.01385639]"
134,vclaim-pol-00134,"[ 0.00746889  0.00512195  0.11718779 ...  0.03795617 -0.02097209
 -0.01234676]"
135,vclaim-pol-00135,"[ 0.00746889 -0.07105359  0.05050957 ...  0.02130845  0.0347419
  0.00951512]"
136,vclaim-pol-00136,"[ 0.00746889 -0.00231962  0.14992487 ...  0.01144818  0.01910365
 -0.01385639]"
137,vclaim-pol-00137,"[ 0.00746889 -0.00596023  0.07924347 ...  0.02349573  0.00861327
 -0.00294483]"
138,vclaim-pol-00138,"[ 0.00746889 -0.00085302  0.08472874 ...  0.04149636  0.04146563
  0.00732925]"
139,vclaim-pol-00139,"[ 0.00746889 -0.03696185  0.04457598 ...  0.02862971  0.05696282
  0.00971275]"
140,vclaim-pol-00140,"[ 0.00746889 -0.02541449  0.01442617 ...  0.03687341  0.0346031
  0.02260183]"
141,vclaim-pol-00141,"[ 0.00746889 -0.05305493  0.13750406 ...  0.04863648  0.05741239
  0.00075109]"
142,vclaim-pol-00142,"[ 0.00746889  0.03019305  0.04264757 ... -0.01080564 -0.0233379
 -0.01385639]"
143,vclaim-pol-00143,"[ 0.00746889 -0.05723555  0.05700651 ...  0.01392923  0.05963938
  0.00437158]"
144,vclaim-pol-00144,"[ 0.00746889 -0.04952905  0.0882448  ... -0.00573799  0.02673832
 -0.00508515]"
145,vclaim-pol-00145,"[ 0.00746889 -0.06586801  0.11161557 ...  0.02574222 -0.00049652
  0.02119044]"
146,vclaim-pol-00146,"[ 0.00746889 -0.09541675  0.03507777 ... -0.00330739  0.01520044
 -0.00854339]"
147,vclaim-pol-00147,"[ 0.00746889 -0.02163773  0.09797863 ...  0.01982725  0.05315366
  0.01653091]"
148,vclaim-pol-00148,"[ 0.00746889 -0.06586801  0.10070612 ...  0.01915611  0.01728845
 -0.0075576 ]"
149,vclaim-pol-00149,"[ 0.00746889 -0.04001041  0.06592648 ...  0.04568018 -0.00021117
 -0.01385639]"
150,vclaim-pol-00150,"[ 0.00746889  0.03661554  0.07123884 ...  0.05959133  0.01998789
 -0.01385639]"
151,vclaim-pol-00151,"[ 0.00746889 -0.06586801  0.04564425 ...  0.025618    0.03255369
  0.00342006]"
152,vclaim-pol-00152,"[ 0.00746889 -0.03684212  0.07006975 ...  0.0809267   0.03236787
 -0.00877428]"
153,vclaim-pol-00153,"[ 0.00746889  0.08394079  0.06219349 ...  0.0054235   0.03407395
 -0.00972843]"
154,vclaim-pol-00154,"[ 0.00746889 -0.11889999  0.05129129 ...  0.00437996  0.00378495
  0.0205813 ]"
155,vclaim-pol-00155,"[ 0.00746889 -0.07047672  0.1445513  ...  0.0132992   0.00815242
  0.01862592]"
156,vclaim-pol-00156,[0.00746889 0.02453976 0.11562654 ... 0.02639318 0.02393821 0.00411252]
157,vclaim-pol-00157,"[ 0.00746889 -0.05668376  0.1862674  ...  0.05431547  0.03531835
  0.01664547]"
158,vclaim-pol-00158,[0.00746889 0.00264758 0.03483922 ... 0.04359393 0.02720298 0.00952295]
159,vclaim-pol-00159,"[ 0.00746889  0.00856385 -0.01377979 ...  0.05905673  0.05397353
 -0.01385639]"
160,vclaim-pol-00160,"[ 0.00746889 -0.06945135  0.03690813 ...  0.02948949 -0.00839617
 -0.01231519]"
161,vclaim-pol-00161,"[ 0.00746889  0.0315219   0.04068131 ...  0.02105243 -0.01636139
 -0.01163573]"
162,vclaim-pol-00162,"[ 0.00746889  0.17152905  0.02893937 ...  0.01838559 -0.03627894
 -0.00949455]"
163,vclaim-pol-00163,"[ 0.00746889 -0.04610679  0.05313988 ...  0.04136192 -0.01469676
 -0.01385639]"
164,vclaim-pol-00164,"[ 0.00746889 -0.01703371  0.02870667 ...  0.06277569  0.0667579
  0.02667839]"
165,vclaim-pol-00165,"[ 0.00746889  0.01637649  0.00042253 ...  0.03045586 -0.00506999
 -0.01385639]"
166,vclaim-pol-00166,"[ 0.00746889 -0.06043788  0.083079   ...  0.03195195  0.04277421
 -0.01385639]"
167,vclaim-pol-00167,[0.00746889 0.02578755 0.07083939 ... 0.04201513 0.00881524 0.00601247]
168,vclaim-pol-00168,"[ 0.00746889 -0.0461315   0.07075193 ...  0.01250796  0.04454293
  0.0395789 ]"
169,vclaim-pol-00169,"[ 0.00746889 -0.06586801  0.04796351 ...  0.01697883  0.12930302
 -0.00491616]"
170,vclaim-pol-00170,[0.00746889 0.01335089 0.11227081 ... 0.06825536 0.02034171 0.0153065 ]
171,vclaim-pol-00171,"[ 0.00746889  0.05603477  0.069287   ...  0.03720585  0.00514923
 -0.01341124]"
172,vclaim-pol-00172,"[ 0.00746889 -0.10747416  0.0548009  ...  0.0091924  -0.02192867
  0.00960182]"
173,vclaim-pol-00173,"[ 0.00746889 -0.05837268 -0.01453676 ...  0.03988684  0.02522821
  0.01931296]"
174,vclaim-pol-00174,[0.00746889 0.0413939  0.16225675 ... 0.06245941 0.0009283  0.02184605]
175,vclaim-pol-00175,"[ 0.00746889 -0.00274216  0.00465669 ...  0.05383112  0.02450349
  0.01271806]"
176,vclaim-pol-00176,"[ 0.00746889  0.0437226   0.03871252 ...  0.00889907  0.03479108
 -0.01094409]"
177,vclaim-pol-00177,"[ 0.00746889 -0.02361581  0.05957415 ...  0.07064655 -0.01431107
 -0.00624832]"
178,vclaim-pol-00178,"[ 0.00746889  0.0216717   0.05601031 ...  0.04158485 -0.0177278
 -0.01385639]"
179,vclaim-pol-00179,[0.00746889 0.2993578  0.12012301 ... 0.02718784 0.01496925 0.00582905]
180,vclaim-pol-00180,"[ 0.00746889  0.10666341  0.08086432 ...  0.05636312  0.01519125
 -0.00790223]"
181,vclaim-pol-00181,"[ 0.00746889 -0.0188499   0.04138944 ...  0.06325304  0.04838219
  0.02802487]"
182,vclaim-pol-00182,"[ 0.00746889 -0.00164404  0.05609385 ...  0.02110478  0.0168729
  0.01430102]"
183,vclaim-pol-00183,"[ 0.00746889  0.10940582  0.17038666 ...  0.03702936 -0.03884698
 -0.01385639]"
184,vclaim-pol-00184,"[ 0.00746889  0.04441237  0.08314554 ...  0.03554379  0.04006913
 -0.01385639]"
185,vclaim-pol-00185,"[ 0.00746889 -0.06586801  0.08881065 ...  0.0134132   0.02774828
 -0.01385639]"
186,vclaim-pol-00186,"[ 0.00746889 -0.05430116  0.09047555 ...  0.0601727   0.03908089
  0.02057383]"
187,vclaim-pol-00187,"[ 0.00746889 -0.03604839  0.06401395 ...  0.03971644  0.02986892
 -0.00307913]"
188,vclaim-pol-00188,"[ 0.00746889 -0.0668807   0.03998369 ...  0.00087     0.04173652
 -0.00036012]"
189,vclaim-pol-00189,"[ 0.00746889  0.1234769   0.05774348 ...  0.04131537  0.03168252
 -0.00826546]"
190,vclaim-pol-00190,"[ 0.00746889  0.14541566  0.08870979 ...  0.03336092  0.01003173
 -0.00615637]"
191,vclaim-pol-00191,"[ 0.00746889 -0.05120089  0.07929971 ...  0.0295084   0.05719565
 -0.01314599]"
192,vclaim-pol-00192,"[ 0.00746889 -0.06539019  0.00443979 ... -0.00691142 -0.02555119
 -0.01908506]"
193,vclaim-pol-00193,"[ 0.00746889 -0.08779398  0.02552898 ...  0.05772606  0.01760106
  0.01338085]"
194,vclaim-pol-00194,"[ 0.00746889  0.00204041  0.05998518 ...  0.01886347 -0.00576316
  0.0078334 ]"
195,vclaim-pol-00195,"[ 0.00746889 -0.06945135  0.04644065 ...  0.02293904  0.03963305
  0.0276338 ]"
196,vclaim-pol-00196,"[ 0.00746889 -0.02230406  0.008759   ...  0.00628672 -0.00294318
  0.01696588]"
197,vclaim-pol-00197,"[ 0.00746889 -0.05063196 -0.00330283 ...  0.02164364  0.03961923
 -0.00741372]"
198,vclaim-pol-00198,[0.00746889 0.04388763 0.0659394  ... 0.0436298  0.05130517 0.00221166]
199,vclaim-pol-00199,"[ 0.00746889 -0.01966291  0.05547476 ...  0.03180846  0.12084594
  0.00775539]"
200,vclaim-pol-00200,"[ 0.00746889 -0.02201522  0.07484713 ...  0.02375825  0.01279129
  0.00852741]"
201,vclaim-pol-00201,[0.00746889 0.01789949 0.13865876 ... 0.08347463 0.02505265 0.00351831]
202,vclaim-pol-00202,"[ 0.00746889 -0.05068891  0.14362305 ...  0.0426357   0.08793246
  0.03910588]"
203,vclaim-pol-00203,"[ 0.00746889 -0.04961288  0.15444265 ...  0.01371427  0.02024133
  0.04835254]"
204,vclaim-pol-00204,[0.00746889 0.00597309 0.08674355 ... 0.01656613 0.04587518 0.00545773]
205,vclaim-pol-00205,[0.00746889 0.03347461 0.08186207 ... 0.06128084 0.01710521 0.00020101]
206,vclaim-pol-00206,"[ 0.00746889  0.0262372   0.05393784 ...  0.01257822  0.01524155
 -0.00379881]"
207,vclaim-pol-00207,"[ 0.00746889 -0.0247831   0.069287   ...  0.03731712  0.01730178
  0.01029118]"
208,vclaim-pol-00208,"[ 0.00746889 -0.03167241  0.05533127 ... -0.00548727  0.018714
 -0.01385639]"
209,vclaim-pol-00209,"[ 0.00746889  0.06849404  0.00397432 ... -0.01080752 -0.02191365
  0.00961979]"
210,vclaim-pol-00210,"[ 0.00746889 -0.06586801  0.09100218 ...  0.03206264 -0.00876583
  0.01775523]"
211,vclaim-pol-00211,"[ 0.00746889  0.10007842  0.04243642 ...  0.06646649  0.01116124
 -0.00943316]"
212,vclaim-pol-00212,"[ 0.00746889  0.10940582  0.06519493 ...  0.0352089   0.03752609
 -0.00120718]"
213,vclaim-pol-00213,"[ 0.00746889 -0.05871096  0.05639494 ...  0.05274742  0.01655522
 -0.00404428]"
214,vclaim-pol-00214,"[ 0.00746889 -0.0571866   0.10446992 ...  0.0420006  -0.00659694
  0.02950329]"
215,vclaim-pol-00215,"[ 0.00746889 -0.03906867  0.07961172 ...  0.05986641  0.0129645
  0.00918504]"
216,vclaim-pol-00216,"[ 0.00746889  0.10940582  0.09717556 ...  0.02972768  0.02398589
 -0.00235841]"
217,vclaim-pol-00217,"[ 0.00746889  0.0413939   0.07230859 ...  0.03537041  0.05106398
 -0.00487393]"
218,vclaim-pol-00218,"[ 0.00746889 -0.01244608  0.11035092 ...  0.06889027  0.01379592
  0.01544424]"
219,vclaim-pol-00219,"[ 0.00746889 -0.05940455  0.0628728  ... -0.01480463  0.03178653
 -0.00831726]"
220,vclaim-pol-00220,"[ 0.00746889 -0.04778164  0.08711725 ...  0.04943685  0.00281501
 -0.01223195]"
221,vclaim-pol-00221,"[ 0.00746889 -0.01309123  0.05231377 ...  0.02229284  0.09160981
 -0.01097493]"
222,vclaim-pol-00222,[0.00746889 0.02604164 0.04803204 ... 0.07136276 0.03176414 0.01045892]
223,vclaim-pol-00223,"[ 0.00746889  0.02227373  0.14762066 ...  0.02119275  0.01298966
 -0.00318075]"
224,vclaim-pol-00224,"[ 0.00746889 -0.00968613  0.07320967 ...  0.05225743  0.06584677
  0.02564843]"
225,vclaim-pol-00225,"[ 0.00746889 -0.03720029  0.08542079 ...  0.03716559  0.03010457
  0.01834609]"
226,vclaim-pol-00226,"[ 0.00746889 -0.04164575  0.05801321 ...  0.01434402  0.00896177
 -0.01385639]"
227,vclaim-pol-00227,"[ 0.00746889  0.04023952  0.04718667 ...  0.02901856  0.02540852
 -0.0024324 ]"
228,vclaim-pol-00228,[0.00746889 0.06535099 0.01292713 ... 0.04013071 0.00430303 0.00431402]
229,vclaim-pol-00229,"[ 0.00746889  0.06892632  0.01600675 ...  0.03322038  0.03780957
 -0.00464898]"
230,vclaim-pol-00230,"[ 0.00746889  0.02659669  0.04870171 ...  0.00572534 -0.00305741
 -0.00464789]"
231,vclaim-pol-00231,"[ 0.00746889  0.06305662  0.03407744 ...  0.03414051  0.02641144
 -0.01385639]"
232,vclaim-pol-00232,"[ 0.00746889 -0.06586801  0.07703332 ...  0.03125856  0.0497902
 -0.00295247]"
