,ver_claim_ids,named_entities
93,vclaim-pol-00093,"[['Freddy Krueger', 329116, 'Q329466'], ['serial killer', 42626, 'Q484188']]"
94,vclaim-pol-00094,"[['middle class', 251534, 'Q241588']]"
95,vclaim-pol-00095,"[['Barack Obama', 534366, 'Q76'], ['Ukraine', 31750, 'Q212'], ['campaign manager', 994226, 'Q5027838'], ['3 Democrat', 'not available', 'not available'], ['Ukraine', 31750, 'Q212'], ['Trump', 4848272, 'Q22686'], ['DNC', 182450, 'Q1185863'], ['Ukraine', 31750, 'Q212'], ['Trump', 4848272, 'Q22686']]"
96,vclaim-pol-00096,"[['Red Bull', 61123, 'Q51482']]"
97,vclaim-pol-00097,"[['$575 billion', 'not available', 'not available'], ['Medicare', 58353, 'Q559392'], ['Trump', 4848272, 'Q22686'], ['2020', 48410011, 'Q22923830']]"
98,vclaim-pol-00098,"[['Trump', 'not available', 'not available']]"
99,vclaim-pol-00099,"[['Israel', 9282173, 'Q801'], ['school shootings', 59628, 'Q473853'], ['44', 'not available', 'not available']]"
100,vclaim-pol-00100,"[['Beto O’Rourke', 'not available', 'not available']]"
101,vclaim-pol-00101,"[['Missouri', 19571, 'Q1581'], ['48', 'not available', 'not available'], ['50', 'not available', 'not available']]"
102,vclaim-pol-00102,"[['2016', 'not available', 'not available'], ['I won', 'not available', 'not available'], ['42', 'not available', 'not available'], ['42', 'not available', 'not available'], ['West Virginia', 32905, 'Q1371']]"
103,vclaim-pol-00103,"[['Siobhan Dunnavant', 50466617, 'Q24054001'], ['Republican', 32070, 'Q29468'], ['insurance companies', 15176, 'Q43183'], ['pre-existing conditions', 24355242, 'Q7239228']]"
104,vclaim-pol-00104,"[['death row', 20786828, 'Q1083686'], ['people of color', 526594, 'Q2072081']]"
105,vclaim-pol-00105,"[['WV', 'not available', 'not available'], ['16th', 'not available', 'not available'], ['national survey', 20749040, 'Q6979629'], ['highway systems', 43950, 'Q94247'], ['20', 'not available', 'not available'], ['hard work', 18483349, 'Q1427962']]"
106,vclaim-pol-00106,"[['United States', 3434750, 'Q30'], ['1', 'not available', 'not available']]"
107,vclaim-pol-00107,"[['Clint Eastwood', 43373, 'Q43203']]"
108,vclaim-pol-00108,"[['El Chapo', 4176378, 'Q456321'], ['James Comey', 2156690, 'Q167607'], ['launder', 19390, 'Q151900'], ['$150 million', 'not available', 'not available'], ['Pelosi', 147301, 'Q170581']]"
109,vclaim-pol-00109,"[['Longstanding', 'not available', 'not available'], ['whistleblower', 33821, 'Q26102'], ['whistleblower', 33821, 'Q26102']]"
110,vclaim-pol-00110,"[['Pat McCrory', 1756402, 'Q39311'], ['illegal aliens', 7124412, 'Q856681'], ['9/11', 5058690, 'Q10806'], ['terrorist attacks', 30636, 'Q7283']]"
111,vclaim-pol-00111,"[['Republican', 32070, 'Q29468'], ['Gov.', 12861, 'Q2347975'], ['Phil Scott', 25273134, 'Q7185808'], ['voted to impeach', 9583338, 'Q16149795'], ['President Trump', 4848272, 'Q22686']]"
112,vclaim-pol-00112,"[['49%', 'not available', 'not available'], ['1%', 'not available', 'not available']]"
113,vclaim-pol-00113,"[['Greta Thunberg', 'not available', 'not available'], ['George Soros', 6951166, 'Q12908'], ['ISIS', 9087364, 'Q2429253']]"
114,vclaim-pol-00114,[]
115,vclaim-pol-00115,[]
116,vclaim-pol-00116,"[['Democrat', 5043544, 'Q29552'], ['Keith Ellison', 5437748, 'Q40589']]"
117,vclaim-pol-00117,"[['The Green New Deal', 'not available', 'not available'], ['$600,000', 'not available', 'not available'], ['tax burden', 3134763, 'Q2165871']]"
118,vclaim-pol-00118,"[['Gov.', 'not available', 'not available'], ['Tony Evers', 31654936, 'Q7822309'], ['Madison', 'not available', 'not available'], ['Milwaukee', 53117, 'Q37836']]"
119,vclaim-pol-00119,"[['cocaine', 7701, 'Q41576']]"
120,vclaim-pol-00120,"[['Andy Rooney', 253662, 'Q138846'], ['Christianity in the United States', 11854761, 'Q4116393']]"
121,vclaim-pol-00121,"[['unemployment', 31741, 'Q41171'], ['President Trump', 4848272, 'Q22686'], ['70', 'not available', 'not available']]"
122,vclaim-pol-00122,"[['Marcus Aurelius', 20155, 'Q1430']]"
123,vclaim-pol-00123,"[['middle of the night', 21538066, 'Q1750339']]"
124,vclaim-pol-00124,"[['prosecutor', 440936, 'Q600751'], ['Ukraine', 31750, 'Q212']]"
125,vclaim-pol-00125,"[['dog', 4269567, 'Q144']]"
126,vclaim-pol-00126,"[['Saddam Hussein', 29490, 'Q1316'], ['America', 'not available', 'not available'], ['sword', 27863, 'Q12791'], ['America', 'not available', 'not available']]"
127,vclaim-pol-00127,"[['fentanyl', 141915, 'Q407541']]"
128,vclaim-pol-00128,"[['80%', 'not available', 'not available'], ['world’s population', 19017269, 'Q11188'], ['religious liberty', 46006, 'Q171899']]"
129,vclaim-pol-00129,"[['Trump administration', 52231341, 'Q27809653']]"
130,vclaim-pol-00130,"[['Europe', 9239, 'Q46'], ['Ukraine', 31750, 'Q212'], ['United States', 3434750, 'Q30']]"
131,vclaim-pol-00131,"[['ICE', 'not available', 'not available'], ['illegal immigrant', 7124412, 'Q856681']]"
132,vclaim-pol-00132,"[['climate change', 47512, 'Q125928']]"
133,vclaim-pol-00133,"[['11', 'not available', 'not available'], ['year-old', 2545801, 'Q1595351'], ['Montana', 19978, 'Q1212']]"
134,vclaim-pol-00134,"[['Kirk ""Cox', 'not available', 'not available']]"
135,vclaim-pol-00135,"[['illegal immigration', 7124412, 'Q856681'], ['50', 'not available', 'not available']]"
136,vclaim-pol-00136,"[['Winston Churchill', 33265, 'Q8016'], ['Diplomacy', 43832903, 'Q15990773']]"
137,vclaim-pol-00137,"[['background check', 880871, 'Q1087682'], ['Texas', 29810, 'Q1439']]"
138,vclaim-pol-00138,"[['Trump', 4848272, 'Q22686'], ['Fox News', 11121, 'Q186068'], ['Democrats', 'not available', 'not available'], ['subpoena', 223929, 'Q5608642'], ['10, 15, 20', 'not available', 'not available']]"
139,vclaim-pol-00139,"[['1,600', 'not available', 'not available'], ['coal-fired power plants', 1560443, 'Q1434958']]"
140,vclaim-pol-00140,"[['Americans', 'not available', 'not available'], ['29.3', 'not available', 'not available'], ['robocalls', 7807049, 'Q7353270'], ['64 percent', 'not available', 'not available'], ['2016', 'not available', 'not available']]"
141,vclaim-pol-00141,"[['President Trump', 4848272, 'Q22686'], ['homelessness crisis', 25245006, 'Q5889670'], ['affordable housing', 3531662, 'Q4689034'], ['based on gender', 43094, 'Q2672163'], ['sexual orientation', 29252, 'Q17888'], ['subsidized housing', 1889565, 'Q12301128']]"
142,vclaim-pol-00142,"[['Rick Scott', 4280148, 'Q439729'], ['Florida', 18933066, 'Q812'], ['HIV/AIDS prevention', 14170, 'Q15787']]"
143,vclaim-pol-00143,"[['$350 million', 'not available', 'not available'], ['fraud', 58790, 'Q28813'], ['40', 'not available', 'not available'], ['criminal charges', 14559, 'Q40889434'], ['Republicans', 32070, 'Q29468'], ['Democrats', 'not available', 'not available']]"
144,vclaim-pol-00144,"[['27,000', 'not available', 'not available'], ['200,000', 'not available', 'not available'], ['Wisconsinites', 'not available', 'not available'], ['2016', 'not available', 'not available']]"
145,vclaim-pol-00145,"[['Ilhan Omar', 51289996, 'Q26436159'], ['9/11', 5058690, 'Q10806']]"
146,vclaim-pol-00146,"[['Wisconsin', 33127, 'Q1537'], ['Illinois', 14849, 'Q1204']]"
147,vclaim-pol-00147,"[['Ivanka Trump', 1861441, 'Q239411'], ['China', 5405, 'Q148']]"
148,vclaim-pol-00148,"[['Elizabeth Warren', 290195, 'Q434706'], ['$400,000', 'not available', 'not available']]"
149,vclaim-pol-00149,"[['Obama-Biden', 17881122, 'Q2935433']]"
150,vclaim-pol-00150,"[['Beto O’Rourke', 'not available', 'not available'], ['can’t', 61999, 'Q72653'], ['criminal record', 418462, 'Q1070100']]"
151,vclaim-pol-00151,"[['newspaper stands', 964270, 'Q1528905'], ['east, west', 3364091, 'Q3733318']]"
152,vclaim-pol-00152,"[['Milwaukee', 53117, 'Q37836'], ['taxing power', 3490407, 'Q7689659'], ['U.S. city', 6734032, 'Q2481479'], ['400,000', 'not available', 'not available'], ['sales tax', 296328, 'Q11055488'], ['local income tax', 12849331, 'Q6664437']]"
153,vclaim-pol-00153,"[['Dan Helmer', 'not available', 'not available'], ['private insurance', 15176, 'Q43183']]"
154,vclaim-pol-00154,"[['U.S.', 3434750, 'Q30'], ['$2 billion', 'not available', 'not available'], ['U S M C A', 'not available', 'not available']]"
155,vclaim-pol-00155,"[['Democrats', 'not available', 'not available'], ['9/11', 'not available', 'not available'], ['NC Republicans', 'not available', 'not available'], ['controversial vote', 10523758, 'Q4575661']]"
156,vclaim-pol-00156,"[['Bruce Lee', 37313, 'Q16397'], ['True power', 1780823, 'Q1930258']]"
157,vclaim-pol-00157,"[['well-known', 5796, 'Q211236'], ['Goodwill and American Red Cross', 'not available', 'not available']]"
158,vclaim-pol-00158,"[['M.I', 24300983, 'Q6712192'], ['body of research', 47278, 'Q1127759'], ['weight stigma', 47941261, 'Q22909738'], ['weight cycling', 1148926, 'Q943601'], ['health outcomes', 80381, 'Q12147']]"
159,vclaim-pol-00159,"[['gym', 21463614, 'Q14092'], ['Chicago', 6886, 'Q1297'], ['53', 'not available', 'not available']]"
160,vclaim-pol-00160,"[['United States', 3434750, 'Q30']]"
161,vclaim-pol-00161,"[['Odessa', 55545, 'Q1874'], ['Beto', 'not available', 'not available']]"
162,vclaim-pol-00162,"[['John Bolton', 'not available', 'not available']]"
163,vclaim-pol-00163,"[['felonies', 11293, 'Q178844'], ['restraining orders', 39343, 'Q6495575'], ['firearm', 11966, 'Q1574963'], ['background check', 880871, 'Q1087682']]"
164,vclaim-pol-00164,"[['150 million', 'not available', 'not available'], ['private insurance', 15176, 'Q43183'], ['50 million', 'not available', 'not available'], ['private insurance', 15176, 'Q43183'], ['insurance policy', 669856, 'Q977871']]"
165,vclaim-pol-00165,"[['Obama administration', 20082093, 'Q1379733']]"
166,vclaim-pol-00166,"[['54', 'not available', 'not available'], ['background checks', 2738211, 'Q6973556'], ['assault weapons', 163205, 'Q4808602'], ['54', 'not available', 'not available'], ['filibuster', 26376415, 'Q5448434']]"
167,vclaim-pol-00167,"[['Vice President Biden', 145422, 'Q6279'], ['Medicare', 58353, 'Q559392'], ['public option', 24008878, 'Q17076813'], ['big difference', 29835333, 'Q2472357']]"
168,vclaim-pol-00168,[]
169,vclaim-pol-00169,"[['aquatic life', 1975073, 'Q3289906'], ['Alaska', 624, 'Q797'], ['Canada', 5042916, 'Q16'], ['Australia', 4689264, 'Q408'], ['cancer', 105219, 'Q12078'], ['Fukushima', 31162817, 'Q171178'], ['nuclear disaster', 31162817, 'Q171178']]"
170,vclaim-pol-00170,"[['$17 million', 'not available', 'not available'], ['Leo', 'not available', 'not available'], ['Judicial Crisis Network', 45637240, 'Q21070822'], ['Judge', 44719, 'Q16533'], ['Merrick Garland', 1110156, 'Q1922011'], ['Gorsuch', 6049434, 'Q15488345'], ['$17 million', 'not available', 'not available'], ['Kavanaugh', 'not available', 'not available']]"
171,vclaim-pol-00171,"[['President Ronald Reagan', 25433, 'Q9960'], ['Taliban', 30635, 'Q42418'], ['White House', 33057, 'Q35525']]"
172,vclaim-pol-00172,"[['scarecrow', 19637796, 'Q1990797'], ['Texas ranch', 210047, 'Q3280406'], ['human skeleton', 168848, 'Q9621']]"
173,vclaim-pol-00173,"[['China', 5405, 'Q148'], ['57', 'not available', 'not available']]"
174,vclaim-pol-00174,"[['President Donald Trump', 4848272, 'Q22686'], ['$1 million', 'not available', 'not available'], ['Bahamas', 3451, 'Q778'], ['Hurricane Dorian', 'not available', 'not available']]"
175,vclaim-pol-00175,[]
176,vclaim-pol-00176,"[['Ronald Reagan', 25433, 'Q9960'], ['ammunition', 18940621, 'Q185785']]"
177,vclaim-pol-00177,"[['Americans', 'not available', 'not available'], ['Obama presidency', 20082093, 'Q1379733']]"
178,vclaim-pol-00178,"[['Medicaid', 55794, 'Q1141363']]"
179,vclaim-pol-00179,"[['47', 'not available', 'not available'], ['Declaration of Independence', 31874, 'Q127912']]"
180,vclaim-pol-00180,"[['car accident', 19740545, 'Q9687'], ['comedian', 179375, 'Q245068'], ['Kevin Hart', 6667920, 'Q618352'], ['paralyzed', 23254, 'Q107231'], ['vocal cords', 32807, 'Q215558'], ['paralyzed', 23254, 'Q107231'], ['inability to speak', 9415677, 'Q671776']]"
181,vclaim-pol-00181,"[['390 million', 'not available', 'not available'], ['329 million', 'not available', 'not available']]"
182,vclaim-pol-00182,"[['600', 'not available', 'not available'], ['don’t', 43037173, 'Q17646620']]"
183,vclaim-pol-00183,"[['Dan McCready', 'not available', 'not available'], ['socialism', 26847, 'Q7272']]"
