,ver_claim_ids,used_words_and_synonyms
238,vclaim-pol-00238,26
239,vclaim-pol-00239,16
240,vclaim-pol-00240,33
241,vclaim-pol-00241,38
242,vclaim-pol-00242,20
243,vclaim-pol-00243,23
244,vclaim-pol-00244,20
245,vclaim-pol-00245,45
246,vclaim-pol-00246,15
247,vclaim-pol-00247,41
248,vclaim-pol-00248,16
249,vclaim-pol-00249,25
250,vclaim-pol-00250,49
251,vclaim-pol-00251,15
252,vclaim-pol-00252,25
253,vclaim-pol-00253,24
254,vclaim-pol-00254,17
255,vclaim-pol-00255,58
256,vclaim-pol-00256,48
257,vclaim-pol-00257,20
258,vclaim-pol-00258,22
259,vclaim-pol-00259,20
260,vclaim-pol-00260,39
261,vclaim-pol-00261,35
262,vclaim-pol-00262,25
263,vclaim-pol-00263,43
264,vclaim-pol-00264,28
265,vclaim-pol-00265,10
266,vclaim-pol-00266,46
267,vclaim-pol-00267,15
268,vclaim-pol-00268,34
269,vclaim-pol-00269,32
270,vclaim-pol-00270,34
271,vclaim-pol-00271,22
272,vclaim-pol-00272,19
273,vclaim-pol-00273,21
274,vclaim-pol-00274,26
275,vclaim-pol-00275,25
276,vclaim-pol-00276,33
277,vclaim-pol-00277,34
278,vclaim-pol-00278,17
279,vclaim-pol-00279,28
280,vclaim-pol-00280,19
281,vclaim-pol-00281,7
282,vclaim-pol-00282,19
283,vclaim-pol-00283,25
284,vclaim-pol-00284,12
285,vclaim-pol-00285,23
286,vclaim-pol-00286,12
287,vclaim-pol-00287,20
288,vclaim-pol-00288,19
289,vclaim-pol-00289,38
290,vclaim-pol-00290,60
291,vclaim-pol-00291,12
292,vclaim-pol-00292,15
293,vclaim-pol-00293,38
294,vclaim-pol-00294,10
295,vclaim-pol-00295,46
296,vclaim-pol-00296,20
297,vclaim-pol-00297,32
298,vclaim-pol-00298,52
299,vclaim-pol-00299,15
300,vclaim-pol-00300,16
301,vclaim-pol-00301,19
302,vclaim-pol-00302,20
303,vclaim-pol-00303,13
304,vclaim-pol-00304,13
305,vclaim-pol-00305,15
306,vclaim-pol-00306,25
307,vclaim-pol-00307,15
308,vclaim-pol-00308,52
309,vclaim-pol-00309,38
310,vclaim-pol-00310,15
311,vclaim-pol-00311,31
312,vclaim-pol-00312,22
313,vclaim-pol-00313,17
314,vclaim-pol-00314,20
315,vclaim-pol-00315,17
316,vclaim-pol-00316,25
317,vclaim-pol-00317,26
318,vclaim-pol-00318,26
319,vclaim-pol-00319,39
320,vclaim-pol-00320,22
321,vclaim-pol-00321,21
322,vclaim-pol-00322,33
323,vclaim-pol-00323,21
324,vclaim-pol-00324,50
325,vclaim-pol-00325,43
326,vclaim-pol-00326,7
327,vclaim-pol-00327,11
328,vclaim-pol-00328,25
329,vclaim-pol-00329,16
330,vclaim-pol-00330,42
331,vclaim-pol-00331,44
332,vclaim-pol-00332,81
333,vclaim-pol-00333,15
334,vclaim-pol-00334,16
335,vclaim-pol-00335,25
336,vclaim-pol-00336,23
337,vclaim-pol-00337,32
338,vclaim-pol-00338,33
339,vclaim-pol-00339,16
340,vclaim-pol-00340,20
341,vclaim-pol-00341,18
342,vclaim-pol-00342,28
343,vclaim-pol-00343,24
344,vclaim-pol-00344,15
345,vclaim-pol-00345,36
346,vclaim-pol-00346,14
347,vclaim-pol-00347,21
348,vclaim-pol-00348,29
349,vclaim-pol-00349,41
350,vclaim-pol-00350,21
351,vclaim-pol-00351,14
352,vclaim-pol-00352,20
353,vclaim-pol-00353,23
354,vclaim-pol-00354,25
355,vclaim-pol-00355,46
356,vclaim-pol-00356,21
357,vclaim-pol-00357,25
358,vclaim-pol-00358,50
359,vclaim-pol-00359,24
360,vclaim-pol-00360,8
361,vclaim-pol-00361,11
362,vclaim-pol-00362,27
363,vclaim-pol-00363,14
364,vclaim-pol-00364,60
365,vclaim-pol-00365,20
366,vclaim-pol-00366,28
367,vclaim-pol-00367,17
368,vclaim-pol-00368,17
369,vclaim-pol-00369,76
370,vclaim-pol-00370,71
371,vclaim-pol-00371,26
372,vclaim-pol-00372,24
373,vclaim-pol-00373,21
374,vclaim-pol-00374,30
375,vclaim-pol-00375,18
376,vclaim-pol-00376,37
377,vclaim-pol-00377,18
378,vclaim-pol-00378,29
379,vclaim-pol-00379,59
380,vclaim-pol-00380,27
381,vclaim-pol-00381,28
382,vclaim-pol-00382,33
383,vclaim-pol-00383,19
384,vclaim-pol-00384,37
385,vclaim-pol-00385,32
386,vclaim-pol-00386,19
387,vclaim-pol-00387,19
388,vclaim-pol-00388,16
389,vclaim-pol-00389,18
390,vclaim-pol-00390,11
391,vclaim-pol-00391,29
392,vclaim-pol-00392,32
393,vclaim-pol-00393,19
394,vclaim-pol-00394,11
395,vclaim-pol-00395,18
396,vclaim-pol-00396,12
397,vclaim-pol-00397,41
398,vclaim-pol-00398,22
399,vclaim-pol-00399,18
400,vclaim-pol-00400,18
401,vclaim-pol-00401,29
402,vclaim-pol-00402,41
403,vclaim-pol-00403,29
404,vclaim-pol-00404,24
405,vclaim-pol-00405,29
406,vclaim-pol-00406,37
407,vclaim-pol-00407,14
408,vclaim-pol-00408,13
409,vclaim-pol-00409,14
410,vclaim-pol-00410,32
411,vclaim-pol-00411,10
412,vclaim-pol-00412,11
413,vclaim-pol-00413,23
414,vclaim-pol-00414,30
415,vclaim-pol-00415,19
416,vclaim-pol-00416,44
417,vclaim-pol-00417,26
418,vclaim-pol-00418,22
419,vclaim-pol-00419,26
420,vclaim-pol-00420,34
421,vclaim-pol-00421,69
422,vclaim-pol-00422,28
423,vclaim-pol-00423,21
424,vclaim-pol-00424,32
425,vclaim-pol-00425,48
426,vclaim-pol-00426,26
427,vclaim-pol-00427,43
428,vclaim-pol-00428,10
429,vclaim-pol-00429,37
430,vclaim-pol-00430,19
431,vclaim-pol-00431,17
432,vclaim-pol-00432,31
433,vclaim-pol-00433,19
434,vclaim-pol-00434,21
435,vclaim-pol-00435,41
436,vclaim-pol-00436,14
437,vclaim-pol-00437,17
438,vclaim-pol-00438,20
439,vclaim-pol-00439,21
440,vclaim-pol-00440,35
441,vclaim-pol-00441,22
442,vclaim-pol-00442,33
443,vclaim-pol-00443,18
444,vclaim-pol-00444,17
445,vclaim-pol-00445,16
446,vclaim-pol-00446,21
447,vclaim-pol-00447,27
448,vclaim-pol-00448,23
449,vclaim-pol-00449,16
450,vclaim-pol-00450,25
451,vclaim-pol-00451,47
452,vclaim-pol-00452,19
453,vclaim-pol-00453,33
454,vclaim-pol-00454,16
455,vclaim-pol-00455,35
456,vclaim-pol-00456,10
457,vclaim-pol-00457,41
458,vclaim-pol-00458,12
459,vclaim-pol-00459,34
460,vclaim-pol-00460,13
461,vclaim-pol-00461,31
462,vclaim-pol-00462,12
463,vclaim-pol-00463,57
464,vclaim-pol-00464,44
465,vclaim-pol-00465,18
466,vclaim-pol-00466,19
467,vclaim-pol-00467,14
468,vclaim-pol-00468,13
469,vclaim-pol-00469,17
470,vclaim-pol-00470,15
471,vclaim-pol-00471,14
472,vclaim-pol-00472,36
473,vclaim-pol-00473,16
474,vclaim-pol-00474,19
475,vclaim-pol-00475,12
476,vclaim-pol-00476,49
477,vclaim-pol-00477,18
478,vclaim-pol-00478,14
479,vclaim-pol-00479,22
480,vclaim-pol-00480,19
481,vclaim-pol-00481,26
482,vclaim-pol-00482,11
483,vclaim-pol-00483,22
484,vclaim-pol-00484,19
485,vclaim-pol-00485,12
486,vclaim-pol-00486,14
487,vclaim-pol-00487,18
488,vclaim-pol-00488,46
489,vclaim-pol-00489,54
490,vclaim-pol-00490,44
491,vclaim-pol-00491,28
492,vclaim-pol-00492,47
493,vclaim-pol-00493,49
494,vclaim-pol-00494,13
495,vclaim-pol-00495,17
496,vclaim-pol-00496,13
497,vclaim-pol-00497,42
498,vclaim-pol-00498,28
499,vclaim-pol-00499,16
500,vclaim-pol-00500,18
501,vclaim-pol-00501,11
502,vclaim-pol-00502,11
503,vclaim-pol-00503,39
504,vclaim-pol-00504,25
505,vclaim-pol-00505,16
506,vclaim-pol-00506,25
507,vclaim-pol-00507,17
508,vclaim-pol-00508,33
509,vclaim-pol-00509,29
510,vclaim-pol-00510,14
511,vclaim-pol-00511,38
512,vclaim-pol-00512,26
513,vclaim-pol-00513,44
514,vclaim-pol-00514,23
515,vclaim-pol-00515,30
516,vclaim-pol-00516,19
517,vclaim-pol-00517,20
518,vclaim-pol-00518,29
519,vclaim-pol-00519,22
520,vclaim-pol-00520,23
521,vclaim-pol-00521,27
522,vclaim-pol-00522,16
523,vclaim-pol-00523,33
524,vclaim-pol-00524,26
525,vclaim-pol-00525,37
526,vclaim-pol-00526,43
527,vclaim-pol-00527,32
528,vclaim-pol-00528,38
529,vclaim-pol-00529,21
530,vclaim-pol-00530,26
531,vclaim-pol-00531,41
532,vclaim-pol-00532,23
533,vclaim-pol-00533,28
534,vclaim-pol-00534,36
535,vclaim-pol-00535,33
536,vclaim-pol-00536,12
537,vclaim-pol-00537,32
538,vclaim-pol-00538,19
539,vclaim-pol-00539,24
540,vclaim-pol-00540,21
541,vclaim-pol-00541,13
542,vclaim-pol-00542,21
543,vclaim-pol-00543,37
544,vclaim-pol-00544,29
545,vclaim-pol-00545,11
546,vclaim-pol-00546,20
547,vclaim-pol-00547,25
548,vclaim-pol-00548,26
549,vclaim-pol-00549,22
550,vclaim-pol-00550,22
551,vclaim-pol-00551,52
552,vclaim-pol-00552,28
553,vclaim-pol-00553,23
554,vclaim-pol-00554,13
555,vclaim-pol-00555,21
556,vclaim-pol-00556,15
557,vclaim-pol-00557,24
558,vclaim-pol-00558,38
559,vclaim-pol-00559,18
560,vclaim-pol-00560,22
561,vclaim-pol-00561,41
562,vclaim-pol-00562,28
563,vclaim-pol-00563,22
564,vclaim-pol-00564,33
565,vclaim-pol-00565,21
566,vclaim-pol-00566,28
567,vclaim-pol-00567,16
568,vclaim-pol-00568,27
569,vclaim-pol-00569,30
570,vclaim-pol-00570,26
571,vclaim-pol-00571,13
572,vclaim-pol-00572,27
573,vclaim-pol-00573,21
574,vclaim-pol-00574,31
575,vclaim-pol-00575,24
576,vclaim-pol-00576,19
577,vclaim-pol-00577,11
578,vclaim-pol-00578,10
579,vclaim-pol-00579,24
580,vclaim-pol-00580,12
581,vclaim-pol-00581,33
582,vclaim-pol-00582,15
583,vclaim-pol-00583,13
584,vclaim-pol-00584,13
585,vclaim-pol-00585,30
586,vclaim-pol-00586,33
587,vclaim-pol-00587,18
588,vclaim-pol-00588,24
589,vclaim-pol-00589,49
590,vclaim-pol-00590,39
591,vclaim-pol-00591,39
592,vclaim-pol-00592,18
593,vclaim-pol-00593,12
594,vclaim-pol-00594,48
595,vclaim-pol-00595,22
596,vclaim-pol-00596,11
597,vclaim-pol-00597,26
598,vclaim-pol-00598,45
599,vclaim-pol-00599,10
600,vclaim-pol-00600,18
601,vclaim-pol-00601,22
602,vclaim-pol-00602,9
603,vclaim-pol-00603,18
604,vclaim-pol-00604,28
605,vclaim-pol-00605,19
606,vclaim-pol-00606,15
607,vclaim-pol-00607,33
608,vclaim-pol-00608,12
609,vclaim-pol-00609,39
610,vclaim-pol-00610,30
611,vclaim-pol-00611,13
612,vclaim-pol-00612,39
613,vclaim-pol-00613,32
614,vclaim-pol-00614,29
615,vclaim-pol-00615,26
616,vclaim-pol-00616,24
617,vclaim-pol-00617,27
618,vclaim-pol-00618,20
619,vclaim-pol-00619,20
620,vclaim-pol-00620,22
621,vclaim-pol-00621,18
622,vclaim-pol-00622,19
623,vclaim-pol-00623,33
624,vclaim-pol-00624,20
625,vclaim-pol-00625,18
626,vclaim-pol-00626,64
627,vclaim-pol-00627,31
628,vclaim-pol-00628,33
629,vclaim-pol-00629,11
630,vclaim-pol-00630,17
631,vclaim-pol-00631,31
632,vclaim-pol-00632,14
633,vclaim-pol-00633,14
634,vclaim-pol-00634,13
635,vclaim-pol-00635,20
636,vclaim-pol-00636,20
637,vclaim-pol-00637,23
638,vclaim-pol-00638,14
639,vclaim-pol-00639,23
640,vclaim-pol-00640,18
641,vclaim-pol-00641,18
642,vclaim-pol-00642,33
643,vclaim-pol-00643,25
644,vclaim-pol-00644,30
645,vclaim-pol-00645,14
646,vclaim-pol-00646,15
647,vclaim-pol-00647,22
648,vclaim-pol-00648,23
649,vclaim-pol-00649,32
650,vclaim-pol-00650,20
651,vclaim-pol-00651,50
652,vclaim-pol-00652,15
653,vclaim-pol-00653,9
654,vclaim-pol-00654,20
655,vclaim-pol-00655,15
656,vclaim-pol-00656,22
657,vclaim-pol-00657,18
658,vclaim-pol-00658,17
659,vclaim-pol-00659,25
660,vclaim-pol-00660,40
661,vclaim-pol-00661,43
662,vclaim-pol-00662,30
663,vclaim-pol-00663,17
664,vclaim-pol-00664,23
665,vclaim-pol-00665,53
666,vclaim-pol-00666,25
667,vclaim-pol-00667,26
668,vclaim-pol-00668,27
669,vclaim-pol-00669,16
670,vclaim-pol-00670,16
671,vclaim-pol-00671,19
672,vclaim-pol-00672,36
673,vclaim-pol-00673,33
674,vclaim-pol-00674,19
675,vclaim-pol-00675,18
676,vclaim-pol-00676,15
677,vclaim-pol-00677,40
678,vclaim-pol-00678,25
679,vclaim-pol-00679,16
680,vclaim-pol-00680,41
681,vclaim-pol-00681,27
682,vclaim-pol-00682,28
683,vclaim-pol-00683,29
684,vclaim-pol-00684,13
685,vclaim-pol-00685,17
686,vclaim-pol-00686,27
687,vclaim-pol-00687,32
688,vclaim-pol-00688,17
689,vclaim-pol-00689,17
690,vclaim-pol-00690,28
691,vclaim-pol-00691,22
692,vclaim-pol-00692,23
693,vclaim-pol-00693,24
694,vclaim-pol-00694,20
695,vclaim-pol-00695,44
696,vclaim-pol-00696,31
697,vclaim-pol-00697,12
698,vclaim-pol-00698,22
699,vclaim-pol-00699,17
700,vclaim-pol-00700,24
701,vclaim-pol-00701,18
702,vclaim-pol-00702,34
703,vclaim-pol-00703,45
704,vclaim-pol-00704,17
705,vclaim-pol-00705,34
706,vclaim-pol-00706,22
707,vclaim-pol-00707,36
708,vclaim-pol-00708,21
709,vclaim-pol-00709,24
710,vclaim-pol-00710,16
711,vclaim-pol-00711,22
712,vclaim-pol-00712,21
713,vclaim-pol-00713,12
714,vclaim-pol-00714,32
715,vclaim-pol-00715,37
716,vclaim-pol-00716,14
717,vclaim-pol-00717,13
718,vclaim-pol-00718,41
719,vclaim-pol-00719,38
720,vclaim-pol-00720,45
721,vclaim-pol-00721,19
722,vclaim-pol-00722,34
723,vclaim-pol-00723,16
724,vclaim-pol-00724,11
725,vclaim-pol-00725,18
726,vclaim-pol-00726,29
727,vclaim-pol-00727,23
728,vclaim-pol-00728,26
729,vclaim-pol-00729,29
730,vclaim-pol-00730,34
731,vclaim-pol-00731,23
732,vclaim-pol-00732,27
733,vclaim-pol-00733,15
734,vclaim-pol-00734,12
735,vclaim-pol-00735,14
736,vclaim-pol-00736,22
737,vclaim-pol-00737,24
738,vclaim-pol-00738,23
739,vclaim-pol-00739,25
740,vclaim-pol-00740,15
741,vclaim-pol-00741,24
742,vclaim-pol-00742,27
743,vclaim-pol-00743,19
744,vclaim-pol-00744,25
745,vclaim-pol-00745,29
746,vclaim-pol-00746,28
747,vclaim-pol-00747,16
748,vclaim-pol-00748,15
749,vclaim-pol-00749,13
750,vclaim-pol-00750,36
751,vclaim-pol-00751,16
752,vclaim-pol-00752,27
753,vclaim-pol-00753,30
754,vclaim-pol-00754,17
755,vclaim-pol-00755,18
756,vclaim-pol-00756,28
757,vclaim-pol-00757,21
758,vclaim-pol-00758,39
759,vclaim-pol-00759,24
760,vclaim-pol-00760,39
761,vclaim-pol-00761,30
762,vclaim-pol-00762,27
763,vclaim-pol-00763,14
764,vclaim-pol-00764,26
765,vclaim-pol-00765,21
766,vclaim-pol-00766,17
767,vclaim-pol-00767,14
768,vclaim-pol-00768,24
769,vclaim-pol-00769,60
770,vclaim-pol-00770,23
771,vclaim-pol-00771,17
772,vclaim-pol-00772,14
773,vclaim-pol-00773,22
774,vclaim-pol-00774,14
775,vclaim-pol-00775,15
776,vclaim-pol-00776,21
777,vclaim-pol-00777,19
778,vclaim-pol-00778,9
779,vclaim-pol-00779,26
780,vclaim-pol-00780,30
781,vclaim-pol-00781,10
782,vclaim-pol-00782,35
783,vclaim-pol-00783,17
784,vclaim-pol-00784,24
785,vclaim-pol-00785,17
786,vclaim-pol-00786,11
787,vclaim-pol-00787,43
788,vclaim-pol-00788,28
789,vclaim-pol-00789,20
790,vclaim-pol-00790,60
791,vclaim-pol-00791,27
792,vclaim-pol-00792,42
793,vclaim-pol-00793,32
794,vclaim-pol-00794,35
795,vclaim-pol-00795,11
796,vclaim-pol-00796,32
797,vclaim-pol-00797,34
798,vclaim-pol-00798,41
799,vclaim-pol-00799,30
800,vclaim-pol-00800,26
801,vclaim-pol-00801,19
802,vclaim-pol-00802,32
803,vclaim-pol-00803,12
804,vclaim-pol-00804,68
805,vclaim-pol-00805,24
806,vclaim-pol-00806,24
807,vclaim-pol-00807,17
808,vclaim-pol-00808,23
809,vclaim-pol-00809,37
810,vclaim-pol-00810,35
811,vclaim-pol-00811,46
812,vclaim-pol-00812,35
813,vclaim-pol-00813,29
814,vclaim-pol-00814,31
815,vclaim-pol-00815,15
816,vclaim-pol-00816,40
817,vclaim-pol-00817,17
818,vclaim-pol-00818,22
819,vclaim-pol-00819,6
820,vclaim-pol-00820,32
821,vclaim-pol-00821,26
822,vclaim-pol-00822,21
823,vclaim-pol-00823,17
824,vclaim-pol-00824,26
825,vclaim-pol-00825,21
826,vclaim-pol-00826,22
827,vclaim-pol-00827,17
828,vclaim-pol-00828,21
829,vclaim-pol-00829,38
830,vclaim-pol-00830,9
831,vclaim-pol-00831,14
832,vclaim-pol-00832,13
833,vclaim-pol-00833,17
834,vclaim-pol-00834,18
835,vclaim-pol-00835,15
836,vclaim-pol-00836,29
837,vclaim-pol-00837,20
838,vclaim-pol-00838,21
839,vclaim-pol-00839,19
840,vclaim-pol-00840,22
841,vclaim-pol-00841,9
842,vclaim-pol-00842,13
843,vclaim-pol-00843,14
844,vclaim-pol-00844,35
845,vclaim-pol-00845,55
846,vclaim-pol-00846,37
847,vclaim-pol-00847,17
848,vclaim-pol-00848,34
849,vclaim-pol-00849,36
850,vclaim-pol-00850,18
851,vclaim-pol-00851,15
852,vclaim-pol-00852,16
853,vclaim-pol-00853,37
854,vclaim-pol-00854,16
855,vclaim-pol-00855,45
856,vclaim-pol-00856,20
857,vclaim-pol-00857,17
858,vclaim-pol-00858,15
859,vclaim-pol-00859,30
860,vclaim-pol-00860,13
861,vclaim-pol-00861,17
862,vclaim-pol-00862,23
863,vclaim-pol-00863,26
864,vclaim-pol-00864,22
865,vclaim-pol-00865,39
866,vclaim-pol-00866,30
867,vclaim-pol-00867,18
868,vclaim-pol-00868,17
869,vclaim-pol-00869,32
870,vclaim-pol-00870,17
871,vclaim-pol-00871,20
872,vclaim-pol-00872,43
873,vclaim-pol-00873,25
874,vclaim-pol-00874,31
875,vclaim-pol-00875,12
876,vclaim-pol-00876,36
877,vclaim-pol-00877,36
878,vclaim-pol-00878,4
879,vclaim-pol-00879,24
880,vclaim-pol-00880,31
881,vclaim-pol-00881,39
882,vclaim-pol-00882,19
883,vclaim-pol-00883,30
884,vclaim-pol-00884,21
885,vclaim-pol-00885,27
886,vclaim-pol-00886,23
887,vclaim-pol-00887,8
888,vclaim-pol-00888,21
889,vclaim-pol-00889,48
890,vclaim-pol-00890,13
891,vclaim-pol-00891,13
892,vclaim-pol-00892,24
893,vclaim-pol-00893,26
894,vclaim-pol-00894,29
895,vclaim-pol-00895,38
896,vclaim-pol-00896,36
897,vclaim-pol-00897,30
898,vclaim-pol-00898,23
899,vclaim-pol-00899,15
900,vclaim-pol-00900,35
901,vclaim-pol-00901,19
902,vclaim-pol-00902,39
903,vclaim-pol-00903,16
904,vclaim-pol-00904,18
905,vclaim-pol-00905,35
906,vclaim-pol-00906,11
907,vclaim-pol-00907,31
908,vclaim-pol-00908,25
909,vclaim-pol-00909,21
910,vclaim-pol-00910,21
911,vclaim-pol-00911,26
912,vclaim-pol-00912,39
913,vclaim-pol-00913,14
914,vclaim-pol-00914,26
915,vclaim-pol-00915,30
916,vclaim-pol-00916,16
917,vclaim-pol-00917,25
918,vclaim-pol-00918,22
919,vclaim-pol-00919,44
920,vclaim-pol-00920,51
921,vclaim-pol-00921,15
922,vclaim-pol-00922,24
923,vclaim-pol-00923,31
924,vclaim-pol-00924,31
925,vclaim-pol-00925,14
926,vclaim-pol-00926,22
927,vclaim-pol-00927,16
928,vclaim-pol-00928,26
929,vclaim-pol-00929,46
