,ver_claim_ids,ver_claim_encodings
30,vclaim-pol-00030,"[ 0.04466552 -0.00230978 -0.00773573 ... -0.02813885 -0.01593281
 -0.02017011]"
31,vclaim-pol-00031,"[ 0.01902656  0.02221202 -0.04156462 ...  0.02625429  0.01964938
  0.01289273]"
32,vclaim-pol-00032,"[ 0.00322158  0.02720317 -0.02889487 ...  0.0416395  -0.0084744
 -0.05811869]"
33,vclaim-pol-00033,"[-0.04889063 -0.01830387  0.00614564 ...  0.04313494 -0.03342294
 -0.04136797]"
34,vclaim-pol-00034,"[-0.0173859   0.00094398 -0.03517948 ...  0.04535132 -0.05050787
 -0.01503331]"
35,vclaim-pol-00035,"[ 0.01946474  0.02285108 -0.02078796 ... -0.03305299 -0.00945044
  0.03163326]"
36,vclaim-pol-00036,"[-0.02538685  0.01165289 -0.011122   ... -0.01246354 -0.05139027
 -0.04337253]"
37,vclaim-pol-00037,[0.03489974 0.04257787 0.00516721 ... 0.00961138 0.03250366 0.00438856]
38,vclaim-pol-00038,"[ 0.00784688 -0.00546829 -0.04604555 ... -0.00269324 -0.05082734
  0.03527076]"
39,vclaim-pol-00039,"[ 0.01193344 -0.02116971 -0.0051375  ... -0.02151758  0.03412323
  0.01960617]"
40,vclaim-pol-00040,"[ 0.00788455  0.02421855 -0.03320836 ... -0.01084186 -0.01988731
  0.03043261]"
41,vclaim-pol-00041,"[-0.04809755 -0.01410003 -0.05032747 ...  0.01726348 -0.01069265
 -0.00215694]"
42,vclaim-pol-00042,"[-0.02815713  0.003058   -0.03716928 ...  0.02076336 -0.03067927
  0.02256778]"
43,vclaim-pol-00043,"[-0.00245322  0.03764439 -0.05098943 ...  0.0173569   0.00329102
  0.04585482]"
44,vclaim-pol-00044,"[-0.03445239  0.01363598 -0.01078235 ...  0.02924108 -0.03056745
 -0.04451149]"
45,vclaim-pol-00045,"[ 1.8356582e-02  9.5325580e-05  1.1251961e-02 ...  6.0424428e-03
 -1.6445162e-02  4.1013579e-03]"
46,vclaim-pol-00046,"[ 0.03832483 -0.02411443 -0.00214029 ...  0.00694278  0.01559742
  0.04792956]"
47,vclaim-pol-00047,"[-0.0531484  -0.00531291 -0.04745151 ...  0.00510423 -0.00421996
 -0.04689159]"
48,vclaim-pol-00048,"[-0.01685317  0.03225049 -0.03989273 ... -0.02409963 -0.04557944
  0.0478028 ]"
49,vclaim-pol-00049,"[-0.01262855  0.00371252 -0.0450642  ...  0.01755717 -0.0462011
 -0.0350346 ]"
50,vclaim-pol-00050,"[ 0.02387265 -0.00360905  0.02917039 ... -0.03851016 -0.04032673
  0.02821795]"
51,vclaim-pol-00051,"[-0.04274955  0.0267438  -0.00878948 ... -0.04785405 -0.03273
  0.0106217 ]"
52,vclaim-pol-00052,"[-0.01169525  0.03139661 -0.05545589 ...  0.04103005  0.04381686
 -0.00860848]"
53,vclaim-pol-00053,"[ 5.9703776e-05  8.7610884e-03  3.0006763e-02 ... -4.8409134e-02
  4.0093558e-03  2.9692071e-02]"
54,vclaim-pol-00054,"[-0.0522467   0.01528894 -0.01324132 ...  0.01062333  0.00807204
 -0.04420194]"
55,vclaim-pol-00055,"[ 0.01552421  0.00778935 -0.05649725 ...  0.01848909 -0.05351712
 -0.01018875]"
56,vclaim-pol-00056,"[-0.02990265  0.05378646  0.00064557 ...  0.04004996 -0.01483276
 -0.01270385]"
57,vclaim-pol-00057,"[ 0.02990711  0.04315034 -0.02899402 ...  0.00444543 -0.01050657
  0.00821681]"
58,vclaim-pol-00058,"[ 0.00681263  0.04192429 -0.02358779 ...  0.03700686  0.02491368
  0.01928873]"
59,vclaim-pol-00059,"[-0.050334    0.01929349 -0.04960297 ... -0.01291443 -0.01400312
  0.01710657]"
60,vclaim-pol-00060,"[-0.03318261  0.03167845 -0.02451876 ...  0.00757454  0.04134626
 -0.0635507 ]"
61,vclaim-pol-00061,"[ 0.00196301 -0.01641425 -0.04622875 ...  0.03028049  0.01908
 -0.04097443]"
62,vclaim-pol-00062,"[ 0.01829232  0.04545834 -0.0529651  ...  0.03247984  0.00787554
 -0.03368333]"
63,vclaim-pol-00063,"[-0.04110392 -0.00643774 -0.01827923 ...  0.01283257 -0.01396041
 -0.04269499]"
64,vclaim-pol-00064,"[-0.00398927  0.05171071 -0.06178411 ...  0.02870253 -0.03924909
  0.03157789]"
65,vclaim-pol-00065,"[ 0.02005504 -0.01596974 -0.02260893 ...  0.0164798  -0.02987548
 -0.02816002]"
66,vclaim-pol-00066,"[ 0.06093009 -0.00583746  0.00896358 ...  0.0218859   0.01447572
  0.02222598]"
67,vclaim-pol-00067,"[ 0.02399359 -0.05805716  0.01879849 ... -0.05529313  0.01421217
 -0.03009909]"
68,vclaim-pol-00068,"[ 0.00807311  0.04331335 -0.0182663  ...  0.03249971  0.02210226
 -0.04986138]"
69,vclaim-pol-00069,"[-0.03314443  0.00050288  0.01210692 ...  0.003491   -0.03145436
 -0.05049117]"
70,vclaim-pol-00070,"[ 0.05577137 -0.00265437 -0.00184105 ... -0.01383134  0.02882039
 -0.06339303]"
71,vclaim-pol-00071,"[-0.02595171 -0.03715207 -0.02637255 ...  0.01379374  0.04769468
 -0.0582298 ]"
72,vclaim-pol-00072,"[-0.05136573  0.01056486 -0.01039368 ... -0.02914864  0.00519597
 -0.03231203]"
73,vclaim-pol-00073,"[ 0.02259522  0.04297945  0.00583744 ...  0.01724526 -0.04500328
 -0.01544234]"
74,vclaim-pol-00074,"[-0.02437526 -0.01920416 -0.02714926 ... -0.00998735 -0.06349145
 -0.01021752]"
75,vclaim-pol-00075,"[-0.01239728  0.01173807 -0.0264827  ... -0.03319304  0.02626411
 -0.01564707]"
76,vclaim-pol-00076,"[-0.05256105  0.01846503 -0.03018474 ...  0.03587211  0.03413254
  0.01568249]"
77,vclaim-pol-00077,"[ 0.02776227 -0.04052903 -0.04441315 ...  0.04861354  0.02281587
  0.00458009]"
78,vclaim-pol-00078,"[ 0.01201772 -0.01383166 -0.05858048 ... -0.02623293 -0.02948381
  0.00432438]"
79,vclaim-pol-00079,"[-0.03642365 -0.00524621 -0.00212261 ...  0.04625776 -0.0398262
  0.00607376]"
80,vclaim-pol-00080,"[ 0.00105558  0.01928905  0.02104841 ... -0.02966432 -0.02424314
 -0.02637392]"
81,vclaim-pol-00081,"[-0.02737184  0.03894464 -0.00505701 ... -0.01795109  0.03642404
  0.00713244]"
82,vclaim-pol-00082,"[ 0.01115691  0.03112932 -0.00193919 ...  0.03534433 -0.03470009
  0.01896778]"
83,vclaim-pol-00083,"[-0.04371641  0.00652603 -0.04107628 ... -0.04994379  0.03703701
 -0.04833829]"
84,vclaim-pol-00084,"[-0.02823158  0.03339541  0.03316514 ...  0.01619335  0.0364858
  0.05038892]"
85,vclaim-pol-00085,"[-0.04092064  0.06015877 -0.02188946 ...  0.03855686  0.00077643
  0.04259171]"
86,vclaim-pol-00086,"[-0.01993665 -0.00761009 -0.04641348 ...  0.03081631 -0.02421964
 -0.05362007]"
87,vclaim-pol-00087,"[-0.03771256 -0.02515221 -0.04326542 ...  0.04637137 -0.05654922
  0.01416922]"
88,vclaim-pol-00088,"[ 0.04438968 -0.0547005   0.01489681 ...  0.00579378  0.01256249
 -0.04044097]"
89,vclaim-pol-00089,"[-0.01750148 -0.00973444 -0.01530728 ...  0.02706109 -0.00704326
 -0.00582089]"
90,vclaim-pol-00090,"[-0.0422954  -0.00380174  0.01427951 ... -0.0358982  -0.02664783
  0.00522009]"
91,vclaim-pol-00091,"[-0.01236476  0.0238136  -0.001847   ... -0.02483945  0.0432528
 -0.01581847]"
92,vclaim-pol-00092,"[-0.03405488  0.0361149  -0.00091445 ... -0.00762043  0.00306055
 -0.05545761]"
93,vclaim-pol-00093,"[-0.01450284 -0.05077529  0.04007002 ...  0.00871589 -0.04172727
 -0.01854351]"
94,vclaim-pol-00094,"[-0.00820224  0.02053684 -0.044266   ... -0.01848613 -0.03284988
  0.01785824]"
95,vclaim-pol-00095,"[-0.02358953 -0.03810684 -0.05472464 ... -0.03081534  0.02241959
 -0.0248641 ]"
96,vclaim-pol-00096,"[ 0.0094919   0.00515459  0.01559362 ... -0.04185388  0.00741993
  0.04994837]"
97,vclaim-pol-00097,"[-0.0267725   0.04616645 -0.0144942  ...  0.04474907  0.0383592
  0.02336985]"
98,vclaim-pol-00098,"[-0.04158137  0.05073995 -0.00293985 ... -0.01684462  0.04011811
 -0.06463163]"
99,vclaim-pol-00099,"[ 0.04742977  0.06070875  0.00119838 ...  0.00208117 -0.03959981
  0.01761495]"
100,vclaim-pol-00100,"[ 0.01996395  0.02328805  0.03018543 ... -0.03981376  0.00501474
 -0.05097456]"
101,vclaim-pol-00101,"[-0.01684533 -0.06148075 -0.03547455 ...  0.03335249 -0.03112285
  0.01008152]"
102,vclaim-pol-00102,"[-0.02069344 -0.01191603 -0.03777688 ...  0.020689    0.03850178
  0.00694916]"
103,vclaim-pol-00103,"[-0.05228271  0.03213234 -0.02173439 ... -0.03705546  0.03219528
 -0.00709881]"
104,vclaim-pol-00104,[0.02510327 0.00138445 0.01206373 ... 0.00760827 0.02670687 0.0136719 ]
105,vclaim-pol-00105,"[ 0.02095639 -0.0272921  -0.02904175 ... -0.01866441 -0.00556848
  0.03010614]"
106,vclaim-pol-00106,"[-0.02642699  0.01905109 -0.01249505 ...  0.01672642  0.02490028
 -0.03148779]"
107,vclaim-pol-00107,"[ 0.01443312  0.00158362 -0.00059817 ...  0.01018304 -0.02561221
 -0.0278489 ]"
108,vclaim-pol-00108,"[ 0.00690879 -0.00079723 -0.04268603 ...  0.04301725 -0.03564502
 -0.05589795]"
109,vclaim-pol-00109,"[-0.02052719 -0.04456062 -0.03151892 ... -0.04080304 -0.02280532
 -0.00100986]"
110,vclaim-pol-00110,"[-0.05843389 -0.05452911 -0.00558096 ... -0.00454947  0.04807058
 -0.0318248 ]"
111,vclaim-pol-00111,"[-0.04717984 -0.01267429  0.01189853 ...  0.04356355  0.01045263
 -0.05064472]"
112,vclaim-pol-00112,"[-0.01204723  0.03500941 -0.00463217 ...  0.01691335  0.00436591
 -0.02051512]"
113,vclaim-pol-00113,"[ 0.01784042 -0.00635011 -0.02516299 ... -0.0237838   0.00997269
  0.00606423]"
114,vclaim-pol-00114,"[-0.03256793  0.04818565 -0.04899388 ...  0.02379722  0.026824
 -0.04740328]"
115,vclaim-pol-00115,"[-0.03047423 -0.00931569  0.00401721 ... -0.03025971 -0.02014167
  0.03890952]"
116,vclaim-pol-00116,"[-0.01290112 -0.04425814  0.04346954 ...  0.02719495  0.00265767
 -0.04921536]"
117,vclaim-pol-00117,"[-0.01734994  0.03670186  0.00894333 ...  0.02159983 -0.00426377
 -0.00697184]"
118,vclaim-pol-00118,"[ 0.03597623  0.05016689 -0.04319723 ...  0.05024485  0.03520902
 -0.03674351]"
119,vclaim-pol-00119,"[ 0.01935094  0.00323125 -0.02243868 ... -0.02441984 -0.01362714
  0.00379814]"
120,vclaim-pol-00120,"[-0.06040822  0.00749873  0.01370444 ... -0.04355278 -0.01630578
 -0.04686194]"
121,vclaim-pol-00121,"[-0.03805218  0.01954449 -0.01309152 ...  0.0020583  -0.03388125
  0.01996079]"
122,vclaim-pol-00122,"[-0.04474533  0.01521992 -0.0181041  ... -0.05587228 -0.04956489
 -0.03266861]"
123,vclaim-pol-00123,"[ 0.00186713 -0.01711118 -0.01092637 ... -0.00149021 -0.05072899
  0.06138715]"
124,vclaim-pol-00124,"[-0.03641031 -0.03616127 -0.02526749 ... -0.01165213  0.0473001
 -0.04446449]"
125,vclaim-pol-00125,"[-0.00804956  0.03016615  0.04489747 ...  0.0163667  -0.00969009
  0.02881653]"
126,vclaim-pol-00126,"[ 0.02534493  0.00855543 -0.06062687 ...  0.05216046 -0.04415379
 -0.01530383]"
127,vclaim-pol-00127,"[ 7.9314651e-07 -1.1477811e-02 -1.9455267e-02 ... -4.6041277e-03
 -2.2876970e-02  1.0286328e-02]"
128,vclaim-pol-00128,"[ 2.1530405e-02 -8.9518037e-03  1.8881488e-05 ... -1.2102203e-02
  2.4348997e-02  5.2349139e-02]"
129,vclaim-pol-00129,"[-0.01780921  0.01631081 -0.00409837 ...  0.0139418  -0.02205067
 -0.02166438]"
130,vclaim-pol-00130,"[ 0.02057507 -0.04799424 -0.06065294 ...  0.0382941   0.00406168
  0.01729627]"
131,vclaim-pol-00131,"[ 0.02957609  0.03300591 -0.0622721  ...  0.0082963  -0.00425097
 -0.0130216 ]"
132,vclaim-pol-00132,"[ 0.02256361 -0.06140967  0.0551035  ...  0.02594137  0.01788551
 -0.02665601]"
133,vclaim-pol-00133,[0.05182393 0.02248802 0.04018374 ... 0.04459854 0.05485326 0.04551595]
134,vclaim-pol-00134,"[-0.00102297  0.03896732 -0.00306458 ... -0.01423076  0.00267774
 -0.03253246]"
135,vclaim-pol-00135,"[ 0.03458036 -0.00119947 -0.03025293 ...  0.01492762 -0.01110333
  0.00339797]"
136,vclaim-pol-00136,"[-0.02103685 -0.04718059 -0.02245094 ...  0.01070329  0.03047924
 -0.03267195]"
137,vclaim-pol-00137,"[ 0.01197274  0.0403894  -0.00848069 ...  0.00844675  0.02387438
 -0.00602681]"
138,vclaim-pol-00138,"[-0.00189795  0.00611017  0.01212409 ...  0.02041254  0.02299502
  0.00325056]"
139,vclaim-pol-00139,"[ 0.00413448 -0.02640228  0.0323645  ... -0.01896293 -0.02369037
  0.01961674]"
140,vclaim-pol-00140,"[ 0.01500911  0.00484411 -0.02696001 ...  0.03246442 -0.03914265
 -0.00484729]"
141,vclaim-pol-00141,"[-2.5598698e-03  6.5803421e-03  2.8645329e-02 ...  3.9799500e-02
 -6.4801866e-06 -1.8625880e-02]"
142,vclaim-pol-00142,"[ 0.01630207 -0.00449762  0.00499378 ... -0.02100343  0.01054938
  0.02857742]"
143,vclaim-pol-00143,"[-0.01495863 -0.03057593 -0.03410828 ...  0.0005319  -0.01529354
 -0.04950111]"
144,vclaim-pol-00144,"[-0.02800773 -0.01319774 -0.04470183 ...  0.02265484  0.02548115
  0.02135339]"
145,vclaim-pol-00145,"[ 0.018153   -0.04884852  0.02320945 ...  0.02452735  0.00554133
 -0.02858952]"
146,vclaim-pol-00146,"[-0.00909645 -0.03865125 -0.03581499 ...  0.04001567 -0.02663662
  0.01760048]"
147,vclaim-pol-00147,"[ 0.00739091  0.03614803 -0.0271881  ... -0.01665626 -0.01674993
  0.03281932]"
148,vclaim-pol-00148,"[ 0.00162661  0.01710905  0.02454904 ... -0.01625057 -0.00761086
 -0.02558582]"
149,vclaim-pol-00149,"[ 0.04246058  0.03116824 -0.05764116 ... -0.01511296  0.01427726
 -0.02519542]"
150,vclaim-pol-00150,"[ 0.02183917  0.04265806  0.01736161 ...  0.01593228 -0.01288137
 -0.02694434]"
151,vclaim-pol-00151,"[-0.04870699 -0.00757226 -0.0098206  ... -0.0414993  -0.0544526
  0.04888402]"
152,vclaim-pol-00152,"[-0.03257578  0.00869003 -0.0547915  ... -0.00252774 -0.02366029
 -0.03190591]"
153,vclaim-pol-00153,"[-0.02294796  0.03933653 -0.00311164 ...  0.00641927  0.00947348
 -0.02304436]"
154,vclaim-pol-00154,"[ 0.01861086  0.03995506 -0.02454134 ... -0.03197174 -0.02934194
  0.04144898]"
155,vclaim-pol-00155,"[-0.00826693 -0.0044423  -0.01830008 ...  0.00560201  0.05328038
 -0.02863312]"
156,vclaim-pol-00156,"[-0.03204983  0.02175105 -0.03062638 ... -0.04174355 -0.03956311
  0.04290755]"
157,vclaim-pol-00157,"[ 0.03895271 -0.00396182 -0.04758155 ...  0.01892712 -0.00223446
 -0.03564727]"
158,vclaim-pol-00158,"[-0.05032821  0.01498447 -0.06157669 ... -0.02860102 -0.02899262
 -0.01633921]"
159,vclaim-pol-00159,"[ 0.03716265  0.03854524  0.02820674 ...  0.05037923  0.02727449
 -0.03688519]"
160,vclaim-pol-00160,"[ 3.1909011e-02  6.0227059e-02 -3.9827421e-02 ...  9.1717571e-05
 -3.8429923e-02  3.2559820e-02]"
161,vclaim-pol-00161,"[ 0.02508552  0.01087722  0.03420553 ... -0.00338227 -0.01627539
 -0.04231319]"
162,vclaim-pol-00162,"[-0.04114168 -0.01002824 -0.02172708 ... -0.0403274   0.00813095
 -0.05278693]"
163,vclaim-pol-00163,"[-0.02037372  0.01596716 -0.00072734 ... -0.00324045  0.02335997
 -0.03451202]"
164,vclaim-pol-00164,"[-0.02766937  0.03206495 -0.04122978 ...  0.02314726 -0.02140417
  0.00414279]"
165,vclaim-pol-00165,"[ 0.02038184  0.00301927 -0.02359609 ... -0.0353643  -0.02871814
 -0.05449521]"
166,vclaim-pol-00166,"[ 0.00450866  0.05023919 -0.01803152 ... -0.01848075  0.05495042
  0.01302442]"
167,vclaim-pol-00167,"[ 0.0007658   0.01375352  0.00524449 ... -0.00581959  0.03587275
 -0.02182234]"
168,vclaim-pol-00168,"[ 0.00630587 -0.01243335  0.00455926 ... -0.00204827  0.00715669
  0.03681029]"
169,vclaim-pol-00169,"[-0.00219568 -0.0001746  -0.03055963 ... -0.03444949  0.01921401
  0.03317781]"
170,vclaim-pol-00170,"[-0.0374951   0.02779498 -0.00802359 ...  0.00720307  0.05895328
 -0.05309207]"
171,vclaim-pol-00171,"[ 0.02998855  0.02879735 -0.04083174 ... -0.01289356  0.0511325
 -0.00241313]"
172,vclaim-pol-00172,"[-0.00544738  0.04083538  0.00302285 ... -0.02338968  0.02722197
 -0.0290198 ]"
173,vclaim-pol-00173,"[-0.01042961  0.00751982 -0.02629046 ...  0.01096601 -0.00554368
  0.03735907]"
174,vclaim-pol-00174,"[-0.0389837   0.02580702 -0.02633183 ...  0.02119574  0.00541962
 -0.01994409]"
175,vclaim-pol-00175,"[-0.02088181  0.01232583 -0.00647515 ...  0.02663733  0.00499919
 -0.0436176 ]"
176,vclaim-pol-00176,"[ 0.0334133   0.04597306 -0.01614642 ... -0.03298521 -0.00122021
  0.00813376]"
177,vclaim-pol-00177,"[-0.02223377 -0.01306187 -0.00702611 ... -0.00099213 -0.02203375
 -0.01213538]"
178,vclaim-pol-00178,"[-0.02218189 -0.01369659 -0.011699   ...  0.02006607 -0.00434631
  0.02957836]"
179,vclaim-pol-00179,"[-0.00489077 -0.01099278 -0.01303923 ...  0.05241942  0.02376544
 -0.02956509]"
180,vclaim-pol-00180,"[-0.0537899   0.01543653  0.03158439 ...  0.03146093 -0.03953714
 -0.0616038 ]"
181,vclaim-pol-00181,"[-0.03062462 -0.03978046 -0.01921856 ...  0.00065365  0.0008907
  0.04990211]"
182,vclaim-pol-00182,"[-0.04563576  0.02832964 -0.00439912 ...  0.04411349 -0.05147699
 -0.01231176]"
183,vclaim-pol-00183,"[-0.01786901 -0.00464961  0.01164717 ... -0.05219775  0.01144936
 -0.03403228]"
184,vclaim-pol-00184,"[-0.04173343  0.00815395 -0.02659283 ...  0.01039911  0.03150979
 -0.01274   ]"
185,vclaim-pol-00185,"[-0.00921173 -0.00254563  0.0211684  ...  0.04095217 -0.0096113
 -0.03223296]"
186,vclaim-pol-00186,"[-0.03057026  0.04982026 -0.04020796 ... -0.02851718 -0.03609116
 -0.02446855]"
187,vclaim-pol-00187,"[-0.02155612  0.04397407 -0.01970356 ... -0.02210737 -0.01452255
 -0.003428  ]"
188,vclaim-pol-00188,"[-0.03744533 -0.02619812 -0.03508815 ... -0.00757509 -0.03944408
 -0.00666009]"
189,vclaim-pol-00189,"[ 0.00836424  0.01296341  0.0266935  ... -0.03096281  0.01840243
 -0.06347125]"
190,vclaim-pol-00190,"[ 0.00898414  0.00870229  0.03507528 ... -0.00322737 -0.03796759
  0.00644458]"
191,vclaim-pol-00191,"[-0.00602593  0.00789777 -0.00501185 ...  0.01335796 -0.04067304
 -0.00023671]"
192,vclaim-pol-00192,"[ 0.03857603 -0.04649472  0.01055729 ...  0.00842816 -0.02514593
 -0.05082875]"
193,vclaim-pol-00193,"[-0.02506259 -0.04015649 -0.04120496 ...  0.01258513  0.02630124
 -0.01511483]"
194,vclaim-pol-00194,"[ 0.00448788 -0.00429117  0.05245253 ... -0.03702514 -0.02146721
  0.01287164]"
195,vclaim-pol-00195,"[-0.01430363 -0.00238769 -0.02772863 ...  0.00550111 -0.01712777
  0.01058286]"
196,vclaim-pol-00196,"[-0.06166233 -0.00509193  0.02971367 ... -0.00824594 -0.03003002
  0.04220165]"
197,vclaim-pol-00197,"[ 0.00706562  0.02494866 -0.00886327 ... -0.03007244 -0.02082078
  0.01301287]"
198,vclaim-pol-00198,"[-0.00564618 -0.02478128 -0.00575807 ...  0.04278919 -0.0140031
 -0.05345217]"
199,vclaim-pol-00199,"[ 0.04779943 -0.02295879  0.05341398 ...  0.01930286  0.04528987
 -0.05438619]"
200,vclaim-pol-00200,"[ 0.01201483  0.02436519  0.03064355 ... -0.00527141  0.00392753
  0.0169843 ]"
201,vclaim-pol-00201,"[ 0.00154888 -0.00246844 -0.02157705 ...  0.02128167 -0.01505258
 -0.04960945]"
202,vclaim-pol-00202,"[-0.01533616  0.0466411   0.01230567 ... -0.01527143 -0.05723063
 -0.03171617]"
203,vclaim-pol-00203,"[-0.00129144  0.00059754 -0.03361366 ...  0.03409246  0.04873418
  0.02473074]"
204,vclaim-pol-00204,"[ 0.01051141  0.01165892 -0.01507392 ... -0.02335503  0.03897801
 -0.00371971]"
205,vclaim-pol-00205,"[-0.01167882 -0.01619354  0.02702827 ...  0.00261791  0.04891334
  0.02864371]"
206,vclaim-pol-00206,"[ 0.00051721  0.03643108  0.04297699 ...  0.0096675  -0.0089831
 -0.0472835 ]"
207,vclaim-pol-00207,"[ 0.03128995 -0.01903863  0.02302986 ...  0.01929429  0.00920712
  0.05984789]"
208,vclaim-pol-00208,"[ 0.02853653  0.04212688  0.04184378 ...  0.05077372  0.04516251
 -0.05389529]"
209,vclaim-pol-00209,"[-0.01899513  0.03345175 -0.04488505 ...  0.01991554 -0.01998872
 -0.03650764]"
210,vclaim-pol-00210,"[ 0.02510459 -0.00952019  0.04407645 ... -0.01860222 -0.00605624
  0.01845357]"
211,vclaim-pol-00211,"[ 0.0446039   0.04958838 -0.05297394 ...  0.02248158  0.04173989
  0.00741017]"
212,vclaim-pol-00212,"[ 0.02824582  0.05894699 -0.01520949 ... -0.00082966 -0.02407419
  0.01676492]"
213,vclaim-pol-00213,"[-0.03698365 -0.02776312 -0.01881124 ... -0.02990397 -0.03284315
  0.02724721]"
214,vclaim-pol-00214,"[ 0.00506576  0.05479688 -0.06152774 ...  0.02360711 -0.03133076
  0.00118315]"
215,vclaim-pol-00215,"[ 0.03594078 -0.03506809  0.05148065 ...  0.01196236 -0.03683174
  0.0258975 ]"
216,vclaim-pol-00216,"[-0.03406915 -0.0375611  -0.04278984 ... -0.01888645  0.0344576
 -0.00029103]"
217,vclaim-pol-00217,"[ 0.02124131 -0.01031582  0.02176274 ...  0.04028007 -0.02103641
  0.0043611 ]"
218,vclaim-pol-00218,"[-0.01080941  0.01159098 -0.01103604 ...  0.02642821  0.03302803
  0.00561482]"
219,vclaim-pol-00219,"[-0.02109534  0.00595349 -0.00174114 ... -0.00866418  0.02954277
 -0.04523833]"
220,vclaim-pol-00220,"[-0.02244246  0.00013511 -0.04653125 ...  0.0334575  -0.03435534
 -0.03170644]"
221,vclaim-pol-00221,"[-0.01881638 -0.00263847 -0.01903732 ...  0.04070309  0.00164052
 -0.02472289]"
222,vclaim-pol-00222,"[ 0.01442556 -0.03469019 -0.05651547 ...  0.00122352  0.03262202
  0.01051297]"
223,vclaim-pol-00223,"[-0.00108103  0.0078772  -0.02493321 ... -0.02449105 -0.03734279
 -0.01247281]"
224,vclaim-pol-00224,"[ 0.04425604  0.00345451 -0.03560235 ...  0.04740553 -0.01951302
 -0.04075025]"
225,vclaim-pol-00225,"[ 0.04068865  0.04838126  0.02068133 ...  0.05021097  0.0314727
 -0.01767186]"
226,vclaim-pol-00226,"[ 1.9454638e-02  4.3859167e-04  1.8321989e-05 ... -2.3285480e-02
 -4.9584918e-02 -2.6390648e-02]"
