,input_claim_ids,named_entities
71,20160117_democrats_charlston_0129,"[['Senator Sanders', 361176, 'Q359442'], ['immunity', 298565, 'Q10283558'], ['members of congress', 223225, 'Q14761450']]"
72,20160117_democrats_charlston_0122,"[['Charleston Loophole', 'not available', 'not available']]"
73,20160117_democrats_charlston_0994,"[['Cold War', 325329, 'Q8683'], ['Soviet Union', 26779, 'Q15180']]"
74,20160117_democrats_charlston_0995,"[['10 percent', 'not available', 'not available'], ['fighting ISIS', 50787604, 'Q24467647'], ['international terrorism', 30636, 'Q7283']]"
75,20160204_democrats_new_hampshire_0623,"[['national security', 240468, 'Q258307'], ['military intelligence', 146678, 'Q4168000'], ['Senator Sanders', 361176, 'Q359442'], ['foreign policy', 233404, 'Q181648'], ['national security', 240468, 'Q258307'], ['Iranian troops', 48259216, 'Q2465096'], ['Syria', 7515849, 'Q858'], ['doorstep', 29675473, 'Q5297252'], ['Israel', 9282173, 'Q801']]"
76,20160204_democrats_new_hampshire_0024,"[['1 percent', 'not available', 'not available']]"
77,20160204_democrats_new_hampshire_1062,"[['lower wages', 39426115, 'Q5531013']]"
78,20160204_democrats_new_hampshire_1032,[]
79,20160204_democrats_new_hampshire_1032,[]
80,20160211_democrats_milwuakee_0052,"[['Americans', 'not available', 'not available'], ['15', 'not available', 'not available']]"
81,20160211_democrats_milwuakee_0097,[]
82,20160211_democrats_milwuakee_0332,"[['AfricanAmerican', 'not available', 'not available'], ['Wall Street collapse', 157649, 'Q201684']]"
83,20160211_democrats_milwuakee_0909,[]
84,20160213_GOP_greenville_0210,"[['Iraq', 7515928, 'Q796']]"
85,20160213_GOP_greenville_0210,"[['Iraq', 7515928, 'Q796']]"
86,20160213_GOP_greenville_0212,[]
87,20160213_GOP_greenville_0216,"[['Middle East', 19323, 'Q7204']]"
88,20160213_GOP_greenville_1002,[]
89,20160213_GOP_greenville_1528,"[['Joseph Stalin', 15641, 'Q855'], ['America', 29833, 'Q828'], ['spiritual life', 28387, 'Q168796'], ['patriotism', 24552, 'Q6241'], ['morality', 43254, 'Q48324']]"
90,20160225_GOP_texas_1801,"[['Libya', 17633, 'Q1016']]"
91,20160225_GOP_texas_1172,"[['Donald', 'not available', 'not available'], ['socialized medicine', 59111, 'Q17082008']]"
92,20160225_GOP_texas_1173,"[['socialized health care', 59111, 'Q17082008']]"
93,20160225_GOP_texas_0120,[]
94,20160225_GOP_texas_0121,[]
95,20160225_GOP_texas_0962,"[['Obamacare', 25226624, 'Q1414593'], ['bailout', 1469849, 'Q44312'], ['Obamacare', 25226624, 'Q1414593']]"
96,20160225_GOP_texas_0963,"[['lobbyists', 48934, 'Q187117'], ['bailout', 1469849, 'Q44312'], ['public money', 1203070, 'Q1929688'], ['taxpayer money', 1203070, 'Q1929688'], ['bail', 170652, 'Q162351'], ['lost money', 48492600, 'Q21646656']]"
97,20160225_GOP_texas_0964,[]
98,20160303_GOP_michigan_0237,"[['Hillary Clinton', 5043192, 'Q6294'], ['11', 'not available', 'not available']]"
99,20160303_GOP_michigan_0418,"[['United States', 3434750, 'Q30']]"
100,20160303_GOP_michigan_1158,"[['Better Business Bureau', 479512, 'Q1044785']]"
101,20160303_GOP_michigan_0574,"[['Donald Trump', 4848272, 'Q22686'], ['Hillary Clinton', 5043192, 'Q6294']]"
102,20160303_GOP_michigan_0575,[]
103,20160303_GOP_michigan_0940,"[['family', 56276, 'Q35409'], ['flies', 63663, 'Q25312'], ['World Trade Center', 45645094, 'Q11235'], ['flies', 63663, 'Q25312'], ['World Trade Center', 45645094, 'Q11235'], ['family', 56276, 'Q35409'], ['wasn', 18468646, 'Q7946755'], ['Iraq', 7515928, 'Q796']]"
104,20160303_GOP_michigan_0940,"[['family', 56276, 'Q35409'], ['flies', 63663, 'Q25312'], ['World Trade Center', 45645094, 'Q11235'], ['flies', 63663, 'Q25312'], ['World Trade Center', 45645094, 'Q11235'], ['family', 56276, 'Q35409'], ['wasn', 18468646, 'Q7946755'], ['Iraq', 7515928, 'Q796']]"
105,20160309_democrats_miami_0110,[]
106,20160309_democrats_miami_0241,"[['Secretary Clinton', 5043192, 'Q6294'], ['governor of New York', 12861, 'Q2347975'], ['Elliot Spitzer', 21378255, 'Q11675'], [""driver's license"", 39527321, 'Q205647'], ['New York State', 8210131, 'Q1384']]"
107,20160309_democrats_miami_0245,"[['Clinton', 'not available', 'not available']]"
108,20160309_democrats_miami_0778,"[['Latino', 273285, 'Q2035701'], ['17', 'not available', 'not available'], ['20', 'not available', 'not available'], ['36 percent', 'not available', 'not available'], ['underemployed', 318784, 'Q1931244']]"
109,20160309_democrats_miami_0784,"[['AfricanAmerican', 'not available', 'not available'], ['underemployed', 318784, 'Q1931244'], ['51 percent', 'not available', 'not available']]"
110,20160309_democrats_miami_0784,"[['AfricanAmerican', 'not available', 'not available'], ['underemployed', 318784, 'Q1931244'], ['51 percent', 'not available', 'not available']]"
111,20160309_democrats_miami_0939,"[['clean power plan', 47423035, 'Q21028610'], ['Senator Sanders', 361176, 'Q359442']]"
112,20160311_GOP_miami_0844,"[['Israel', 9282173, 'Q801'], ['Donald', 'not available', 'not available'], ['Israel', 9282173, 'Q801'], ['Palestinians', 23267, 'Q201190']]"
113,20160311_GOP_miami_0149,"[['TPP', 'not available', 'not available'], ['TPP', 'not available', 'not available']]"
114,20160329_kasich_milwuakee_0029,"[['Hillary Clinton', 5043192, 'Q6294']]"
115,20160329_kasich_milwuakee_0259,"[['$2 billion', 'not available', 'not available']]"
116,20160331_Cruz_Miluakee_0100,"[['radical Islamic terrorism', 566821, 'Q847731']]"
117,20160331_Cruz_Miluakee_0173,"[['CNN', 62028, 'Q48340'], ['FOX', 'not available', 'not available'], ['$2 billion dollars', 'not available', 'not available']]"
118,20160401_Trump_Milwaukee_0653,[]
119,20160401_Trump_Milwaukee_0334,"[['Obama', 'not available', 'not available'], ['world today', 20770345, 'Q7776059'], ['global warming', 5042951, 'Q7942']]"
120,20160401_Trump_Milwaukee_0812,"[['Senator', 'not available', 'not available'], ['Cruz', 'not available', 'not available']]"
121,20160401_Trump_Milwaukee_0052,"[['security camera', 87179, 'Q242256']]"
122,20160404_Hillary_meet_the_press_0153,"[['Democratic', 5043544, 'Q29552'], ['Wall Street', 37274, 'Q11690'], ['hedge fund', 14412, 'Q105611']]"
123,20160404_Hillary_meet_the_press_0174,[]
124,20160415_NY_democratic_debate_0541,"[['Congress', 'not available', 'not available'], ['NRA', 70101, 'Q863259']]"
125,20160415_NY_democratic_debate_0300,"[['United States Senate', 24909346, 'Q66096']]"
126,20160415_NY_democratic_debate_0557,"[['Senator Sanders', 361176, 'Q359442']]"
127,20160415_NY_democratic_debate_1183,"[['privatize', 24661, 'Q161500']]"
128,20160415_NY_democratic_debate_0433,"[['starvation', 215891, 'Q853930'], ['minimum wage', 18862, 'Q186228'], ['$7.25', 'not available', 'not available'], ['$15', 'not available', 'not available']]"
129,20160415_NY_democratic_debate_0434,"[['Secretary Clinton', 'not available', 'not available'], ['$12', 'not available', 'not available']]"
130,20160415_NY_democratic_debate_1295,"[['reproductive health care', 2159778, 'Q1981388']]"
131,20160417_meet_the_press_0059,"[['Clinton', 'not available', 'not available'], ['Hillary', 'not available', 'not available']]"
132,20160424_meet_the_press_0384,"[['poor people', 64959, 'Q10294']]"
133,20160508_Trump_meet_the_press_0366,"[['tax cut', 455990, 'Q7689423']]"
134,20160508_Trump_meet_the_press_0375,[]
135,20160508_Trump_meet_the_press_0375,[]
136,20160508_Trump_meet_the_press_0395,[]
137,20160508_Trump_meet_the_press_0394,[]
138,20160508_Trump_meet_the_press_0394,[]
139,20160529_Sanders_MeetThePress_0184,"[['War in Iraq', 5043324, 'Q545449']]"
140,20160529_Sanders_MeetThePress_0179,"[['Wall Street', 37274, 'Q11690']]"
141,20160529_Sanders_MeetThePress_0181,"[['minimum wage', 18862, 'Q186228'], ['15', 'not available', 'not available']]"
142,20160529_Sanders_MeetThePress_0182,"[['$12', 'not available', 'not available']]"
143,20160529_Sanders_MeetThePress_0185,"[['fracking', 32544339, 'Q890794']]"
144,20160622_Trump_NY_Soho_0022,"[['Hillary Clinton', 5043192, 'Q6294'], ['world class', 784781, 'Q208511'], ['email', 9738, 'Q9158'], ['Bosnia', 'not available', 'not available'], ['young girls', 1903987, 'Q4207629'], ['handing', 8637, 'Q36794']]"
145,20160622_Trump_NY_Soho_0022,"[['Hillary Clinton', 5043192, 'Q6294'], ['world class', 784781, 'Q208511'], ['email', 9738, 'Q9158'], ['Bosnia', 'not available', 'not available'], ['young girls', 1903987, 'Q4207629'], ['handing', 8637, 'Q36794']]"
146,20160622_Trump_NY_Soho_0061,"[['Hillary Clinton', 5043192, 'Q6294'], ['Bill Clinton', 3356, 'Q1124'], ['NAFTA', 22050, 'Q181574'], ['China', 5405, 'Q148'], ['World Trade Organization', 33873, 'Q7825']]"
147,20160622_Trump_NY_Soho_0061,"[['Hillary Clinton', 5043192, 'Q6294'], ['Bill Clinton', 3356, 'Q1124'], ['NAFTA', 22050, 'Q181574'], ['China', 5405, 'Q148'], ['World Trade Organization', 33873, 'Q7825']]"
148,20160622_Trump_NY_Soho_0062,"[['manufacturing jobs', 246816, 'Q1191714'], ['Hillarybacked', 'not available', 'not available']]"
149,20160622_Trump_NY_Soho_0062,"[['manufacturing jobs', 246816, 'Q1191714'], ['Hillarybacked', 'not available', 'not available']]"
150,20160622_Trump_NY_Soho_0064,"[['China', 5405, 'Q148'], ['intellectual property', 14724, 'Q131257']]"
151,20160622_Trump_NY_Soho_0065,"[['Hillary Clinton', 5043192, 'Q6294'], ['China', 5405, 'Q148'], ['China', 5405, 'Q148']]"
152,20160622_Trump_NY_Soho_0073,[]
153,20160622_Trump_NY_Soho_0074,"[['30,000', 'not available', 'not available']]"
154,20160622_Trump_NY_Soho_0074,"[['30,000', 'not available', 'not available']]"
155,20160622_Trump_NY_Soho_0084,"[['Hillary Clinton', 5043192, 'Q6294'], [""3 o'clock"", 'not available', 'not available']]"
156,20160622_Trump_NY_Soho_0085,"[['Ambassador Stevens', 36993318, 'Q294536'], ['Libya', 17633, 'Q1016']]"
157,20160622_Trump_NY_Soho_0086,"[[""Clinton's State Department"", 31975, 'Q789915']]"
158,20160622_Trump_NY_Soho_0108,[]
159,20160622_Trump_NY_Soho_0108,[]
160,20160622_Trump_NY_Soho_0113,"[['Hillary Clinton', 5043192, 'Q6294'], ['550%', 'not available', 'not available'], ['Syrian refugees', 32465077, 'Q559076'], ['United States', 3434750, 'Q30'], ['President Obama', 534366, 'Q76']]"
161,20160622_Trump_NY_Soho_0114,[]
162,20160622_Trump_NY_Soho_0115,"[['recent immigrants', 4599312, 'Q131288'], ['terrorist activity', 30636, 'Q7283'], ['U.S.', 3434750, 'Q30']]"
163,20160622_Trump_NY_Soho_0130,"[['Hillary Clinton', 5043192, 'Q6294'], ['$25 million', 'not available', 'not available'], ['Saudi Arabia', 349303, 'Q851'], ['gay', 5488304, 'Q6636'], ['punishable by death', 5902, 'Q8454']]"
164,20160622_Trump_NY_Soho_0131,"[['Hillary', 5043192, 'Q6294'], ['Kuwait', 7515890, 'Q817'], ['Qatar', 8238258, 'Q846'], ['Oman', 22316, 'Q842'], ['LGBT', 66936, 'Q17884']]"
165,20160622_Trump_NY_Soho_0141,"[['100', 'not available', 'not available'], ['immigration enforcement', 5044573, 'Q185367'], ['open borders', 17373971, 'Q17163396'], ['United States', 3434750, 'Q30']]"
166,20160622_Trump_NY_Soho_0151,"[['Hillary Clinton', 5043192, 'Q6294'], ['America', 'not available', 'not available']]"
167,20160622_Trump_NY_Soho_0157,"[['tax reform', 308206, 'Q2346630']]"
168,20160622_Trump_NY_Soho_0157,"[['tax reform', 308206, 'Q2346630']]"
169,20160622_Trump_NY_Soho_0179,[]
170,20160622_Trump_NY_Soho_0179,[]
171,20160622_Trump_NY_Soho_0183,"[['real wages', 934386, 'Q1932544'], ['18', 'not available', 'not available']]"
172,20160721_Trump_draft_RNC_0020,"[['Trump', 'not available', 'not available'], ['NICK GASS', 'not available', 'not available']]"
173,20160721_Trump_draft_RNC_0021,"[['Homicides', 123451, 'Q149086'], ['17%', 'not available', 'not available'], ['Americas', 29833, 'Q828']]"
174,20160721_Trump_draft_RNC_0022,"[['25', 'not available', 'not available']]"
175,20160721_Trump_draft_RNC_0029,"[['illegal immigrant', 7124412, 'Q856681'], ['2015', 'not available', 'not available']]"
176,20160721_Trump_draft_RNC_0040,"[['2 million', 'not available', 'not available'], ['Latinos', 'not available', 'not available'], ['oath of office', 22258, 'Q774482'], ['years ago', 34341, 'Q577']]"
177,20160721_Trump_draft_RNC_0047,"[['roads and bridges', 174521, 'Q121359'], ['Americans', 'not available', 'not available'], ['food stamps', 659087, 'Q556318']]"
178,20160721_Trump_draft_RNC_0043,"[['trade deficit', 4810, 'Q192796'], ['$800 billion', 'not available', 'not available']]"
179,20160721_Trump_draft_RNC_0187,"[['America', 29833, 'Q828'], ['manufacturing jobs', 246816, 'Q1191714'], ['1997', 'not available', 'not available'], ['trade deals', 10883, 'Q5335686'], ['Bill', 377411, 'Q686822'], ['Hillary Clinton', 5043192, 'Q6294']]"
180,20160721_Trump_draft_RNC_0187,"[['America', 29833, 'Q828'], ['manufacturing jobs', 246816, 'Q1191714'], ['1997', 'not available', 'not available'], ['trade deals', 10883, 'Q5335686'], ['Bill', 377411, 'Q686822'], ['Hillary Clinton', 5043192, 'Q6294']]"
181,20160721_Trump_draft_RNC_0160,"[['Sanctuary Cities', 10511069, 'Q3559093']]"
182,20160721_Trump_draft_RNC_0058,"[['2009', 'not available', 'not available'], ['ISIS', 9087364, 'Q2429253']]"
183,20160721_Trump_draft_RNC_0148,"[['550%', 'not available', 'not available'], ['Syrian refugees', 32465077, 'Q559076'], ['refugee', 45547, 'Q131572'], ['President Obama', 534366, 'Q76']]"
184,20160721_Trump_draft_RNC_0149,[]
185,20160721_Trump_draft_RNC_0205,"[['Hillary Clinton', 5043192, 'Q6294'], ['presidential race', 21377251, 'Q699872'], ['Democrat', 5043544, 'Q29552'], ['Republican', 32070, 'Q29468']]"
186,20160721_Trump_draft_RNC_0206,"[['Middleincome Americans', 'not available', 'not available']]"
187,20160721_Trump_draft_RNC_0207,"[['America', 'not available', 'not available']]"
188,20160721_Trump_draft_RNC_0207,"[['America', 'not available', 'not available']]"
189,20160721_Trump_draft_RNC_0230,"[['2nd', 'not available', 'not available']]"
190,20160721_Trump_draft_RNC_0042,"[['Household incomes', 5755439, 'Q3250811'], ['$4,000', 'not available', 'not available'], ['2000', 'not available', 'not available']]"
191,20160721_Trump_draft_RNC_0234,"[['Lyndon Johnson', 54533, 'Q9640'], ['political views', 75469, 'Q7257']]"
192,20160721_Trump_draft_RNC_0028,"[['180,000', 'not available', 'not available'], ['illegal immigrants', 7124412, 'Q856681']]"
193,20160901_Trump_immigration_Phoenix_0063,"[['Hillary Clinton', 5043192, 'Q6294'], ['100', 'not available', 'not available'], ['Obamacare', 25226624, 'Q1414593'], ['Social Security', 48728, 'Q13479957'], ['Medicare', 58353, 'Q559392'], ['illegal immigrants', 5044573, 'Q185367'], ['federal budget', 3874731, 'Q7883083']]"
194,20160901_Trump_immigration_Phoenix_0048,"[['11 million', 'not available', 'not available'], ['illegal immigrants', 7124412, 'Q856681']]"
195,20160901_Trump_immigration_Phoenix_0043,"[['illegal immigration', 5044573, 'Q185367'], ['$113 billion dollars', 'not available', 'not available']]"
196,20160901_Trump_immigration_Phoenix_0061,"[['President Obama', 534366, 'Q76'], ['Hillary Clinton', 5043192, 'Q6294'], ['dereliction of duty', 275148, 'Q5262522'], ['American', 'not available', 'not available'], ['open borders', 532101, 'Q1453988']]"
197,20160901_Trump_immigration_Phoenix_0061,"[['President Obama', 534366, 'Q76'], ['Hillary Clinton', 5043192, 'Q6294'], ['dereliction of duty', 275148, 'Q5262522'], ['American', 'not available', 'not available'], ['open borders', 532101, 'Q1453988']]"
198,20160901_Trump_immigration_Phoenix_0061,"[['President Obama', 534366, 'Q76'], ['Hillary Clinton', 5043192, 'Q6294'], ['dereliction of duty', 275148, 'Q5262522'], ['American', 'not available', 'not available'], ['open borders', 532101, 'Q1453988']]"
199,20160901_Trump_immigration_Phoenix_0124,"[['23', 'not available', 'not available'], ['ordered to leave', 26132634, 'Q245122'], ['United States', 3434750, 'Q30'], ['violent criminals', 273381, 'Q491040']]"
200,20160901_Trump_immigration_Phoenix_0082,"[['2013', 'not available', 'not available'], ['Obama Administration', 20082093, 'Q1379733'], ['300,000', 'not available', 'not available'], ['U.S.', 3434750, 'Q30'], ['ICE', 216537, 'Q943091'], ['deportation', 412990, 'Q379693']]"
201,20160901_Trump_immigration_Phoenix_0052,"[['American', 'not available', 'not available'], ['11 million', 'not available', 'not available'], ['illegal immigrants', 7124412, 'Q856681']]"
202,20160901_Trump_immigration_Phoenix_0135,"[['illegal immigrants', 7124412, 'Q856681'], ['temporary visas', 330265, 'Q170404']]"
203,20160907_NBC_commander_in_chief_forum_0073,"[['Classified material', 252857, 'Q846498'], ['Department of Justice', 52563, 'Q1553390']]"
204,20160907_NBC_commander_in_chief_forum_0165,"[['Hes', 'not available', 'not available'], ['intervention in Libya', 31142430, 'Q210714'], ['Gadhafi', 53029, 'Q19878']]"
205,20160907_NBC_commander_in_chief_forum_0221,[]
206,20160907_NBC_commander_in_chief_forum_0240,"[['suicide', 16831059, 'Q10737'], ['general population', 19008450, 'Q40357']]"
207,20160907_NBC_commander_in_chief_forum_0241,[]
208,20160907_NBC_commander_in_chief_forum_0358,"[['war in Iraq', 5043324, 'Q545449']]"
209,20160907_NBC_commander_in_chief_forum_0378,"[['Republican', 32070, 'Q29468']]"
210,20160907_NBC_commander_in_chief_forum_0439,"[['ISIS', 9087364, 'Q2429253']]"
211,20160907_NBC_commander_in_chief_forum_0545,"[['Barack Obama', 534366, 'Q76'], ['China', 5405, 'Q148'], ['dont', 4685050, 'Q5205876'], ['stairs', 256015, 'Q12511']]"
212,20160907_NBC_commander_in_chief_forum_0564,"[['82 percent', 'not available', 'not available'], ['approval rating', 277315, 'Q49958']]"
213,20160907_NBC_commander_in_chief_forum_0571,"[['OK', 'not available', 'not available']]"
214,20160907_NBC_commander_in_chief_forum_0611,"[['Hillary Clinton', 5043192, 'Q6294'], ['months ago', 1160837, 'Q3488489']]"
215,20160926_1pres_0064,"[['piggy bank', 236305, 'Q221994'], ['China', 5405, 'Q148']]"
216,20160926_1pres_0098,[]
217,20160926_1pres_0165,"[['Donald', 'not available', 'not available']]"
218,20160926_1pres_0166,"[['2006', 'not available', 'not available']]"
219,20160926_1pres_0175,"[['Donald', 'not available', 'not available'], ['$5 trillion', 'not available', 'not available'], ['middleclass', 251534, 'Q241588'], ['3.5 million', 'not available', 'not available'], ['recession', 19337279, 'Q154510']]"
220,20160926_1pres_0179,"[['Donald', 19179331, 'Q6550'], ['climate change', 47512, 'Q125928'], ['hoax', 52239, 'Q190084'], ['Chinese', 'not available', 'not available']]"
221,20160926_1pres_0183,[]
222,20160926_1pres_0202,"[['Obama administration', 20082093, 'Q1379733'], ['230', 'not available', 'not available']]"
223,20160926_1pres_0203,[]
224,20160926_1pres_0232,"[['multinational', 214491, 'Q161726'], ['CAFTA', 458970, 'Q1155342']]"
225,20160926_1pres_0252,"[['New England', 21531764, 'Q18389'], ['Ohio', 22199, 'Q1397'], ['Pennsylvania', 23332, 'Q1400'], ['Secretary Clinton', 'not available', 'not available'], ['30, 40', 'not available', 'not available'], ['50 percent', 'not available', 'not available']]"
226,20160926_1pres_0264,"[['gold standard', 37412, 'Q173509']]"
227,20160926_1pres_0265,[]
228,20160926_1pres_0424,"[['Great Depression', 19283335, 'Q8698']]"
229,20160926_1pres_0440,"[['Donald Trump', 4848272, 'Q22686'], ['financial statement', 93755, 'Q192907']]"
