,input_claim_ids,pos
141,20160529_Sanders_MeetThePress_0181,['i']
142,20160529_Sanders_MeetThePress_0182,['she']
143,20160529_Sanders_MeetThePress_0185,"['i', 'we']"
144,20160622_Trump_NY_Soho_0022,"['clinton', 'who', 'people', 'she', 'she', 'attack']"
145,20160622_Trump_NY_Soho_0022,"['clinton', 'who', 'people', 'she', 'she', 'attack']"
146,20160622_Trump_NY_Soho_0061,"['clinton', 'she']"
147,20160622_Trump_NY_Soho_0061,"['clinton', 'she']"
148,20160622_Trump_NY_Soho_0062,['we']
149,20160622_Trump_NY_Soho_0062,['we']
150,20160622_Trump_NY_Soho_0064,"['she', 'china', 'which']"
151,20160622_Trump_NY_Soho_0065,"['clinton', 'china']"
152,20160622_Trump_NY_Soho_0073,"['i', 'it', 'she', 'she']"
153,20160622_Trump_NY_Soho_0074,"['she', 'deletion', 'she', 'emails']"
154,20160622_Trump_NY_Soho_0074,"['she', 'deletion', 'she', 'emails']"
155,20160622_Trump_NY_Soho_0084,"['clinton', 'that', 'rang', 'she']"
156,20160622_Trump_NY_Soho_0085,['stevens']
157,20160622_Trump_NY_Soho_0086,['department']
158,20160622_Trump_NY_Soho_0108,"['i', 'i', 'war']"
159,20160622_Trump_NY_Soho_0108,"['i', 'i', 'war']"
160,20160622_Trump_NY_Soho_0113,"['clinton', 'that']"
161,20160622_Trump_NY_Soho_0114,"['we', 'they', 'they']"
162,20160622_Trump_NY_Soho_0115,[]
163,20160622_Trump_NY_Soho_0130,['clinton']
164,20160622_Trump_NY_Soho_0131,"['hillary', 'that']"
165,20160622_Trump_NY_Soho_0141,['she']
166,20160622_Trump_NY_Soho_0151,"['clinton', 'we']"
167,20160622_Trump_NY_Soho_0157,[]
168,20160622_Trump_NY_Soho_0157,[]
169,20160622_Trump_NY_Soho_0179,"['military', 'we']"
170,20160622_Trump_NY_Soho_0179,"['military', 'we']"
171,20160622_Trump_NY_Soho_0183,['wages']
172,20160721_Trump_draft_RNC_0020,"['leaks', 'these']"
173,20160721_Trump_draft_RNC_0021,['homicides']
174,20160721_Trump_draft_RNC_0022,['that']
175,20160721_Trump_draft_RNC_0029,"['number', 'who']"
176,20160721_Trump_draft_RNC_0040,"['latinos', 'president']"
177,20160721_Trump_draft_RNC_0047,"['roads', 'airports', 'americans']"
178,20160721_Trump_draft_RNC_0043,['deficit']
179,20160721_Trump_draft_RNC_0187,['america']
180,20160721_Trump_draft_RNC_0187,['america']
181,20160721_Trump_draft_RNC_0160,['opponent']
182,20160721_Trump_draft_RNC_0058,['prehillary']
183,20160721_Trump_draft_RNC_0148,['opponent']
184,20160721_Trump_draft_RNC_0149,"['she', 'they', 'they']"
185,20160721_Trump_draft_RNC_0205,"['clinton', 'i', 'who']"
186,20160721_Trump_draft_RNC_0206,['americans']
187,20160721_Trump_draft_RNC_0207,['america']
188,20160721_Trump_draft_RNC_0207,['america']
189,20160721_Trump_draft_RNC_0230,['opponent']
190,20160721_Trump_draft_RNC_0042,['incomes']
191,20160721_Trump_draft_RNC_0234,"['amendment', 'they']"
192,20160721_Trump_draft_RNC_0028,['immigrants']
193,20160901_Trump_immigration_Phoenix_0063,"['clinton', 'plan']"
194,20160901_Trump_immigration_Phoenix_0048,"['truth', 'issue']"
195,20160901_Trump_immigration_Phoenix_0043,['immigration']
196,20160901_Trump_immigration_Phoenix_0061,['obama']
197,20160901_Trump_immigration_Phoenix_0061,['obama']
198,20160901_Trump_immigration_Phoenix_0061,['obama']
199,20160901_Trump_immigration_Phoenix_0124,['that']
200,20160901_Trump_immigration_Phoenix_0082,"['administration', 'aliens', 'these', 'individuals']"
201,20160901_Trump_immigration_Phoenix_0052,"['problem', 'who']"
202,20160901_Trump_immigration_Phoenix_0135,['half']
203,20160907_NBC_commander_in_chief_forum_0073,"['material', 'which', 'nothing', 'i', 'none']"
204,20160907_NBC_commander_in_chief_forum_0165,"['he', 'gadhafi']"
205,20160907_NBC_commander_in_chief_forum_0221,['i']
206,20160907_NBC_commander_in_chief_forum_0240,['population']
207,20160907_NBC_commander_in_chief_forum_0241,['twenty']
208,20160907_NBC_commander_in_chief_forum_0358,['i']
209,20160907_NBC_commander_in_chief_forum_0378,"['i', 'anybody']"
210,20160907_NBC_commander_in_chief_forum_0439,[]
211,20160907_NBC_commander_in_chief_forum_0545,"['i', 'you', 'one', 'they']"
212,20160907_NBC_commander_in_chief_forum_0564,['he']
213,20160907_NBC_commander_in_chief_forum_0571,"['i', 'he', 'ill']"
214,20160907_NBC_commander_in_chief_forum_0611,['clinton']
215,20160926_1pres_0064,"['they', 'countries']"
216,20160926_1pres_0098,"['it', 'we']"
217,20160926_1pres_0165,"['donald', 'who']"
218,20160926_1pres_0166,"['he', 'i', 'it', 'i']"
219,20160926_1pres_0175,"['experts', 'i', 'donald', 'they', 'plan', 'which', 'we']"
220,20160926_1pres_0179,"['donald', 'change']"
221,20160926_1pres_0183,['i']
222,20160926_1pres_0202,"['administration', 'they']"
223,20160926_1pres_0203,[]
224,20160926_1pres_0232,['i']
225,20160926_1pres_0252,"['you', 'you', 'you', 'you', 'you', 'manufacture']"
226,20160926_1pres_0264,['you']
227,20160926_1pres_0265,"['you', 'it', 'you']"
228,20160926_1pres_0424,['we']
229,20160926_1pres_0440,"['you', 'i', 'they']"
230,20160926_1pres_0493,"['he', 'all', 'years', 'he', 'he', 'they', 'he']"
231,20160926_1pres_0575,"['we', 'you']"
232,20160926_1pres_0579,"['you', 'you']"
233,20160926_1pres_0629,['epidemic']
234,20160926_1pres_0645,['they']
235,20160926_1pres_0711,"['it', 'you', 'you', 'you']"
236,20160926_1pres_0748,"['i', 'you', 'that']"
237,20160926_1pres_0819,['they']
238,20160926_1pres_0868,"['donald', 'he', 'he', 'people', 'who', 'that']"
239,20160926_1pres_0927,"['that', 'i', 'i', 'donald']"
240,20160926_1pres_1010,"['he', 'we']"
241,20160926_1pres_1010,"['he', 'we']"
242,20160926_1pres_1057,"['i', 'they']"
243,20160926_1pres_1059,"['that', 'me', 'i', 'i', 'that', 'i']"
244,20160926_1pres_1079,['i']
245,20160926_1pres_1148,"['successor', 'that']"
246,20160926_1pres_1182,['they']
247,20160926_1pres_1182,['they']
248,20160926_1pres_1214,"['china', 'it']"
249,20160926_1pres_1215,"['one', 'i', 'i', 'you']"
250,20160926_1pres_1222,[]
251,20160926_1pres_1225,"['it', 'i']"
252,20160926_1pres_1326,"['this', 'who', 'someone', 'who', 'who']"
253,20160926_1pres_1326,"['this', 'who', 'someone', 'who', 'who']"
254,20161005_vice_pres_0075,"['he', 'he', 'he']"
255,20161005_vice_pres_0050,"['we', 'people', 'we']"
256,20161005_vice_pres_0097,['guys']
257,20161005_vice_pres_0153,"['iraq', 'clinton']"
258,20161005_vice_pres_0117,"['she', 'foundation']"
259,20161005_vice_pres_0179,"['i', 'that', 'clinton', 'we', 'debt']"
260,20161005_vice_pres_0184,"['he', 'he']"
261,20161005_vice_pres_0192,['they']
262,20161005_vice_pres_0215,"['trump', 'wages']"
263,20161005_vice_pres_0216,"['trump', 'we']"
264,20161005_vice_pres_0234,"['i', 'truth', 'clinton']"
265,20161005_vice_pres_0236,[]
266,20161005_vice_pres_0305,"['nixon', 'he']"
267,20161005_vice_pres_0326,"['trump', 'he', 'security']"
268,20161005_vice_pres_0437,[]
269,20161005_vice_pres_0438,['you']
270,20161005_vice_pres_0497,"['clinton', 'that', 'that', 'it']"
271,20161005_vice_pres_0497,"['clinton', 'that', 'that', 'it']"
272,20161005_vice_pres_0497,"['clinton', 'that', 'that', 'it']"
273,20161005_vice_pres_0639,['he']
274,20161005_vice_pres_0639,['he']
275,20161005_vice_pres_0640,"['military', 'hero', 'generals', 'i']"
276,20161005_vice_pres_0640,"['military', 'hero', 'generals', 'i']"
277,20161005_vice_pres_0965,['nations']
278,20161005_vice_pres_0968,['he']
279,20161005_vice_pres_0682,['you']
280,20161005_vice_pres_0694,['clinton']
281,20161005_vice_pres_0737,"['elaine', 'we', 'people']"
282,20161005_vice_pres_1039,['we']
283,20161005_vice_pres_1134,['it']
284,20161005_vice_pres_1163,['cents']
285,20161005_vice_pres_1163,['cents']
286,20161005_vice_pres_1163,['cents']
287,20161005_vice_pres_1163,['cents']
288,20161005_vice_pres_1162,[]
289,20161005_vice_pres_1259,"['that', 'that', 'who']"
290,20161005_vice_pres_1325,"['she', 'she', 'program', 'kids']"
291,20161010_2pres_0035,"['i', 'i', 'what', 'insurance', 'that', 'i', 'it', 'it', 'we', 'state', 'we', 'them']"
292,20161010_2pres_0037,['we']
293,20161010_2pres_0039,['we']
294,20161010_2pres_0112,"['we', 'him']"
295,20161010_2pres_0117,"['it', 'it', 'that', 'he']"
296,20161010_2pres_0117,"['it', 'it', 'that', 'he']"
297,20161010_2pres_0117,"['it', 'it', 'that', 'he']"
298,20161010_2pres_0117,"['it', 'it', 'that', 'he']"
299,20161010_2pres_0130,"['i', 'they', 'hillary', 'she']"
300,20161010_2pres_0165,"['client', 'she']"
301,20161010_2pres_0190,"['you', 'you', 'campaign', 'he', 'you', 'he', 'that', 'this', 'they', 'she']"
302,20161010_2pres_0208,"['emails', 'you', 'you', 'you', 'you', 'acid', 'you']"
303,20161010_2pres_0346,['we']
304,20161010_2pres_0347,"['that', 'we']"
305,20161010_2pres_0370,"['she', 'which']"
306,20161010_2pres_0437,"['we', 'muslims', 'they', 'something']"
307,20161010_2pres_0439,"['people', 'that']"
308,20161010_2pres_0500,['clinton']
309,20161010_2pres_0501,"['people', 'we', 'they', 'they', 'feelings', 'she']"
310,20161010_2pres_0525,"['you', 'trump', 'they']"
311,20161010_2pres_0534,"['i', 'i']"
312,20161010_2pres_0554,"['we', 'drugs']"
313,20161010_2pres_0605,"['she', 'i']"
314,20161010_2pres_0607,['i']
315,20161010_2pres_0675,"['lot', 'taxes']"
316,20161010_2pres_0772,"['kids', 'i', 'i']"
317,20161010_2pres_0776,"['i', 'i', 'women']"
318,20161010_2pres_0834,"['program', 'they']"
319,20161010_2pres_0838,['we']
320,20161010_2pres_0839,['we']
321,20161010_2pres_0840,['we']
322,20161010_2pres_0821,['she']
323,20161010_2pres_0851,['isis']
324,20161010_2pres_0858,"['russia', 'who', 'you', 'i', 'which']"
325,20161010_2pres_0981,"['she', 'she', 'she']"
326,20161010_2pres_0982,['she']
327,20161010_2pres_1035,['teachers']
328,20161010_2pres_1036,['bullying']
329,20161010_2pres_1069,['we']
330,20161010_2pres_1081,[]
331,20161010_2pres_1168,['which']
332,20161019_3pres_0029,"['i', 'that']"
333,20161019_3pres_0029,"['i', 'that']"
334,20161019_3pres_0030,"['i', 'it', 'we', 'we', 'we', 'we', 'we', 'court']"
335,20161019_3pres_0048,"['i', 'opponent', 'which', 'i', 'we', 'which', 'it']"
336,20161019_3pres_0078,"['i', 'you', 'i', 'court', 'district', 'they', 'people']"
337,20161019_3pres_0074,"['i', 'we', 'we', 'who']"
338,20161019_3pres_0139,"['he', 'who']"
339,20161019_3pres_0189,['hillary']
340,20161019_3pres_0190,['she']
341,20161019_3pres_0200,"['all', 'problem', 'that']"
342,20161019_3pres_0201,['it']
343,20161019_3pres_0228,"['he', 'person']"
344,20161019_3pres_0255,['clinton']
345,20161019_3pres_0256,['clinton']
346,20161019_3pres_0273,['he']
347,20161019_3pres_0339,"['she', 'he']"
348,20161019_3pres_0345,['i']
349,20161019_3pres_0363,"['russians', 'you', 'you', 'he', 'you', 'he']"
350,20161019_3pres_0366,"['we', 'who', 'attacks']"
351,20161019_3pres_0424,[]
352,20161019_3pres_0468,"['i', 'us']"
353,20161019_3pres_0485,"['plan', 'we', 'it']"
354,20161019_3pres_0490,"['i', 'plan']"
355,20161019_3pres_0607,"['she', 'she', 'she']"
356,20161019_3pres_0609,['she']
357,20161019_3pres_0655,"['you', 'billion']"
358,20161019_3pres_0657,['you']
359,20161019_3pres_0659,['it']
360,20161019_3pres_0667,[]
361,20161019_3pres_0687,"['she', 'her', 'group', 'we', 'we', 'we', 'they']"
362,20161019_3pres_0688,"['she', 'you']"
363,20161019_3pres_0695,"['we', 'women', 'you']"
364,20161019_3pres_0699,[]
365,20161019_3pres_0751,"['i', 'she']"
366,20161019_3pres_0765,['he']
367,20161019_3pres_0423,[]
368,20161019_3pres_0793,"['foundation', 'it', 'that', 'who']"
369,20161019_3pres_0815,['arabia']
370,20161019_3pres_0815,['arabia']
371,20161019_3pres_0818,"['these', 'that']"
372,20161019_3pres_0820,"['i', 'you', 'you', 'that']"
373,20161019_3pres_0820,"['i', 'you', 'you', 'that']"
374,20161019_3pres_0832,"['i', 'we', 'which']"
375,20161019_3pres_0867,"['he', 'who', 'he', 'we']"
376,20161019_3pres_0877,"['all', 'i', 'buffett']"
377,20161019_3pres_0918,"['you', 'you', 'you', 'this', 'this']"
378,20161019_3pres_0942,"['he', 'he']"
379,20161019_3pres_1036,"['you', 'donald', 'he']"
380,20161019_3pres_1037,"['i', 'it']"
381,20161019_3pres_1038,['i']
382,20161019_3pres_1039,"['he', 'what']"
383,20161019_3pres_1133,['we']
384,20161019_3pres_1277,"['it', 'premiums']"
385,20161019_3pres_1329,"['we', 'that', 'we']"
386,20170111_Trump_press_conference_0041,"['it', 'we']"
387,20170111_Trump_press_conference_0172,"['they', 'they']"
388,20170111_Trump_press_conference_0203,"['i', 'you', 'administration']"
389,20170111_Trump_press_conference_0259,"['i', 'you', 'i', 'i', 'which', 'i', 'it']"
390,20170111_Trump_press_conference_0266,"['i', 'i']"
391,20170111_Trump_press_conference_0270,"['i', 'i']"
392,20170111_Trump_press_conference_0287,['you']
393,20170111_Trump_press_conference_0277,['president']
394,20170111_Trump_press_conference_0278,"['you', 'one', 'that']"
395,20170111_Trump_press_conference_0387,['it']
396,20170111_Trump_press_conference_0388,['it']
397,20170111_Trump_press_conference_0450,"['states', 'i', '17']"
398,20170111_Trump_press_conference_0483,"['i', 'which', 'we']"
399,20170111_Trump_press_conference_0498,"['you', 'that', 'they']"
400,20170111_Trump_press_conference_0498,"['you', 'that', 'they']"
401,20170120_Trump_inauguration_0027,"['everyone', 'you', 'world']"
402,20170120_Trump_inauguration_0032,"['mothers', 'system', 'which']"
403,20170120_Trump_inauguration_0032,"['mothers', 'system', 'which']"
404,20170120_Trump_inauguration_0032,"['mothers', 'system', 'which']"
405,20170120_Trump_inauguration_0033,['that']
406,20170120_Trump_inauguration_0033,['that']
407,20170120_Trump_inauguration_0033,['that']
408,20170120_Trump_inauguration_0033,['that']
409,20170120_Trump_inauguration_0040,['we']
410,20170120_Trump_inauguration_0041,['infrastructure']
411,20170120_Trump_inauguration_0039,['we']
412,20170120_Trump_inauguration_0039,['we']
413,20170120_Trump_inauguration_0042,"['we', 'countries', 'wealth']"
414,20170120_Trump_inauguration_0061,"['we', 'we', 'we', 'it']"
415,20170120_Trump_inauguration_0061,"['we', 'we', 'we', 'it']"
416,20170120_Trump_inauguration_0061,"['we', 'we', 'we', 'it']"
417,20170120_Trump_inauguration_0061,"['we', 'we', 'we', 'it']"
418,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
419,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
420,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
421,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
422,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
423,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
424,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
425,20170126_Trump_ABC_0107,"['you', 'who', 'who', 'who']"
426,20170126_Trump_ABC_0110,['they']
427,20170126_Trump_ABC_0110,['they']
428,20170126_Trump_ABC_0110,['they']
429,20170126_Trump_ABC_0110,['they']
430,20170126_Trump_ABC_0110,['they']
431,20170126_Trump_ABC_0110,['they']
432,20170126_Trump_ABC_0110,['they']
433,20170126_Trump_ABC_0110,['they']
434,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
435,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
436,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
437,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
438,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
439,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
440,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
441,20170126_Trump_ABC_0103,"['you', 'you', 'who', 'you', 'you', 'that', 'you', 'you', 'we']"
442,20170126_Trump_ABC_0121,"['you', 'that', 'that']"
443,20170126_Trump_ABC_0133,"['he', 'they']"
444,20170126_Trump_ABC_0178,"['you', 'it']"
445,20170126_Trump_ABC_0180,"['they', 'they']"
446,20170126_Trump_ABC_0679,['audience']
447,20170126_Trump_ABC_0680,['crowd']
448,20170126_Trump_ABC_0319,['answer']
449,20170126_Trump_ABC_0420,['it']
450,20170205_Trump_Oreilly_0141,['i']
451,20170205_Trump_Oreilly_0216,"['i', 'cities', 'they']"
452,20170205_Trump_Oreilly_0216,"['i', 'cities', 'they']"
453,20170205_Trump_Oreilly_0354,"['you', 'who', 'you', 'people', 'that', 'president']"
454,20170205_Trump_Oreilly_0360,"['you', 'you', 'that', 'that', 'people', 'that', 'you', 'that', 'you', 'you', 'that', 'they']"
455,20170205_Trump_Oreilly_0360,"['you', 'you', 'that', 'that', 'people', 'that', 'you', 'that', 'you', 'you', 'that', 'they']"
456,20170205_Trump_Oreilly_0360,"['you', 'you', 'that', 'that', 'people', 'that', 'you', 'that', 'you', 'you', 'that', 'they']"
457,20170205_Trump_Oreilly_0186,"['you', 'obamacare']"
458,20170205_Trump_Oreilly_0186,"['you', 'obamacare']"
459,20170205_Trump_Oreilly_0185,['obamacare']
460,20170205_Trump_Oreilly_0185,['obamacare']
461,20170205_Trump_Oreilly_0038,"['we', 'which']"
462,20170205_Trump_Oreilly_0038,"['we', 'which']"
463,20170207_Sanders_Cruz_healthcare_debate_0032,['they']
464,20170207_Sanders_Cruz_healthcare_debate_0041,['states']
465,20170207_Sanders_Cruz_healthcare_debate_0624,"['you', 'care', 'you', 'that', 'people', 'insurance', 'that', 'them', 'who']"
466,20170207_Sanders_Cruz_healthcare_debate_0265,['most']
467,20170207_Sanders_Cruz_healthcare_debate_0314,"['you', 'that']"
468,20170207_Sanders_Cruz_healthcare_debate_0360,"['i', 'cameras', 'you', 'that']"
469,20170207_Sanders_Cruz_healthcare_debate_0521,"['we', 'people']"
470,20170207_Sanders_Cruz_healthcare_debate_0521,"['we', 'people']"
471,20170207_Sanders_Cruz_healthcare_debate_0521,"['we', 'people']"
472,20170207_Sanders_Cruz_healthcare_debate_0484,"['29ers', 'that', 'obamacare']"
473,20170207_Sanders_Cruz_healthcare_debate_0687,"['it', 'i', 'outcomes']"
474,20170207_Sanders_Cruz_healthcare_debate_0687,"['it', 'i', 'outcomes']"
475,20170207_Sanders_Cruz_healthcare_debate_0936,"['we', 'we']"
