,input_claim_ids,used_words_and_synonyms
47,20160112_Obama_state_of_the_union_0071,"['state', 'tell', 'order', 'assure', 'distinguish', 'earlier', 'early', 'sooner', 'in_the_first_place', 'talk', 'lecture', 'speak', 'spill', 'spill_the_beans', 'united_states', 'america', ""'"", 'economic', 'decline', 'decay', 'descent', 'worsen', 'refuse', 'political', 'hot', 'blistering', 'air', 'breeze', 'atmosphere', 'tune', 'air_travel', 'air_out', 'publicize', 'vent', '.']"
48,20160112_Obama_state_of_the_union_0072,"['well', 'good', ',', 'rhetoric', 'grandiosity', 'palaver', 'hear', 'learn', 'listen', 'enemy', 'foe', 'acquiring', 'get', 'become', 'receive', 'arrive', 'bring', 'experience', 'pay_back', 'have', 'induce', 'grow', 'contract', 'make', 'drive', 'catch', 'scram', 'draw', 'perplex', 'get_down', 'suffer', 'beget', 'strong', 'potent', 'impregnable', 'solid', 'hard', 'firm', 'united_states', 'america', 'weak', 'watery', 'unaccented', 'fallible', 'decrepit', 'faint', '.']"
49,20160112_Obama_state_of_the_union_0073,"['unite', 'unify', 'connect', 'united', 'joined', 'state', 'state_of_matter', 'country', 'department_of_state', 'submit', 'express', 'united_states', 'america', 'powerful', 'knock-down', 'potent', 'brawny', 'herculean', 'mighty', 'nation', 'earth', 'land', 'worldly_concern', 'ground', '.']"
50,20160115_GOP_charlston_0192,"['expression', 'look', 'spirit', 'search', 'front', 'attend', 'expect', 'count', 'about', 'around', 'approximately', 'round', ',', 'see', 'understand', 'witness', 'visualize', 'learn', 'watch', 'meet', 'determine', 'visit', 'go_steady', 'examine', 'experience', 'interpret', ""'"", 'happening', 'happen', 'find', ',', 'case', 'event', 'lawsuit', 'subject', 'character', 'font', 'sheath', 'shell', 'casing', 'encase', 'introduce', 'insert', 'bring_in', 'precede', 'inaugurate', 'doctor', 'doctor_of_the_church', 'sophisticate', 'repair', 'nice', 'decent', 'dainty', 'courteous', ',', 'e', 'perfective', 'perfect', 'arrant', 'representative', 'spokesperson', 'congressman', 'example', 'line', 'argumentation', 'cable', 'course', 'wrinkle', 'pipeline', 'telephone_line', 'lineage', 'occupation', 'channel', 'agate_line', 'credit_line', 'tune', 'note', 'production_line', 'trace', 'migration', '.']"
51,20160115_GOP_charlston_0192,"['expression', 'look', 'spirit', 'search', 'front', 'attend', 'expect', 'count', 'about', 'around', 'approximately', 'round', ',', 'see', 'understand', 'witness', 'visualize', 'learn', 'watch', 'meet', 'determine', 'visit', 'go_steady', 'examine', 'experience', 'interpret', ""'"", 'happening', 'happen', 'find', ',', 'case', 'event', 'lawsuit', 'subject', 'character', 'font', 'sheath', 'shell', 'casing', 'encase', 'introduce', 'insert', 'bring_in', 'precede', 'inaugurate', 'doctor', 'doctor_of_the_church', 'sophisticate', 'repair', 'nice', 'decent', 'dainty', 'courteous', ',', 'e', 'perfective', 'perfect', 'arrant', 'representative', 'spokesperson', 'congressman', 'example', 'line', 'argumentation', 'cable', 'course', 'wrinkle', 'pipeline', 'telephone_line', 'lineage', 'occupation', 'channel', 'agate_line', 'credit_line', 'tune', 'note', 'production_line', 'trace', 'migration', '.']"
52,20160115_GOP_charlston_0195,"['expression', 'look', 'spirit', 'search', 'front', 'attend', 'expect', 'count', 'migration', ',', 'line', 'argumentation', 'cable', 'course', 'wrinkle', 'pipeline', 'telephone_line', 'lineage', 'occupation', 'channel', 'agate_line', 'credit_line', 'tune', 'note', 'production_line', 'trace', ',', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', 'actually', 'show', 'display', 'appearance', 'prove', 'testify', 'picture', 'express', 'indicate', 'usher', 'recently', ',', 'woman', 'charwoman', 'womanhood', '?']"
53,20160115_GOP_charlston_0196,"['look', 'search', 'front', 'attend', 'expect', 'count', 'like', 'wish', 'alike', 'comparable', 'woman', 'charwoman', 'womanhood', '.']"
54,20160115_GOP_charlston_0197,"['child', '.']"
55,20160115_GOP_charlston_0195,"['expression', 'look', 'spirit', 'search', 'front', 'attend', 'expect', 'count', 'migration', ',', 'line', 'argumentation', 'cable', 'course', 'wrinkle', 'pipeline', 'telephone_line', 'lineage', 'occupation', 'channel', 'agate_line', 'credit_line', 'tune', 'note', 'production_line', 'trace', ',', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', 'actually', 'show', 'display', 'appearance', 'prove', 'testify', 'picture', 'express', 'indicate', 'usher', 'recently', ',', 'woman', 'charwoman', 'womanhood', '?']"
56,20160115_GOP_charlston_0196,"['look', 'search', 'front', 'attend', 'expect', 'count', 'like', 'wish', 'alike', 'comparable', 'woman', 'charwoman', 'womanhood', '.']"
57,20160115_GOP_charlston_0197,"['child', '.']"
58,20160115_GOP_charlston_0473,"['unfortunately', ',', 'governor', 'christie', 'back', 'second', 'certify', 'endorse', 'many', 'idea', 'mind', 'estimate', 'theme', 'b', 'o', 'support', 'documentation', 'accompaniment', 'hold', 'confirm', 'subscribe', 'corroborate', 'defend', 'patronize', 'digest', ',', 'w', 'park', 'common', 'coarse', 'core', 'kernel', 'congress_of_racial_equality', 'effect', 'gun', 'artillery', 'gunman', 'grease-gun', 'accelerator', 'control', 'control_condition', 'dominance', 'restraint', 'command', 'operate', 'manipulate', 'see', 'master', 'appointment', 'date', 'appointee', 's', 's', 'contribution', 'make', 'induce', 'cause', 'produce', 'draw', 'create', 'gain', 'do', 'form', 'reach', 'construct', 'name', 'have', 'lay_down', 'take', 'stool', 'cook', 'seduce', 'made', 'plan', 'design', 'planned', 'aforethought', 'parenthood', '.']"
