,input_claim_ids,used_words_and_synonyms
16,20151013_democrats_las_vegas_0305,"['senator', 'sanders', ',', 'voted', 'brady', 'bill', 'mandated', 'background', 'checks', 'waiting', 'period', '.']"
17,20151013_democrats_las_vegas_0096,"['today', 'america', ',', 'people', 'jail', 'country', 'earth', '.']"
18,20151013_democrats_las_vegas_0962,"['never', 'took', 'position', 'keystone', 'took', 'position', 'keystone', '.']"
19,20151013_democrats_las_vegas_0182,"['see', 'every', 'major', 'country', 'saying', 'moms', ',', 'baby', ',', ""'re"", 'gon', 'na', 'separate', 'newborn', 'baby', ',', 'going', 'gon', 'na', 'medical', 'family', 'paid', 'leave', ',', 'like', 'every', 'country', 'earth', '.']"
20,20151013_democrats_las_vegas_1475,"['criminal', 'justice', 'system', 'lets', 'ceos', 'wall', 'street', 'walk', 'away', ',', 'yet', 'imprisoning', 'giving', 'jail', 'sentences', 'young', 'people', 'smoking', 'marijuana', '.']"
21,20151013_democrats_las_vegas_1227,"['could', 'whistleblower', '.']"
22,20151013_democrats_las_vegas_1228,"['could', 'gotten', 'protections', 'whistleblower', '.']"
23,20151028_GOP_boulder_0923,"['92', 'percent', '92', 'percent', 'jobs', 'lost', 'barack', 'obama', ""'s"", 'first', 'term', 'belonged', 'women', '.']"
24,20151028_GOP_boulder_0923,"['92', 'percent', '92', 'percent', 'jobs', 'lost', 'barack', 'obama', ""'s"", 'first', 'term', 'belonged', 'women', '.']"
25,20151028_GOP_boulder_0115,"['tell', ',', 'socialist', 'says', ""'re"", 'going', 'pay', 'everything', 'give', 'everything', 'free', ',', 'except', ""n't"", 'say', ""'re"", 'going', 'raise', 'taxes', '90', 'percent', '.']"
26,20151028_GOP_boulder_0367,"['first', 'time', '35', 'years', ',', 'businesses', 'closing', 'starting', '.']"
27,20151028_GOP_boulder_0842,"['well', ',', 'listed', 'litany', 'discredited', 'attacks', 'democrats', 'political', 'opponents', ',', ""'m"", 'gon', 'na', 'waste', '60', 'seconds', 'detailing', '.']"
28,20151028_GOP_boulder_0949,"['company', 'called', 'mannatech', ',', 'maker', 'nutritional', 'supplements', ',', '10year', 'relationship', '.']"
29,20151028_GOP_boulder_0950,"['offered', 'claims', 'could', 'cure', 'autism', ',', 'cancer', ',', 'paid', '$', '7', 'million', 'settle', 'deceptive', 'marketing', 'lawsuit', 'texas', ',', 'yet', ""'re"", 'involvement', 'continued', '.']"
30,20151028_GOP_boulder_0958,"['absolutely', 'absurd', 'say', 'kind', 'relationship', '.']"
31,20151028_GOP_boulder_0744,"['well', ',', 'average', 'small', 'manufacturer', ',', 'whatever', ""'re"", 'manufacturing', ',', 'drugs', 'anything', ',', 'less', '50', 'employees', ',', 'average', 'cost', 'terms', 'regulations', '$', '34,000', 'per', 'employee', '.']"
32,20151028_GOP_boulder_0916,"['one', 'mentioned', 'fact', 'barack', 'obama', 'big', 'government', 'economy', ',', 'median', 'wage', 'women', 'dropped', '$', '733', '.']"
33,20151028_GOP_boulder_1032,"['think', 'called', 'mark', 'zuckerberg', ""'s"", 'personal', 'senator', 'favor', 'h1b', '.']"
34,20151028_GOP_boulder_1435,"['florida', ',', 'lowest', 'instate', 'tuition', 'state', ',', ""'s"", 'accountability', ',', 'john', 'said', '.']"
35,20151110_GOP_milwuakee_0389,"['moved', '1.5', 'million', 'illegal', 'immigrants', 'country', ',', 'moved', 'beyond', 'border', '.']"
36,20151110_GOP_milwuakee_0275,"['seems', 'worst', 'cities', 'run', 'democrats', ',', 'governors', '...']"
37,20151110_GOP_milwuakee_0888,"[""'re"", 'losing', '$', '500', 'billion', 'terms', 'imbalance', 'china', ',', '$', '75', 'billion', 'year', 'imbalance', 'japan', '.']"
38,20151110_GOP_milwuakee_0875,"[""'s"", 'deal', 'designed', 'china', 'come', ',', 'always', ',', 'back', 'door', 'totally', 'take', 'advantage', 'everyone', '.']"
39,20151110_GOP_milwuakee_0656,"['words', 'irs', 'code', 'bible', 'one', 'good', '.']"
40,20151110_GOP_milwuakee_0566,"['understand', 'someone', ""'s"", 'battled', 'cancer', 'become', 'known', 'preexisting', 'condition', '.']"
41,20151110_GOP_milwuakee_0567,"['understand', 'allow', 'families', 'go', 'bankrupt', 'truly', 'need', 'help', '.']"
42,20151110_GOP_milwuakee_0568,"[',', 'also', 'understand', 'obamacare', ""n't"", 'helping', 'anyone', '.']"
43,20151110_GOP_milwuakee_0313,"[',', 'know', ',', 'look', 'somebody', 'like', 'hillary', 'clinton', ',', 'sits', 'tells', 'daughter', 'government', 'official', ',', 'terrorist', 'attack', ',', 'tells', 'everybody', 'else', 'video', '.']"
44,20160112_Obama_state_of_the_union_0013,"['businesses', 'created', 'jobs', 'every', 'single', 'month', 'since', 'became', 'law', '.']"
45,20160112_Obama_state_of_the_union_0076,"['spend', 'military', 'next', 'eight', 'nations', 'combined', '.']"
46,20160112_Obama_state_of_the_union_0145,"['keep', 'working', 'shut', 'prison', 'guantanamo', ""'s"", 'expensive', ',', ""'s"", 'unnecessary', ',', 'serves', 'recruitment', 'brochure', 'enemies', '.']"
47,20160112_Obama_state_of_the_union_0071,"['told', 'earlier', 'talk', 'america', ""'s"", 'economic', 'decline', 'political', 'hot', 'air', '.']"
48,20160112_Obama_state_of_the_union_0072,"['well', ',', 'rhetoric', 'hear', 'enemies', 'getting', 'stronger', 'america', 'getting', 'weaker', '.']"
49,20160112_Obama_state_of_the_union_0073,"['united', 'states', 'america', 'powerful', 'nation', 'earth', '.']"
50,20160115_GOP_charlston_0192,"['look', 'around', ',', 'see', ""'s"", 'happening', ',', 'case', 'introduced', 'doctor', 'nice', ',', 'everything', 'perfect', 'representative', 'line', 'migration', '.']"
51,20160115_GOP_charlston_0192,"['look', 'around', ',', 'see', ""'s"", 'happening', ',', 'case', 'introduced', 'doctor', 'nice', ',', 'everything', 'perfect', 'representative', 'line', 'migration', '.']"
52,20160115_GOP_charlston_0195,"['look', 'migration', ',', 'looked', 'line', ',', 'said', 'actually', 'show', 'recently', ',', 'women', '?']"
53,20160115_GOP_charlston_0196,"['looked', 'like', 'women', '.']"
54,20160115_GOP_charlston_0197,"['children', '.']"
55,20160115_GOP_charlston_0195,"['look', 'migration', ',', 'looked', 'line', ',', 'said', 'actually', 'show', 'recently', ',', 'women', '?']"
56,20160115_GOP_charlston_0196,"['looked', 'like', 'women', '.']"
57,20160115_GOP_charlston_0197,"['children', '.']"
58,20160115_GOP_charlston_0473,"['unfortunately', ',', 'governor', 'christie', 'endorsed', 'many', 'ideas', 'barack', 'obama', 'supports', ',', 'whether', 'common', 'core', 'gun', 'control', 'appointment', 'sonia', 'sotomayor', 'donation', 'made', 'planned', 'parenthood', '.']"
59,20160115_GOP_charlston_0138,"['gets', 'elected', ',', ""'s"", 'investigation', 'fbi', 'right', '.']"
60,20160115_GOP_charlston_0139,"['gets', 'elected', ',', 'first', '100', 'days', ',', 'instead', 'setting', 'agenda', ',', 'might', 'going', 'back', 'forth', 'white', 'house', 'courthouse', '.']"
61,20160115_GOP_charlston_0740,"['eric', 'holder', 'said', 'viewed', 'mission', 'brainwashing', 'american', 'people', 'guns', '.']"
62,20160115_GOP_charlston_0047,"['lowest', 'percentage', 'americans', 'working', 'today', 'year', 'since', '1977', '.']"
63,20160115_GOP_charlston_0048,"['median', 'wages', 'stagnated', '.']"
64,20160115_GOP_charlston_0049,"['obamaclinton', 'economy', 'left', 'behind', 'working', 'men', 'women', 'country', '.']"
65,20160115_GOP_charlston_1591,"['fact', ',', 'budget', 'ever', 'voted', ',', 'ted', ',', 'entire', 'time', 'senate', 'budget', 'rand', 'paul', 'brags', 'cuts', 'defense', '.']"
66,20160115_GOP_charlston_1616,"['way', ',', 'attack', 'keeps', 'throwing', 'military', 'budget', ',', 'marco', 'knows', 'full', 'well', 'voted', 'amendment', 'increase', 'military', 'spending', '$', '697', 'billion', '.']"
67,20160115_GOP_charlston_1579,"['used', 'say', 'favor', 'birthright', 'citizenship', ',', 'say', '.']"
68,20160115_GOP_charlston_1579,"['used', 'say', 'favor', 'birthright', 'citizenship', ',', 'say', '.']"
69,20160117_democrats_charlston_0413,"['driven', 'costs', 'lowest', ""'ve"", '50', 'years', '.']"
70,20160117_democrats_charlston_0414,"[""'ve"", 'got', 'get', 'individual', 'costs', '.']"
71,20160117_democrats_charlston_0129,"[',', 'pleased', 'hear', 'senator', 'sanders', 'reversed', 'position', 'immunity', 'look', 'forward', 'joining', 'members', 'congress', 'already', 'introduced', 'legislation', '.']"
72,20160117_democrats_charlston_0122,"['voted', 'call', ',', 'charleston', 'loophole', '.']"
73,20160117_democrats_charlston_0994,"['unfortunately', ',', 'much', 'budget', 'continues', 'fight', 'old', 'cold', 'war', 'soviet', 'union', '.']"
74,20160117_democrats_charlston_0995,"['little', 'budget', 'less', '10', 'percent', 'actually', 'goes', 'fighting', 'isis', 'international', 'terrorism', '.']"
75,20160204_democrats_new_hampshire_0623,"['group', 'national', 'security', 'experts', ',', 'military', 'intelligence', 'experts', ',', 'issued', 'concerning', 'statement', 'senator', 'sanders', ""'s"", 'views', 'foreign', 'policy', 'national', 'security', ',', 'pointing', 'comments', 'made', 'issues', ',', 'inviting', 'iranian', 'troops', 'syria', 'try', 'resolve', 'conflict', 'putting', 'right', 'doorstep', 'israel', '.']"
76,20160204_democrats_new_hampshire_0024,"[""'re"", 'worried', 'future', 'kids', ',', 'yet', 'almost', 'new', 'income', 'wealth', 'going', 'top', '1', 'percent', '.']"
77,20160204_democrats_new_hampshire_1062,"['workers', 'today', 'working', 'longer', 'hours', 'lower', 'wages', '.']"
78,20160204_democrats_new_hampshire_1032,"['waited', 'actually', 'negotiated', 'want', 'give', 'benefit', 'doubt', 'administration', '.']"
79,20160204_democrats_new_hampshire_1032,"['waited', 'actually', 'negotiated', 'want', 'give', 'benefit', 'doubt', 'administration', '.']"
80,20160211_democrats_milwuakee_0052,"['americans', ""n't"", 'raise', '15', 'years', '.']"
81,20160211_democrats_milwuakee_0097,"['pay', ',', 'far', ',', 'highest', 'prices', 'world', 'prescription', 'drugs', '.']"
82,20160211_democrats_milwuakee_0332,"['understand', ',', 'africanamerican', 'community', 'lost', 'half', 'wealth', 'result', 'wall', 'street', 'collapse', '.']"
83,20160211_democrats_milwuakee_0909,"['called', 'disappointment', '.']"
84,20160213_GOP_greenville_0210,"[""'m"", 'one', 'stage', 'said', '``', 'go', 'iraq', '.']"
85,20160213_GOP_greenville_0210,"[""'m"", 'one', 'stage', 'said', '``', 'go', 'iraq', '.']"
86,20160213_GOP_greenville_0212,"['nobody', 'else', 'stage', 'said', '.']"
87,20160213_GOP_greenville_0216,"['said', ',', 'said', 'loud', 'clear', ',', '``', ""'ll"", 'destabilize', 'middle', 'east', '.', ""''""]"
88,20160213_GOP_greenville_1002,"[""n't"", 'say', 'going', 'moon', 'somebody', '...']"
89,20160213_GOP_greenville_1528,"['joseph', 'stalin', 'said', 'want', 'bring', 'america', ',', 'undermine', 'three', 'things', 'spiritual', 'life', ',', 'patriotism', 'morality', '.']"
90,20160225_GOP_texas_1801,"['said', 'favor', 'libya', '?']"
91,20160225_GOP_texas_1172,"['amazing', 'exchange', 'missing', 'decades', 'donald', 'advocating', 'socialized', 'medicine', '.']"
92,20160225_GOP_texas_1173,"[""'s"", 'said', 'government', 'pay', 'everyone', ""'s"", 'health', 'care', ',', 'fact', ',', 'couple', 'debates', 'ago', ',', 'said', ',', ""n't"", 'support', 'socialized', 'health', 'care', ',', ""'re"", 'heartless', '.']"
93,20160225_GOP_texas_0120,"['far', 'coming', 'back', ',', 'number', 'one', ',', 'would', ""n't"", 'even', 'talking', ',', 'would', ""n't"", 'asked', 'first', 'question', ""n't"", 'opening', 'talked', 'illegals', 'immigration', '.']"
94,20160225_GOP_texas_0121,"['would', ""n't"", 'even', 'big', 'subject', '.']"
95,20160225_GOP_texas_0962,"['passed', 'obamacare', 'put', 'bailout', 'fund', 'obamacare', '.']"
96,20160225_GOP_texas_0963,"['lobbyists', 'keep', 'talking', ',', 'put', 'bailout', 'fund', 'law', 'would', 'allow', 'public', 'money', 'used', ',', 'taxpayer', 'money', ',', 'bail', 'companies', 'lost', 'money', '.']"
97,20160225_GOP_texas_0964,"[',', 'led', 'effort', 'wiped', 'bailout', 'fund', '.']"
98,20160303_GOP_michigan_0237,"['would', 'like', 'clear', 'though', ',', 'since', ""'re"", 'talking', 'polls', ',', 'beat', 'hillary', 'clinton', '11', 'points', ',', 'reason', 'happens', '...']"
99,20160303_GOP_michigan_0418,"['guy', 'number', 'one', 'number', 'one', 'absentee', 'record', 'united', 'states', '...']"
100,20160303_GOP_michigan_1158,"['ninetyeight', 'percent', 'approval', 'rating', ',', '``', ""''"", 'better', 'business', 'bureau', '...']"
101,20160303_GOP_michigan_0574,"['donald', 'trump', 'written', 'checks', 'hillary', 'clinton', ',', 'twice', ',', 'three', 'times', '.']"
102,20160303_GOP_michigan_0575,"['ten', 'times', '.']"
103,20160303_GOP_michigan_0940,"['well', ',', 'look', ',', 'know', ',', 'family', 'flies', 'world', 'trade', 'center', ',', 'man', 'flies', 'world', 'trade', 'center', ',', 'family', 'gets', 'sent', 'back', 'going', 'think', 'know', 'went', ',', 'way', ',', ""n't"", 'iraq', 'went', 'back', 'certain', 'territory', ',', 'knew', 'happening', '.']"
104,20160303_GOP_michigan_0940,"['well', ',', 'look', ',', 'know', ',', 'family', 'flies', 'world', 'trade', 'center', ',', 'man', 'flies', 'world', 'trade', 'center', ',', 'family', 'gets', 'sent', 'back', 'going', 'think', 'know', 'went', ',', 'way', ',', ""n't"", 'iraq', 'went', 'back', 'certain', 'territory', ',', 'knew', 'happening', '.']"
105,20160309_democrats_miami_0110,"['said', 'come', ',', 'predecessors', 'thing', 'many', 'people', 'government', '.']"
106,20160309_democrats_miami_0241,"['well', ',', 'talk', 'efforts', 'assist', 'immigrants', ',', 'secretary', 'clinton', 'prevailed', 'upon', 'governor', 'new', 'york', ',', 'elliot', 'spitzer', ',', 'wanted', 'right', 'thing', 'provide', 'driver', ""'s"", 'license', 'undocumented', ',', 'said', ""n't"", ',', 'new', 'york', 'state', 'still', '.']"
107,20160309_democrats_miami_0245,"['said', 'welcome', 'children', 'country', ',', 'secretary', 'clinton', 'said', 'send', 'back', '.']"
108,20160309_democrats_miami_0778,"['look', 'latino', 'kids', '17', '20', 'graduated', 'high', 'school', ',', '36', 'percent', 'unemployed', 'underemployed', '...']"
109,20160309_democrats_miami_0784,"['africanamerican', 'kids', 'unemployed', 'underemployed', 'tune', '51', 'percent', '.']"
110,20160309_democrats_miami_0784,"['africanamerican', 'kids', 'unemployed', 'underemployed', 'tune', '51', 'percent', '.']"
111,20160309_democrats_miami_0939,"['clean', 'power', 'plan', 'something', 'senator', 'sanders', 'said', 'would', 'delay', 'implementing', ',', 'makes', 'absolutely', 'sense', '.']"
112,20160311_GOP_miami_0844,"['israel', ',', 'donald', 'said', 'wants', 'neutral', 'israel', 'palestinians', '.']"
113,20160311_GOP_miami_0149,"['opposed', 'tpp', 'always', 'opposed', 'tpp', ',', 'asked', '.']"
114,20160329_kasich_milwuakee_0029,"['first', ',', 'virtually', 'every', 'national', 'poll', ',', 'one', 'beats', 'hillary', 'clinton', 'consistently', '.']"
115,20160329_kasich_milwuakee_0259,"[',', 'way', ',', 'running', '$', '2', 'billion', 'surplus', '.']"
116,20160331_Cruz_Miluakee_0100,"[',', 'followed', 'bizarre', 'pattern', 'followed', 'year', 'year', 'year', 'refuses', 'say', 'words', 'radical', 'islamic', 'terrorism', '.']"
117,20160331_Cruz_Miluakee_0173,"['lets', 'clear', ',', 'many', 'hours', 'free', 'media', 'cnn', ',', 'fox', ',', 'every', 'station', 'let', 'call', ',', 'year', '$', '2', 'billion', 'dollars', 'free', 'media']"
118,20160401_Trump_Milwaukee_0653,"['made', 'politicians', 'way', ',', 'im', 'selffunding', '.']"
119,20160401_Trump_Milwaukee_0334,"['think', 'know', ',', 'hear', 'obama', 'get', 'say', 'biggest', 'threat', 'world', 'today', 'global', 'warming', ',', 'say', ',', 'guy', 'kidding', '?']"
120,20160401_Trump_Milwaukee_0812,"['sounded', ',', 'pressing', 'senator', 'cruz', ',', 'sounded', 'like', 'saying', 'saying', 'hed', 'hard', 'time', 'supporting', 'somebody', 'went', 'wife', '.']"
121,20160401_Trump_Milwaukee_0052,"['found', 'security', 'camera', ',', 'tape', ',', 'sudden', 'story', 'changed', '.']"
122,20160404_Hillary_meet_the_press_0153,"[""'m"", 'candidate', 'democratic', 'primary', ',', 'actually', 'either', 'side', ',', 'wall', 'street', 'financiers', 'hedge', 'fund', 'managers', 'actually', 'running', 'ads', '.']"
123,20160404_Hillary_meet_the_press_0174,"['think', 'anybody', ""'s"", 'actually', 'looked', 'concluded', 'put', 'emails', '.']"
124,20160415_NY_democratic_debate_0541,"[',', 'went', 'congress', ',', 'largely', 'reliable', 'supporter', 'nra', '.']"
125,20160415_NY_democratic_debate_0300,"['unfortunately', 'unfortunately', ',', 'remain', 'one', 'poorer', 'members', 'united', 'states', 'senate', '.']"
126,20160415_NY_democratic_debate_0557,"['well', ',', 'believe', 'law', 'senator', 'sanders', 'voted', 'voted', ',', 'giving', 'special', 'protection', 'gun', 'manufacturers', 'dealers', ',', 'absolute', 'abdication', 'responsibility', 'part', 'voted', '.']"
127,20160415_NY_democratic_debate_1183,"['still', 'want', 'privatize', '.']"
128,20160415_NY_democratic_debate_0433,"['campaign', 'began', ',', 'said', 'got', 'end', 'starvation', 'minimum', 'wage', '$', '7.25', ',', 'raise', '$', '15', '.']"
129,20160415_NY_democratic_debate_0434,"['secretary', 'clinton', 'said', 'let', ""'s"", 'raise', '$', '12', '.']"
130,20160415_NY_democratic_debate_1295,"[""'ve"", 'one', 'question', 'woman', ""'s"", 'right', 'make', 'decisions', 'reproductive', 'health', 'care', ',', 'one', 'question', '.']"
131,20160417_meet_the_press_0059,"[',', 'know', ',', 'think', ""'s"", 'important', 'think', 'clinton', 'campaign', 'good', 'explaining', 'truth', 'overwhelming', 'amount', 'money', ""'re"", 'raising', ',', 'lot', ',', 'overwhelming', 'amount', 'money', ""'re"", 'raising', ',', 'going', 'hillary', 'run', 'president', ',', ""'s"", 'going', 'downticket', '.']"
132,20160424_meet_the_press_0384,"['well', ',', 'poor', 'people', ""n't"", 'vote', '.']"
133,20160508_Trump_meet_the_press_0366,"['proposal', ',', ""'s"", 'biggest', 'tax', 'cut', 'far', ',', 'candidate', 'far', '.']"
134,20160508_Trump_meet_the_press_0375,"['remember', ',', ""'re"", 'highest', 'taxed', 'nation', 'world', '.']"
135,20160508_Trump_meet_the_press_0375,"['remember', ',', ""'re"", 'highest', 'taxed', 'nation', 'world', '.']"
136,20160508_Trump_meet_the_press_0395,"['businesses', 'pay', 'taxes', 'businesses', 'world', '.']"
137,20160508_Trump_meet_the_press_0394,"[""'re"", 'highest', 'taxed', 'nation', 'world', '.']"
138,20160508_Trump_meet_the_press_0394,"[""'re"", 'highest', 'taxed', 'nation', 'world', '.']"
139,20160529_Sanders_MeetThePress_0184,"['voted', 'war', 'iraq', '.']"
140,20160529_Sanders_MeetThePress_0179,"['want', 'break', 'wall', 'street', 'banks', '.']"
141,20160529_Sanders_MeetThePress_0181,"['want', 'raise', 'minimum', 'wage', '15', 'bucks', 'hour', '.']"
142,20160529_Sanders_MeetThePress_0182,"['wants', '$', '12', 'hour', '.']"
143,20160529_Sanders_MeetThePress_0185,"['believe', 'ban', 'fracking', '.']"
144,20160622_Trump_NY_Soho_0022,"['hillary', 'clinton', ',', 'people', 'know', ',', 'world', 'class', 'liar', 'look', 'pathetic', 'email', 'server', 'statements', ',', 'phony', 'landing', 'bosnia', 'said', 'attack', 'attack', 'turned', 'young', 'girls', 'handing', 'flowers', ',', 'total', 'selfserving', 'lie', '.']"
145,20160622_Trump_NY_Soho_0022,"['hillary', 'clinton', ',', 'people', 'know', ',', 'world', 'class', 'liar', 'look', 'pathetic', 'email', 'server', 'statements', ',', 'phony', 'landing', 'bosnia', 'said', 'attack', 'attack', 'turned', 'young', 'girls', 'handing', 'flowers', ',', 'total', 'selfserving', 'lie', '.']"
146,20160622_Trump_NY_Soho_0061,"['hillary', 'clinton', 'supported', 'bill', 'clinton', ""'s"", 'disastrous', 'nafta', ',', 'like', 'supported', 'china', ""'s"", 'entrance', 'world', 'trade', 'organization', '.']"
147,20160622_Trump_NY_Soho_0061,"['hillary', 'clinton', 'supported', 'bill', 'clinton', ""'s"", 'disastrous', 'nafta', ',', 'like', 'supported', 'china', ""'s"", 'entrance', 'world', 'trade', 'organization', '.']"
148,20160622_Trump_NY_Soho_0062,"[""'ve"", 'lost', 'nearly', 'onethird', 'manufacturing', 'jobs', 'since', 'two', 'hillarybacked', 'agreements', 'signed', '.']"
149,20160622_Trump_NY_Soho_0062,"[""'ve"", 'lost', 'nearly', 'onethird', 'manufacturing', 'jobs', 'since', 'two', 'hillarybacked', 'agreements', 'signed', '.']"
150,20160622_Trump_NY_Soho_0064,"['let', 'china', 'steal', 'hundreds', 'billions', 'dollars', 'intellectual', 'property', 'crime', 'continuing', 'day', '.']"
151,20160622_Trump_NY_Soho_0065,"['hillary', 'clinton', 'gave', 'china', 'millions', 'best', 'jobs', ',', 'effectively', 'let', 'china', 'completely', 'rebuild', '.']"
152,20160622_Trump_NY_Soho_0073,"[',', 'pointed', 'would', 'disastrous', 'deal', ',', 'pretending', '.']"
153,20160622_Trump_NY_Soho_0074,"['even', 'deleted', 'record', 'total', 'support', 'book', 'deletion', 'something', 'good', '(', 'least', '30,000', 'emails', 'missing', '.', ')']"
154,20160622_Trump_NY_Soho_0074,"['even', 'deleted', 'record', 'total', 'support', 'book', 'deletion', 'something', 'good', '(', 'least', '30,000', 'emails', 'missing', '.', ')']"
155,20160622_Trump_NY_Soho_0084,"['left', 'helpless', 'die', 'hillary', 'clinton', 'soundly', 'slept', 'bed', ""'s"", 'right', ',', 'phone', 'rang', '3', ""o'clock"", 'morning', ',', 'sleeping', '.']"
156,20160622_Trump_NY_Soho_0085,"['ambassador', 'stevens', 'staff', 'libya', 'made', 'hundreds', 'requests', 'security', '.']"
157,20160622_Trump_NY_Soho_0086,"['hillary', 'clinton', ""'s"", 'state', 'department', 'refused', '.']"
158,20160622_Trump_NY_Soho_0108,"['though', 'government', 'service', ',', 'among', 'earliest', 'criticize', 'rush', 'war', ',', 'yes', ',', 'even', 'war', 'ever', 'started', '.']"
159,20160622_Trump_NY_Soho_0108,"['though', 'government', 'service', ',', 'among', 'earliest', 'criticize', 'rush', 'war', ',', 'yes', ',', 'even', 'war', 'ever', 'started', '.']"
160,20160622_Trump_NY_Soho_0113,"['fact', ',', 'hillary', 'clinton', 'supports', 'radical', '550', '%', 'increase', 'syrian', 'refugees', 'coming', 'united', 'states', ',', ""'s"", 'increase', 'president', 'obama', ""'s"", 'already', 'high', 'number', '.']"
161,20160622_Trump_NY_Soho_0114,"['plan', ',', 'would', 'admit', 'hundreds', 'thousands', 'refugees', 'dangerous', 'countries', 'earth', 'way', 'screen', 'believe', '.']"
162,20160622_Trump_NY_Soho_0115,"['already', ',', 'hundreds', 'recent', 'immigrants', 'children', 'convicted', 'terrorist', 'activity', 'inside', 'u.s', '.']"
163,20160622_Trump_NY_Soho_0130,"['hillary', 'clinton', 'took', '$', '25', 'million', 'saudi', 'arabia', ',', 'gay', 'also', 'punishable', 'death', '.']"
164,20160622_Trump_NY_Soho_0131,"['hillary', 'took', 'millions', 'kuwait', ',', 'qatar', ',', 'oman', 'many', 'countries', 'horribly', 'abuse', 'women', 'lgbt', 'citizens', '.']"
165,20160622_Trump_NY_Soho_0141,"['pledged', 'grant', 'mass', 'amnesty', 'first', '100', 'days', ',', 'end', 'virtually', 'immigration', 'enforcement', ',', 'thus', 'create', 'totally', 'open', 'borders', 'united', 'states', '.']"
166,20160622_Trump_NY_Soho_0151,"['amount', 'money', 'hillary', 'clinton', 'would', 'like', 'spend', 'refugees', ',', 'could', 'rebuild', 'every', 'inner', 'city', 'america', '.']"
167,20160622_Trump_NY_Soho_0157,"['pass', 'massive', 'tax', 'reform', 'create', 'millions', 'new', 'jobs', '.']"
168,20160622_Trump_NY_Soho_0157,"['pass', 'massive', 'tax', 'reform', 'create', 'millions', 'new', 'jobs', '.']"
169,20160622_Trump_NY_Soho_0179,"['military', 'best', 'technology', 'finest', 'equipment', 'bring', 'back', 'way', '.']"
170,20160622_Trump_NY_Soho_0179,"['military', 'best', 'technology', 'finest', 'equipment', 'bring', 'back', 'way', '.']"
171,20160622_Trump_NY_Soho_0183,"['real', 'wages', 'workers', 'raised', '18', 'years', 'wages', 'start', 'going', ',', 'along', 'new', 'jobs', '.']"
