,tweet_ids,tweet_encodings
42,20151110_GOP_milwuakee_0568,"[ 0.00746889  0.00385701  0.01170679 ...  0.00823911 -0.0220507
 -0.01385639]"
43,20151110_GOP_milwuakee_0313,"[ 0.00746889 -0.00652484  0.02877261 ...  0.03831446  0.02447636
 -0.00069694]"
44,20160112_Obama_state_of_the_union_0013,"[ 0.00746889 -0.00268631  0.03251514 ...  0.04524366 -0.01807862
 -0.0115228 ]"
45,20160112_Obama_state_of_the_union_0076,[0.00746889 0.03356176 0.0341643  ... 0.04642997 0.02779333 0.0062324 ]
46,20160112_Obama_state_of_the_union_0145,"[ 0.00746889 -0.0511833   0.07019035 ...  0.04185888  0.04970727
 -0.00480989]"
47,20160112_Obama_state_of_the_union_0071,"[ 0.00746889 -0.02781819  0.02093183 ...  0.04560045  0.02798575
  0.00017342]"
48,20160112_Obama_state_of_the_union_0072,"[ 0.00746889 -0.02828591  0.02027656 ...  0.02852326  0.07296072
 -0.01385639]"
49,20160112_Obama_state_of_the_union_0073,"[ 0.00746889 -0.06359842  0.09511845 ...  0.02971602  0.02833513
 -0.00386247]"
50,20160115_GOP_charlston_0192,"[ 0.00746889  0.02403138  0.18125904 ...  0.05932912 -0.0030419
 -0.00659568]"
51,20160115_GOP_charlston_0192,"[ 0.00746889  0.02403138  0.18125904 ...  0.05932912 -0.0030419
 -0.00659568]"
52,20160115_GOP_charlston_0195,"[ 0.00746889 -0.01302618  0.03943726 ...  0.02928265  0.00298307
  0.00267012]"
53,20160115_GOP_charlston_0196,"[ 0.00746889 -0.08601226  0.04996861 ...  0.02985465  0.01545424
 -0.01385639]"
54,20160115_GOP_charlston_0197,"[ 0.00746889 -0.08596423  0.05581713 ... -0.00265933 -0.01773173
 -0.01385639]"
55,20160115_GOP_charlston_0195,"[ 0.00746889 -0.01302618  0.03943726 ...  0.02928265  0.00298307
  0.00267012]"
56,20160115_GOP_charlston_0196,"[ 0.00746889 -0.08601226  0.04996861 ...  0.02985465  0.01545424
 -0.01385639]"
57,20160115_GOP_charlston_0197,"[ 0.00746889 -0.08596423  0.05581713 ... -0.00265933 -0.01773173
 -0.01385639]"
58,20160115_GOP_charlston_0473,"[ 0.00746889 -0.00236348  0.11746034 ...  0.03859341  0.03114773
  0.02207505]"
59,20160115_GOP_charlston_0138,"[ 0.00746889 -0.01180075  0.08345816 ...  0.00782462  0.01012206
 -0.01385639]"
60,20160115_GOP_charlston_0139,"[ 0.00746889 -0.03935728  0.06292056 ...  0.02252269  0.05374729
 -0.01385639]"
61,20160115_GOP_charlston_0740,"[ 0.00746889  0.06212829  0.05690734 ...  0.057342    0.04057049
 -0.00274043]"
62,20160115_GOP_charlston_0047,"[ 0.00746889 -0.02770627  0.01155209 ...  0.03234188 -0.03418759
  0.01161793]"
63,20160115_GOP_charlston_0048,"[ 0.00746889 -0.08580338 -0.07785957 ... -0.00311063  0.00340071
 -0.00567924]"
64,20160115_GOP_charlston_0049,"[ 7.4688899e-03  2.9582012e-01  1.7843012e-02 ...  3.1186571e-02
 -2.0870275e-04 -8.0238031e-03]"
65,20160115_GOP_charlston_1591,"[ 0.00746889  0.09340671  0.02912542 ...  0.06353923  0.08822841
 -0.01385639]"
66,20160115_GOP_charlston_1616,[0.00746889 0.03337352 0.05583958 ... 0.06128964 0.03060817 0.03041888]
67,20160115_GOP_charlston_1579,"[ 0.00746889  0.00969331  0.13424274 ...  0.04455033 -0.01992559
  0.00032104]"
68,20160115_GOP_charlston_1579,"[ 0.00746889  0.00969331  0.13424274 ...  0.04455033 -0.01992559
  0.00032104]"
69,20160117_democrats_charlston_0413,"[ 0.00746889 -0.04778164  0.03419057 ...  0.01284308  0.05461786
  0.00721125]"
70,20160117_democrats_charlston_0414,"[ 7.4688899e-03 -4.5105077e-02  3.0326679e-02 ...  7.8656863e-05
 -3.7227140e-03 -5.0834281e-04]"
71,20160117_democrats_charlston_0129,"[ 0.00746889  0.04412517  0.20028438 ...  0.04922928  0.01736834
 -0.00670708]"
72,20160117_democrats_charlston_0122,"[ 0.00746889  0.0117536   0.06420632 ...  0.04848237  0.00759529
 -0.01385639]"
73,20160117_democrats_charlston_0994,"[ 0.00746889 -0.03537736  0.07141248 ...  0.00384423  0.00824437
  0.0146009 ]"
74,20160117_democrats_charlston_0995,"[ 0.00746889 -0.08596423  0.03986634 ...  0.03368943  0.0688605
 -0.00850204]"
75,20160204_democrats_new_hampshire_0623,[0.00746889 0.01617251 0.07403185 ... 0.07322384 0.02396425 0.02133169]
76,20160204_democrats_new_hampshire_0024,"[ 0.00746889 -0.06393001  0.08355236 ...  0.0116349   0.01246641
  0.02752918]"
77,20160204_democrats_new_hampshire_1062,"[ 0.00746889 -0.07694073  0.01002793 ... -0.01010171 -0.03946805
 -0.00071759]"
78,20160204_democrats_new_hampshire_1032,"[ 0.00746889 -0.0169067   0.07026098 ...  0.04870266 -0.0077698
  0.0102198 ]"
79,20160204_democrats_new_hampshire_1032,"[ 0.00746889 -0.0169067   0.07026098 ...  0.04870266 -0.0077698
  0.0102198 ]"
80,20160211_democrats_milwuakee_0052,"[ 0.00746889 -0.02739732 -0.041566   ...  0.04115987  0.016731
  0.00486281]"
81,20160211_democrats_milwuakee_0097,"[ 0.00746889 -0.04778164  0.1011781  ...  0.03046408  0.0596906
  0.01811883]"
82,20160211_democrats_milwuakee_0332,"[ 0.00746889 -0.03007435  0.07869739 ...  0.05441134  0.11044758
  0.02831034]"
83,20160211_democrats_milwuakee_0909,"[ 0.00746889  0.03524589 -0.00282231 ...  0.05372072  0.01438634
 -0.01385639]"
84,20160213_GOP_greenville_0210,"[ 0.00746889 -0.03450072 -0.00450169 ...  0.05115821  0.00766622
  0.0170076 ]"
85,20160213_GOP_greenville_0210,"[ 0.00746889 -0.03450072 -0.00450169 ...  0.05115821  0.00766622
  0.0170076 ]"
86,20160213_GOP_greenville_0212,"[ 0.00746889  0.01822558 -0.04471526 ...  0.05161892 -0.03880099
  0.02405818]"
87,20160213_GOP_greenville_0216,"[ 0.00746889 -0.02645499  0.02775214 ...  0.03060816  0.03177457
 -0.01124629]"
88,20160213_GOP_greenville_1002,"[ 0.00746889  0.02942983  0.09510948 ...  0.02767551 -0.0025396
  0.03330871]"
89,20160213_GOP_greenville_1528,[0.00746889 0.05861947 0.08401483 ... 0.06644391 0.05477377 0.02842998]
90,20160225_GOP_texas_1801,"[ 0.00746889  0.0117536   0.11671608 ...  0.06143771 -0.03562061
  0.00348799]"
91,20160225_GOP_texas_1172,"[ 0.00746889 -0.00378891  0.15177633 ...  0.03472768 -0.00689447
 -0.01074251]"
92,20160225_GOP_texas_1173,"[ 0.00746889  0.02117005  0.06518598 ...  0.07875591  0.00053687
 -0.00874269]"
93,20160225_GOP_texas_0120,"[ 0.00746889 -0.00210559  0.01585639 ...  0.0350097   0.04725735
  0.00349188]"
94,20160225_GOP_texas_0121,"[ 0.00746889  0.01470829 -0.0475653  ...  0.01629109  0.0034643
  0.00094319]"
95,20160225_GOP_texas_0962,"[ 0.00746889 -0.05480524 -0.02258108 ... -0.0408515  -0.03413612
 -0.01053329]"
96,20160225_GOP_texas_0963,"[ 0.00746889  0.03328384  0.01250027 ...  0.04006414  0.00774553
 -0.01385639]"
97,20160225_GOP_texas_0964,"[ 0.00746889 -0.0446675   0.03339045 ... -0.02844372 -0.02408374
 -0.01376179]"
98,20160303_GOP_michigan_0237,"[ 0.00746889 -0.02411516  0.02556279 ...  0.04670889  0.03180658
 -0.00118708]"
99,20160303_GOP_michigan_0418,[0.00746889 0.1510883  0.02057335 ... 0.05785501 0.02282475 0.01828116]
100,20160303_GOP_michigan_1158,"[ 0.00746889 -0.03825717  0.04873927 ...  0.02536442  0.02169607
  0.00858737]"
101,20160303_GOP_michigan_0574,"[ 0.00746889  0.01794237  0.0936437  ...  0.0304795   0.00166847
 -0.01085779]"
102,20160303_GOP_michigan_0575,"[ 0.00746889 -0.12037735 -0.01826753 ...  0.01472823  0.01168947
 -0.01385639]"
103,20160303_GOP_michigan_0940,"[ 0.00746889  0.15656297  0.11467753 ...  0.0379622   0.02064402
 -0.00085381]"
104,20160303_GOP_michigan_0940,"[ 0.00746889  0.15656297  0.11467753 ...  0.0379622   0.02064402
 -0.00085381]"
105,20160309_democrats_miami_0110,"[ 0.00746889  0.02779566  0.01315907 ...  0.04514321 -0.03327182
 -0.00039905]"
106,20160309_democrats_miami_0241,"[ 0.00746889 -0.02800277  0.12313914 ...  0.05514922  0.00296577
  0.01562368]"
107,20160309_democrats_miami_0245,"[ 0.00746889 -0.03346812  0.10497064 ...  0.03738431  0.04608186
 -0.01030443]"
108,20160309_democrats_miami_0778,"[ 0.00746889 -0.03935728  0.02841754 ...  0.06292192  0.02337849
  0.0135765 ]"
109,20160309_democrats_miami_0784,"[ 0.00746889 -0.09877399  0.01106172 ...  0.03213649  0.06599814
  0.00174622]"
110,20160309_democrats_miami_0784,"[ 0.00746889 -0.09877399  0.01106172 ...  0.03213649  0.06599814
  0.00174622]"
111,20160309_democrats_miami_0939,"[ 0.00746889  0.00886789  0.06316373 ...  0.07558637  0.02195252
 -0.01385639]"
112,20160311_GOP_miami_0844,"[ 0.00746889  0.02262226  0.05615017 ...  0.08021398 -0.00799046
  0.01427723]"
113,20160311_GOP_miami_0149,"[ 0.00746889 -0.02781819 -0.01208955 ...  0.02998521  0.02339541
 -0.00330046]"
114,20160329_kasich_milwuakee_0029,[0.00746889 0.01953853 0.02172727 ... 0.0440228  0.01482184 0.00793267]
115,20160329_kasich_milwuakee_0259,"[ 0.00746889 -0.07380275  0.04325914 ...  0.00207233  0.00036201
  0.03271298]"
116,20160331_Cruz_Miluakee_0100,"[ 0.00746889  0.00942943  0.00788817 ...  0.09837534  0.06091113
 -0.01375408]"
117,20160331_Cruz_Miluakee_0173,"[ 0.00746889 -0.01515478  0.13069426 ...  0.03117646  0.03513971
  0.02887938]"
118,20160401_Trump_Milwaukee_0653,"[ 0.00746889  0.0083644   0.03779274 ... -0.01201676  0.00972806
  0.02326378]"
119,20160401_Trump_Milwaukee_0334,[0.00746889 0.13038053 0.06915244 ... 0.04532187 0.03422783 0.00361841]
120,20160401_Trump_Milwaukee_0812,"[ 0.00746889  0.07088455  0.02762519 ...  0.06964531  0.02720337
 -0.00563464]"
121,20160401_Trump_Milwaukee_0052,"[ 0.00746889 -0.02283326  0.01589973 ...  0.01509484  0.00566924
 -0.00476467]"
122,20160404_Hillary_meet_the_press_0153,"[ 0.00746889 -0.03195688  0.04405919 ...  0.05403903  0.08281756
  0.02615918]"
123,20160404_Hillary_meet_the_press_0174,"[ 0.00746889  0.03333768  0.02055482 ...  0.04087172 -0.00333135
  0.0001515 ]"
124,20160415_NY_democratic_debate_0541,"[ 0.00746889  0.01026187  0.11087828 ...  0.08660095 -0.03249428
  0.02325847]"
125,20160415_NY_democratic_debate_0300,"[ 0.00746889 -0.03300681  0.00212496 ...  0.01727901  0.00762557
 -0.00093786]"
126,20160415_NY_democratic_debate_0557,"[ 0.00746889  0.05576037  0.07336797 ...  0.03616572  0.02055582
 -0.00461564]"
127,20160415_NY_democratic_debate_1183,"[ 0.00746889 -0.06393001 -0.04657083 ... -0.0226106   0.05052721
 -0.01385639]"
128,20160415_NY_democratic_debate_0433,"[ 0.00746889 -0.03500771  0.03890732 ...  0.02312423  0.02075562
  0.02067012]"
129,20160415_NY_democratic_debate_0434,"[ 0.00746889 -0.08391567  0.02944918 ...  0.02845722 -0.00067449
  0.00680869]"
130,20160415_NY_democratic_debate_1295,"[ 0.00746889 -0.04778164  0.06951177 ...  0.06674105  0.00901584
  0.00171963]"
131,20160417_meet_the_press_0059,"[ 0.00746889  0.02352077  0.08083    ...  0.05353876  0.02055059
 -0.00164587]"
132,20160424_meet_the_press_0384,"[ 0.00746889 -0.01737109 -0.0506741  ...  0.00200379 -0.02493088
 -0.01385639]"
133,20160508_Trump_meet_the_press_0366,"[ 0.00746889 -0.01660363  0.05050957 ...  0.01520888  0.04845033
 -0.00135758]"
134,20160508_Trump_meet_the_press_0375,"[ 0.00746889 -0.04387658  0.10313845 ...  0.0114219   0.03254225
  0.00498479]"
135,20160508_Trump_meet_the_press_0375,"[ 0.00746889 -0.04387658  0.10313845 ...  0.0114219   0.03254225
  0.00498479]"
136,20160508_Trump_meet_the_press_0395,"[ 0.00746889 -0.02141866  0.00354757 ...  0.02138296  0.03254225
 -0.01385639]"
137,20160508_Trump_meet_the_press_0394,"[ 0.00746889 -0.04778164  0.10763626 ...  0.0114219   0.03254225
  0.00587493]"
138,20160508_Trump_meet_the_press_0394,"[ 0.00746889 -0.04778164  0.10763626 ...  0.0114219   0.03254225
  0.00587493]"
139,20160529_Sanders_MeetThePress_0184,"[ 0.00746889 -0.11255027  0.02033884 ... -0.02934622  0.01832011
 -0.01385639]"
140,20160529_Sanders_MeetThePress_0179,"[ 0.00746889 -0.02781819  0.03153579 ...  0.02621546  0.09415953
  0.03400571]"
141,20160529_Sanders_MeetThePress_0181,"[ 0.00746889 -0.02781819  0.05743929 ...  0.03455636  0.04879348
  0.00590713]"
142,20160529_Sanders_MeetThePress_0182,"[ 0.00746889 -0.08424932  0.05819375 ...  0.06978663  0.02357619
  0.00590713]"
143,20160529_Sanders_MeetThePress_0185,"[ 0.00746889 -0.02430988 -0.03605118 ...  0.04540502  0.04535628
 -0.00159788]"
144,20160622_Trump_NY_Soho_0022,"[ 0.00746889 -0.05926199  0.12875399 ...  0.04646667  0.03602145
 -0.01385639]"
145,20160622_Trump_NY_Soho_0022,"[ 0.00746889 -0.05926199  0.12875399 ...  0.04646667  0.03602145
 -0.01385639]"
146,20160622_Trump_NY_Soho_0061,[0.00746889 0.0399736  0.15882723 ... 0.03530017 0.04510621 0.02356992]
147,20160622_Trump_NY_Soho_0061,[0.00746889 0.0399736  0.15882723 ... 0.03530017 0.04510621 0.02356992]
148,20160622_Trump_NY_Soho_0062,"[ 0.00746889 -0.04778164  0.07563651 ...  0.02027284 -0.0159385
  0.01664184]"
149,20160622_Trump_NY_Soho_0062,"[ 0.00746889 -0.04778164  0.07563651 ...  0.02027284 -0.0159385
  0.01664184]"
150,20160622_Trump_NY_Soho_0064,"[ 0.00746889 -0.02541808  0.06915621 ...  0.03719214  0.0641801
  0.01589953]"
151,20160622_Trump_NY_Soho_0065,"[ 0.00746889 -0.06970975  0.14903554 ...  0.05157397  0.10610304
  0.02459243]"
152,20160622_Trump_NY_Soho_0073,"[ 0.00746889 -0.03907517  0.01353656 ...  0.02861587  0.00485923
 -0.00533027]"
153,20160622_Trump_NY_Soho_0074,"[ 0.00746889 -0.07768261  0.14344734 ...  0.07165987  0.04271137
 -0.00279997]"
154,20160622_Trump_NY_Soho_0074,"[ 0.00746889 -0.07768261  0.14344734 ...  0.07165987  0.04271137
 -0.00279997]"
155,20160622_Trump_NY_Soho_0084,"[ 0.00746889  0.02852839  0.07874365 ...  0.04616026  0.05041774
 -0.01385639]"
156,20160622_Trump_NY_Soho_0085,"[ 0.00746889  0.03844133  0.08792897 ...  0.02131221 -0.01531781
  0.0303333 ]"
157,20160622_Trump_NY_Soho_0086,"[ 0.00746889 -0.0633892   0.0298083  ... -0.00923892 -0.02613107
 -0.01385639]"
158,20160622_Trump_NY_Soho_0108,[0.00746889 0.0464749  0.05857818 ... 0.02640109 0.05514504 0.01210768]
159,20160622_Trump_NY_Soho_0108,[0.00746889 0.0464749  0.05857818 ... 0.02640109 0.05514504 0.01210768]
160,20160622_Trump_NY_Soho_0113,"[ 0.00746889 -0.02051929  0.13223158 ...  0.06358153  0.05908811
  0.02567569]"
161,20160622_Trump_NY_Soho_0114,"[ 0.01527982 -0.01020093  0.08158187 ...  0.07276613 -0.00824275
  0.00837061]"
162,20160622_Trump_NY_Soho_0115,"[ 0.00746889 -0.09012505  0.0826773  ...  0.01481777  0.01688527
 -0.00933793]"
163,20160622_Trump_NY_Soho_0130,[0.00746889 0.02700826 0.07474542 ... 0.03605024 0.03520047 0.00988556]
164,20160622_Trump_NY_Soho_0131,"[ 0.00746889 -0.08758076  0.10460551 ...  0.0765526   0.0304957
 -0.01385639]"
165,20160622_Trump_NY_Soho_0141,"[ 0.00746889 -0.01375959  0.14561778 ...  0.0546465   0.05631223
 -0.00697848]"
166,20160622_Trump_NY_Soho_0151,"[ 0.00746889 -0.03545273  0.05500185 ...  0.0552079   0.04957802
 -0.0028527 ]"
167,20160622_Trump_NY_Soho_0157,"[ 0.00746889 -0.10083203  0.0777241  ... -0.01425338  0.02021578
  0.02503214]"
168,20160622_Trump_NY_Soho_0157,"[ 0.00746889 -0.10083203  0.0777241  ... -0.01425338  0.02021578
  0.02503214]"
169,20160622_Trump_NY_Soho_0179,"[ 0.00746889  0.05022897  0.16135843 ...  0.00816575 -0.02823536
  0.00245482]"
170,20160622_Trump_NY_Soho_0179,"[ 0.00746889  0.05022897  0.16135843 ...  0.00816575 -0.02823536
  0.00245482]"
171,20160622_Trump_NY_Soho_0183,"[ 0.00746889  0.00803912  0.06148145 ...  0.02196391  0.01379547
 -0.00081565]"
172,20160721_Trump_draft_RNC_0020,[0.00746889 0.00167636 0.06309855 ... 0.03884163 0.00541036 0.01714541]
173,20160721_Trump_draft_RNC_0021,"[ 0.00746889 -0.03324746  0.07736802 ...  0.05543816  0.08930885
  0.02765712]"
174,20160721_Trump_draft_RNC_0022,"[ 0.00746889  0.0414036   0.06786659 ... -0.00473307  0.02662587
  0.00989093]"
175,20160721_Trump_draft_RNC_0029,"[ 0.00746889 -0.06312234  0.032113   ...  0.02595187  0.01531039
  0.0163435 ]"
176,20160721_Trump_draft_RNC_0040,[0.00746889 0.03884396 0.04850155 ... 0.08486706 0.00775939 0.01054616]
177,20160721_Trump_draft_RNC_0047,[0.00746889 0.06067167 0.09265673 ... 0.02169271 0.02668818 0.02233935]
178,20160721_Trump_draft_RNC_0043,"[ 0.00746889 -0.02141866  0.10307345 ...  0.04220612  0.09593575
  0.04520299]"
179,20160721_Trump_draft_RNC_0187,"[ 0.00746889  0.04343278  0.12971996 ...  0.04797371  0.01912364
 -0.00251167]"
180,20160721_Trump_draft_RNC_0187,"[ 0.00746889  0.04343278  0.12971996 ...  0.04797371  0.01912364
 -0.00251167]"
181,20160721_Trump_draft_RNC_0160,"[ 0.00746889 -0.03102954  0.04776382 ...  0.02938105  0.0003286
 -0.00479832]"
182,20160721_Trump_draft_RNC_0058,"[ 0.00746889 -0.06798249 -0.02781749 ...  0.00496788 -0.00140684
  0.00143105]"
183,20160721_Trump_draft_RNC_0148,[0.00746889 0.02687475 0.0893804  ... 0.03743923 0.05934523 0.022921  ]
184,20160721_Trump_draft_RNC_0149,"[ 0.00746889 -0.00192836  0.04148615 ...  0.02254042 -0.00515576
 -0.01375381]"
185,20160721_Trump_draft_RNC_0205,"[ 0.00746889 -0.04263416  0.07751883 ...  0.02511207 -0.01572581
  0.0191345 ]"
186,20160721_Trump_draft_RNC_0206,"[ 0.00746889 -0.03540943  0.17457901 ...  0.0276389  -0.02895103
 -0.00962292]"
187,20160721_Trump_draft_RNC_0207,"[ 0.00746889 -0.07204134  0.03710158 ...  0.03542099  0.03254225
 -0.01367582]"
188,20160721_Trump_draft_RNC_0207,"[ 0.00746889 -0.07204134  0.03710158 ...  0.03542099  0.03254225
 -0.01367582]"
189,20160721_Trump_draft_RNC_0230,"[ 0.00746889  0.02687475 -0.00896083 ...  0.04709204  0.03939836
 -0.01385639]"
190,20160721_Trump_draft_RNC_0042,"[ 0.00746889 -0.06990649  0.04418803 ...  0.02447725  0.02874071
 -0.00341001]"
191,20160721_Trump_draft_RNC_0234,[0.00746889 0.04436997 0.06706741 ... 0.04252535 0.03460442 0.01377688]
192,20160721_Trump_draft_RNC_0028,"[ 0.00746889 -0.05015067  0.12565075 ...  0.03504013  0.05161722
 -0.00269761]"
193,20160901_Trump_immigration_Phoenix_0063,"[ 0.00746889 -0.07310898  0.12891766 ...  0.05656927  0.05757123
  0.01020627]"
194,20160901_Trump_immigration_Phoenix_0048,[0.00746889 0.04705203 0.01344348 ... 0.00439241 0.01447352 0.00947527]
195,20160901_Trump_immigration_Phoenix_0043,"[ 0.00746889 -0.05727342  0.08352508 ...  0.07801316  0.06436065
  0.03499049]"
196,20160901_Trump_immigration_Phoenix_0061,"[ 0.00746889  0.05077454  0.06810794 ...  0.04437691  0.04047311
 -0.01385639]"
197,20160901_Trump_immigration_Phoenix_0061,"[ 0.00746889  0.05077454  0.06810794 ...  0.04437691  0.04047311
 -0.01385639]"
198,20160901_Trump_immigration_Phoenix_0061,"[ 0.00746889  0.05077454  0.06810794 ...  0.04437691  0.04047311
 -0.01385639]"
199,20160901_Trump_immigration_Phoenix_0124,"[ 0.00746889 -0.04927959  0.02494757 ...  0.08944647  0.01707288
  0.00124731]"
200,20160901_Trump_immigration_Phoenix_0082,"[ 0.00746889 -0.06522657  0.04353363 ...  0.06091134  0.03404201
  0.01121888]"
201,20160901_Trump_immigration_Phoenix_0052,[0.00746889 0.02137207 0.02991035 ... 0.00157239 0.05532987 0.00875156]
202,20160901_Trump_immigration_Phoenix_0135,"[ 0.00746889 -0.02678757  0.05376592 ...  0.01559765  0.00303576
  0.01381013]"
203,20160907_NBC_commander_in_chief_forum_0073,"[ 0.00746889  0.01688844  0.10410094 ...  0.03265133  0.08027863
 -0.00368586]"
204,20160907_NBC_commander_in_chief_forum_0165,"[ 0.00746889  0.06869432  0.05197795 ...  0.04030432 -0.00236231
 -0.00023511]"
205,20160907_NBC_commander_in_chief_forum_0221,"[ 0.00746889 -0.03195125  0.12890774 ...  0.02078955  0.02582986
 -0.00688506]"
206,20160907_NBC_commander_in_chief_forum_0240,"[ 0.00746889 -0.06945135  0.04260453 ...  0.04365189  0.04259464
  0.0121941 ]"
207,20160907_NBC_commander_in_chief_forum_0241,"[ 0.00746889 -0.11902106  0.00456091 ...  0.00858038  0.07874364
 -0.00040426]"
208,20160907_NBC_commander_in_chief_forum_0358,"[ 0.00746889 -0.02781819 -0.03026605 ...  0.00572672  0.02621939
 -0.00326872]"
209,20160907_NBC_commander_in_chief_forum_0378,[0.00746889 0.03419797 0.09350414 ... 0.05496911 0.01873533 0.00028231]
210,20160907_NBC_commander_in_chief_forum_0439,"[ 0.00746889 -0.07380275  0.030215   ... -0.01518853 -0.02102911
  0.00806691]"
